Vol.216 关于“国补”的四个问题
时长：00:31:13
来源：网易云音乐电台节目 · 商业就是这样 · Vol.216 关于“国补”的四个问题

[00:00:01] 大家好 我是肖文杰我是小雅我们的消费意愿很容易受到各种因素的影响那价格虽然说只是很多因素当中的一个但它经常就是最重要的那一个所以哪里能获得最大实惠消费者就会很自然的流向哪里袁老师这个开场白聊的是什么呢我们聊的就是国补
[00:00:22] 从2024年下半年开始中国的家电数码和家装行业就出现了一个很强的价格影响因此就是我们现在很熟悉的国补简单来说国补是一笔主要来自于中央财政的经费专门用于在我们前面提到这几个行业里面把很多商品的价格打下来来鼓励消费者更新换代最后能够拉动全社会的消费信心这是它的目标到了2025年这个政策依然在持续配套的扶持资金也涨到了3000亿元
[00:00:51] 今年知道国补政策的消费者也变多了所以说资金似乎消耗的特别快今年6月中下旬有些地方就出现了国补配额用完下单时候没有办法再享受优惠的情况不过发改委也很快声明了7月起第二轮总计1380亿的补贴资金将继续分批投放新一轮的国补将会持续到今年的年底毕竟大型的购物节上半年一个下半年还有一个是吧是啊
[00:01:18] 那像国补资源很大的话题呢关注点基本上是落在两头大的一头呢是关心这个政策内容这个内容就往往比较抽象小的一头呢则是会关心具体消费者能够得到多少实惠这个往往又非常的具体那在讨论度相对来说比较低的中间层面呢其实也可以提出很多有意思的问题那在今天节目里面我们就希望一起来探讨四个关于国补的中型问题那什么叫做中型问题我们就具体讲讲什么问题吧
[00:01:49] 首先是2010年前后其实就有过一轮国补当时的国补效果是怎么样的这一轮和上一轮又有什么不一样第二个问题就是电商电商发达了但是推行国补反而显得更有挑战了这个又是为什么第三是价格实际的交易当中有国补补贴的产品价格并不一定是最合算的这个又是为什么第四个就是效果国补的目标达成情况如何以及它还能不能做得更好
[00:02:19] 这里是商业就是这样那要不先来讨论第一个问题就是前后两轮国补的差异做一些基本的概念介绍其实上一轮国补离现在不是很远它有两个更加让我们比较熟悉的名词第一个是叫家电下乡第二个叫已旧换新如果以其中覆盖时间更长的家电下乡来看它实际上是从2007年的12月到2013年的1月跨度有5年之久
[00:02:47] 而这一轮的国补呢暂时也可以分为两个项目名词乍看都叫做消费评已就换新但是略有差别啊就2024年下半年开始的名字叫做加力支持消费评已就换新2025年初至今的呢这个名字叫做加力扩为消费评已就换新感觉在玩些名词干你啊
[00:03:10] 这我们要先打一个补丁就是2024年开始这一轮已旧换新的政策文件当中所涉及的不仅仅是消费品还包括很多更大型的机械设备比如说老旧电梯船舶公交车农用机械然后旧排放标准汽车甚至电动车其实都涵盖着这个很大的已旧换新的概念里面他们都可以拿国补不过考虑到这个两轮国补的可比性我们就目前只关注这一轮当中跟消费品相关的部分
[00:03:38] 这也是更多消费者会直接接触的部分另外再打个小补听就是像汽车这个领域里边其实过去很长一段时间里边更重要的政策都是定向的新能源的补贴大家很熟悉和这一轮的这个以旧换新不是一个概念没错那我们还是先回到上一轮国补
[00:03:54] 当时政策方案实际上很有意思正如我们前面说的它的核心实际上是家电下乡它的目标就是希望更多的农村居民能够用上彩电冰箱洗衣机空调微波炉这些非常常用的家用电器另外还有手机和电脑这里很多是从无到有也就是购买新品的需求从这个政策的落脚点可以很明确的发现它的目的就是为了创造增量的市场对的我们其实从当时的补贴比例也可以看出一点端倪
[00:04:23] 官方的说法叫做比照出口退税政策我们之前讲增值税那期的时候可能已经聊过出口退税这个点了退税的比例是13%嘛那所以说当时家电下乡的补贴比例也是13%这个补贴款是从哪里来呢当时是由中央财政解决80%地方财政解决20%而这个购买的硬性前提条件基本上只有一个就是你得是农村居民
[00:04:48] 这个其实一直是我比较好奇的就是说在当时家电下乡如果你要获得这个优惠的话你得先确认你的身份信息你的户口对一点没错其实要核查信息还蛮多的而且这个购买的逻辑是你要先付全款然后呢核查完你的信息确认没有问题以后然后再把这个补贴的款确认好了以后打回到你这个购买的存折上这比现代国博是麻烦很多的另外呢只覆盖农村居民这一点虽然是由这个整个政策的核心目标所决定的
[00:05:17] 但很显然他就放弃了消费力更高的城镇居民那所以说到了2009年6月另外一个以城镇居民为主的家电已旧换新的政策也就上马了后面这个政策的设计呢跟家电下销差别比较大首先呢他时间更短只做了两年半那家电下销是五年那其次呢他覆盖的家电品类也更少比如说手机就不包含在当时的已旧换新里面而且呢购买的时候大量的
[00:05:44] 家电产品都需要交旧购新也就是必须你要把旧的东西先交出来然后才能给你新的这个必须涉及到回收的环节那最主要的是它的补贴比例也更低只有10%手机不包括在内其实也蛮合理的那个时候你都不用补贴大家都很愿意去换一个新的智能手机对吧那等于其实在2009年年中到2011年年末这段时间里边
[00:06:07] 其实全国的核心家电品类都有国家补贴的优惠只不过农村补贴的力度大一点范围也大一点然后城镇的补贴力度小一点范围也稍微小一点因为农村是包含手机电脑的就是这个意思接下来我们再看看2024年开始这轮国补严格来说这一轮国补的起点应该是2024年3月份有一个通知叫做推动大规模设备更新和消费品已就唤醒行动方案
[00:06:35] 那在消费品领域呢这个通知重点提到了三个方向第一个是汽车第二个是家电产品第三个是家装消费品但是这个通知有个什么问题呢就是它没有给出任何明确的补贴方案和数字所以说它在整轮国布里面更像是一个先导的文件直到2024年7月份定量的补贴思路才出来那这轮国布才算是正式的动起来了也就是我们现在知道的这轮国布啊
[00:06:59] 那在资金方面呢这一轮国务部首先中央的支持力度更大之前我们说的中央是解决八成地方解决两成嘛现在是基本上是9比1然后不同地区稍微有点差别但总体来说地方的资金压力肯定会小一些另外呢这次也是首次动用了超长期特别国债来保证这个资金而且明确披露了这个资金的总规模是接近3000亿元这个数字还是比较震撼的不过从这个文件内容看
[00:07:25] 家电的已旧换新是和营运货车农机公交车还有小汽车轿车报废的换新是共用一个1500亿元的资金池的而且官方也没有披露在这个1500亿元里边家电到底占多大比例所以回到我们开头讲到大家比较关心的时事如果家电这个部分卖的很多的话其实把资金池用空了相对也比较合理一点因为像后面讲到的车这个东西它价格我就会更贵没错
[00:07:53] 我讲到这个的话我就要问一下另外的1500亿是什么呢其实另外的1500亿会用在一些更抽象的领域它主要是在整个的政策的研究上面包括说整个设备的更新它可能会有一些贷款的贴息这个部分财政也要支持然后还有一些比如说设备的诊断评估和项目的储备
[00:08:15] 他这个资金呢就不是用在实际的商品上面了他主要是用在一个政策的执行以及保证这个政策可以很好运行起来这个部分所以其实我们今天讨论的就是前后两次国补来对比的这个家电这个部分其实没有前面说的3000亿那么大的那个盘子就在这一次的这个国补里面对所以说其实市面上很多讨论这轮国补3000亿的话我觉得这个说法是蛮有偏差的就是可以具体的去看一下那个政府网站上面挂的原文就可以得到一个
[00:08:44] 其实更合理的一个结论就是没有那么多那接下来我们再看一下这个品类和扶持力度2024年的国补在家电领域还是以传统的大家电为核心但是它其实更强调一些点比如说节能节能能效就标准更好的产品它的补贴比例可以从15%提升到20%另外部分地区也根据自己的实际情况可以去小范围的去扩大这个
[00:09:08] 补贴的范围比如说可以扩充到一些小家电尤其是智能小家电还有呢就是手机这类数码产品最早是有些试点扩张这个反响很好所以说我们可以看到2025年的国务政策这个关键词就是从此前的这个加力支持变成了加力扩围那核心的是扩大范围把补贴的范围延伸到手机平板还有智能手表手环这些数码产品就以这些消费主力的方向为新的核心那这个关注度也就一下就上来了
[00:09:36] 本人今年意识到国补的存在也是因为它终于覆盖到了一些我可能想买的iPhone产品嗯 月老师这些高端的电子消费产品的消费啊我其实还是之前就是加装的那时候比如说一些家电啊等等的已经看到身边很多朋友在讨论了OK 那我们小结下来这个前后两轮国补的一些主要的区别吧就抛开具体的叫法不谈我觉得区别主要有两点一个是补贴的力度
[00:10:01] 最新的一次比上一次要大上一轮的家电下箱的补贴力度稍大也就13%但今年就是2024年到2025年这一次都是在15%到20%的补贴力度而且绝对的补贴额也是相当于几百对上千有这样一个比较明显的差异的另外一点就是覆盖的品类在扩容最初的核心是家电但现在已经扩展到了小家电和数码产品这个其实是非常关键的
[00:10:25] 还有个小的差别就是在现在这段国步里面以旧换新的说法其实已经没那么重要了你不管是更新换代还是直接购新他们都很欢迎你能够直接激发市场活力的就是好的消费
[00:10:39] 前面我们实际上主要是把这个国补前后两轮的这样一个基本的概况简单的盘了一下我相信听友肯定还有关于这个国补的效果等等的有很多好奇我们放到后面还会讲到那我们先进入开头讲到第二个问题这个问题有可能最近买过国补产品的朋友会比较有感觉就是所有的国补都会写上某某地区限定甚至比如说你还要限IP地址和收货地址才能够享受到这个补贴
[00:11:08] 明明叫国补但是又限制地区到底是怎么回事这点我们在上一个部分简单提到了一点就是国补的资金是由谁出的这个问题首先呢不管是上一轮国补还是这一轮国补国补的大头资金确实是国家出的那除了八到九成不等但是呢地方政府在其中还是会支出一部分资金的甚至说像财政资金比较宽裕的地方呢还可以再加一些补贴甚至它还可以扩大这个国补的品类范围嘛
[00:11:35] 相当于这个出钱的人里面还是有地方这一部分的所以他给一些这个出钱的限制条件也比较符合逻辑对当然这里更重要的问题是国补的钱是分省配资分省使用的这个就会导致他带来的相关的评价体系也是分省化的通过国补拉动的消费支出首先肯定会进入本定的
[00:11:57] 一个指标叫摄灵也就是社会消费品零售总额当然也会进入GDP这两项都是摄灵和GDP这两项都是非常重要的经济指标另外商品的生产销售过程其实也有可能产生额外的纳税就可以说虽然国补的核心目标是拉动全社会的消费活力但它的执行很难摆脱地方的所谓的锦标赛思维
[00:12:21] 确实执行是需要地方来具体来推动的但是在电商发达的大前提下面就会带来一些新的要求或者说是我们前面讲的那种困扰对就是这个事情在电商这边为什么会成为一个问题呢是这样子的电商平台它本来的一个核心的功能就是为了打通不同的市场也就是所谓的全国买发全国偏远地区的特例我们先不谈大部分情况下大家现在在电商平台上去买一些不太急用的东西
[00:12:47] 其实你都不会特别在意它是从哪里发货的了因为这个快递的物流其实都帮你送到它就是把全国市场都拢在一起了甚至电商还可以帮助一些偏远地区农产品或者说一些原本非常本地化的商品做外销这个都是电商平台的特点或者说好处但是我们前面也谈了国补的逻辑就国补的逻辑天然就会产生一定的地域的区隔甚至排他如果消费者不理解说资金和
[00:13:14] 经济指标这个事情上面跟地方有什么关系他单纯从国补的这个说法望闻生意的来理解国补就会产生很多的困惑那我就问题要问得更细点就是如果允许本地的这个国补的商品最后流向了其他区域到底会对这个本地造成所谓多大的损失呢或者说这个真的需要很在意这件事情吗一定要把它卡得很严吗造成多大损失这个测算本身很难算
[00:13:39] 不过我们可以参考一个税务领域的专业说法叫做税源背离税就是税务的税源就是源头的源那简单来说就是消费力和纳税的地不在同一个地方产生消费的地方征不到生产企业的税款然后生产企业所在的地方不产生消费这个就会两边都不满意税源背离讨论的主要是税收的公平性问题所以说如果想要一些解决方案的话基本上是用那个支付转移来解决的
[00:14:07] 但是在国补这个问题上的情况其实更复杂一些所以原理是一样的那如果说一个地区它不是说消费力和纳税企业都起背但是它结果上面呢是既想看到消费指标比如说涉林和GDP的增长又想看到税收增长既要又要这个就比较难以协调了既要又要呢其实也就导致了国补在目前的实际推行过程当中或多或少都有些地区限制性的做法这个就是为了尽可能平衡消费和税收的双重目标
[00:14:35] 所以我们开头讲的这个IP地址和收货地址的限定就是它这个地区性的限制的一些具体的方法是吧对只是其中一种我们还可以介绍几种别的方法还介绍别的方法最简单的做法就是你不要在线上销售线上销售很麻烦又很容易出错又统计又搞来搞去搞不清楚那我直接就走线下销售可不可以确实这种情况下那消费力就是完全被线下场景框死了
[00:15:02] 那销售企业呢又可以保证它是本地的这个又可以至少保证一部分增值税收入嘛我记得2024年的国补其实最早有蛮大一批就是流入到线下渠道的但是消费者很不喜欢这件事情啊因为在买大家店或者小家店领域线下的渠道也已经视为很多年了这个体验是远远不如线上的不过我自己觉得这个其实还蛮OK的就是确实因为这次国补让我多逛了几次这个线下的家电商场包括像宜家这样的地方还是能重拾一些
[00:15:30] 就是逛家电商场的乐趣的我觉得你只是从事了逛宜家的乐趣对宜家确实蛮有意思的不过就像你说的框定在线下的销售的话就是只是为了来确保国补的区域的限制其实是一个非常保守的方案也不利于最初的要充分刺激消费活力的初衷所以说肯定是线上也要找办法来匹配是吧对的其实线上销售主要只要解决一个问题就行了就是我发货方
[00:15:58] 是不是至少能在本地那一道增值税也就是这个销售企业是不是能放在本地那如果说有一些传统的家电企业它做了很久它在全国各地都有销售有分公司的话这个其实就好解决了你的货只要是走全国各省的分公司发货给消费者这个问题就没有了那如果是电商平台比如说京东天猫但这些平台不是有一部分小的是自营的业务吗就是品牌先把货卖给平台然后平台再卖出去就这种自营业务里面也好解决
[00:16:27] 那比如说京东和天猫在各省也建分公司然后品牌把货卖给这些分公司分公司再卖给消费者这个也基本上解决了这个问题这个其实就是我们平时在电商上面你以为是全国买发全国但实际上已经都是在本地这个发货的这样一个部分就比较容易切入到这个国补的这个体系里边去就很能解决你前面说的这个所谓的类似于税源分离的那种情况其实另外还听说过一种
[00:16:54] 做法是更侧重于税收的就是有些大型的家电品牌它的总部所在地呢会把国部指标当中一部分定向的用于补贴这个品牌它其实也允许各地的消费者都来用这部分的国部就真正的是全国买发全国这样做的话肯定会损失掉相当一部分设领的增长但是对于企业的带动肯定是比较大的因为很明确嘛这个部分钱就是给我用的
[00:17:16] 那相应的税收增长会更突出这个大家可以想象在一些家电龙头企业所在的城市或者省份或者这些省份其实往往都是一些产业的集中地他们肯定相对来说会比较倾向于这样的方式所以国补虽然设计上是一个主要用来撬动消费指标的杠杆但是在执行的过程中地方政府还是可以通过各种方式让它额外撬动一部分的税收的指标至于这些目标的排序那也就是地方自己来确定的
[00:17:46] 那讲完第二个问题呢我们接下来进入第三个问题也是跟消费者切身利益最相关的一个问题就是国补对于价格的影响到底如何它到底能够让你买东西便宜多少如果从国补原始方案来看的话它其实它对价格的影响比例这个都是很明确的嘛因为比如说能耗指标比较好的空调就补20%然后补贴的上限不超过2000元这个不是标准都定的很明确了吗
[00:18:11] 但是为什么岳老师你会在开头的时候提到比如说实际在购买一个家电比如说一个国补的空调的时候你可能会觉得它补的没有那么多没那么合算真的是这样吗然后如果是的话为什么肯定会有这种情况这个核心肯定是因为商家在初始定价的阶段他是自由的那上有政策下有对策然后消费者就是能感知到其实是因为他先涨价了然后再补贴了所以最后没有那么便宜他这个直觉肯定是对的
[00:18:38] 不过我们还可以额外在机制层面讨论几个其他的影响因素首先就是国补的资金怎么给这个本身就会对价格产生影响这点消费者是没有感知的因为他下单的时候只要满足这个地区限定的条件基本上都是利减的就你直接付出去这个钱就好了但是对于商家来说问题在哪里呢就是这部分国补抵扣资金其实是由商家先垫付然后在定期向国补资金时去申请报销的
[00:19:07] 搞过报销的朋友肯定知道这个流程可以想象是比较繁琐或者说是耗时比较长的反正钱都得先垫进去是吧对那如果说商家没有办法预估自己要先垫多少钱以及垫多少时间才能把这部分补贴收回来的话那商家可能就会倾向于说我先小规模的涨一点价然后这样我短期的资金压力可以小一点
[00:19:29] 另外从今年6月的情况来看即使有电资报销这个机制做缓冲那部分地区的国补资金也已经提前用完了在这种情况下商家其实会变得更被动它调价的概率也会继续的往上升所以国补流到商家这端的速度快慢其实也会影响到终端的商品价格这是一个很自然的商家的商业行为对 其实这就是商家端的现金流的一个逻辑
[00:19:53] 另外还可以讨论另一个因素就是平台自己的促销手段电商平台对于促销可以说是非常熟练了
[00:20:19] 对于这样来说对于消费者来说要做价格的横向比较其实就变得很困难了这就是我们节目开头所说的价格是一个很重要的影响消费的一个因素但它不是唯一的因素在买家电产品的时候你可能会综合的考虑价格参数包括平台送货速度等等各种因素国补只是参与第一个部分而且还不一定有绝对的竞争力这我们可以再说回到2007年那种家电下乡的机制设计
[00:20:48] 那轮的设计我看下来是觉得比较精妙的因为它在操作细则当中规定的其实是两个数字一个是补贴的比例还有一个是每类产品的最高销售价具体可以覆盖到的品牌和产品也是通过招投标的方式来划定这个范围的这个概念是不是有点听上去类似于药品集裁有一点点
[00:21:09] 那有一篇看到经济学论文其实分析这种做法的效果它的结论就是家电下乡采用这个限价加招投标的模式其实可以有效的抑制补贴带来的厂商主动提价甚至呢还可以导致部分商品进一步再往下降价那这样呢就不仅使得消费者的利益得到改善也能减少政府在补贴上面的总支出总之这是一个很好的做法
[00:21:32] 那再看我们现在这一轮国补的操作细则呢在家电领域规定的是两个数字一个是补贴的比例还有一个就是每类产品最多补多少钱它没有那个销售限额的天花板的限制那在数码产品领域呢它规定就更细的是三个数字一个是补贴比例第二个是每类产品最多补多少钱还有就是销售价格的上限
[00:21:53] 可以看到就是这个相关政策其实已经在逐渐的细化可能也会产生不同的效果比如说这个手机最高限价是6000块这个其实就更利于这个主打中低价的国产的品牌最后还可以聊一个影响销售价格因素这个在经济学当中是一个专有名词叫做牛鞭效应怎么说呢就是甩鞭子这个东西大家可以想象一下这个过程就是你在手上
[00:22:19] 动这个鞭子头的这个速度一般不会很大但是传导到鞭子的末竖就会变成一个很大的波动甚至可以啪的一声把空气都击穿那这种现象也会出现在供应链的调整当中就是说一旦终端的零售市场出现了波动它就会顺着供应链一级一级往回传导而这个传导过程当中会出现什么情况呢比如说经销商他会考虑说我是不是应该再多备一些库存那生产上就是我要再多生产很多的产品
[00:22:48] 然后再继续往上传比如说配件厂原料厂的话他们也要收到更大的订单这些为了即时需求增长所做出来的调整其实都有可能造成你新的一轮过来的商品它的成本短期会有上升并且最终影响到商品售价因为它就是在成不断涨了价这个我觉得还是一个大家有可能不太想到的一个情况所以一个突如其来的销售的热潮它对于上游的影响可能远比下游市场看上去要更
[00:23:16] 强烈或者有的时候是更严重即使是厂家可能已经对国补的拉动能力有所预期但也不一定能够接得住所有新增的消费需求而这反过来又会对价格产生影响
[00:23:29] 最后我们进入第四个问题也是大家比较关心的一个话题就是国补的效果其实根据我们前面分析最核心的就只看一个指标就可以就是社会消费品零售总额就是社零的增速尤其是其中家电和数码产品的情况增幅好不好就行了目前我们可以讨论的是今年前五个月的经济运行数据
[00:23:51] 可以看到今年5月的涉零数据非常好它同比增长有6.4%这个是创下了2024年以来的最高增幅记录而在345这三个月里面就是整体涉零增速都保持在5%以上可以说是造就了非常明显的回暖那么接下来具体看家电和数码这两个品类截至2025年家用电器和音像器材类的累计零售额同比增长是30.2%在所有品类里面增速是最高的
[00:24:19] 如果只看5月的话5月非常厉害家电零售额同比增长有53%这个是2001年来有统计的最高增速通讯器材也就是数码产品对应这个品类其实同比有33%的增长等于说5月份确实是一个大家能看到国补对于整体的这两个品类的拉动是非常明显所以看最近这几个月的数据的话国补的影响力已经非常明确了完全被证明了对吧
[00:24:46] 当然这里边肯定还会有上半年的电商大促的影响就很大一部分的消费需求有可能的确是被激活了或者是兑现了这里就衍生出来一个问题国补的核心我们之前讨论它一直都是家电家电是非常典型的耐用消费品它的换新周期很长短时间内的爆发性的增长比如说换新或者采购的需求其实很有可能导致后续乏力的问题所以我们这里可以再结合上一轮国补也就是家电下降和已旧换新的效果数据来讨论一下
[00:25:15] 这里我们主要引用东海证券研究团队的报告大家可以在show notes里面找这个报告的原文来看首先前面在对两轮国补做比较的时候其实没有展开一个点就是时代背景有很大的差异此前的家电下乡和移旧换新其实有一些非常重要的前提比如说当时的农村市场它的家电补给率的确是不够高的
[00:25:37] 它在五类核心家电产品的渗透率上平均是落后成真15年左右的这个就是我们说的那个时光机的理论嘛差的其实比较远还有呢就是中国当时的房地产市场还在上行周期呢商品房交易和家电消费的相关度又是很高的等于当时的这个家电消费的需求是有房地产的高速增长作为一个基础的所以整个市场的启动呢所谓近摩擦力没有那么大就很容易就能够爆发出来对就是真的有这个需求
[00:26:04] 但现在这轮情况就很不一样了呢房地产市场本身很疲软消费者手头资金也在缩水所以说在大类资产的投资和智慧上面都是很谨慎的如果有钱的话他们其实会优先考虑消费品当中的必需品部分比如说像食品这样就是一些硬支出那对于耐用品来说呢更新换代的动力就没有那么足所以说我个人感觉上半年能够依靠国部吧耐用消费品的这个消费拉动起来已经是非常好的一个结果了
[00:26:32] 当然我觉得这个还没有涉及到你前面讲的一个最重要的问题就是后续乏力的问题或者说是就是提前刺激了之后但是总量到底有没有增加的这样一个问题后续乏力确实是有这种可能性的因为根据东海证券测算就家地下降它不是持续了五年吗实际上在第四年就出现了增长透支然后消费额开始下降的情况当时的一些下降的商品消费额是同比出现了17%的下降
[00:26:58] 到了2015年就是家电下降结束以后的第二年去看农村家电消费额的总额它相比于2013年其实也出现了6.5%的缩水这是农村情况城镇的情况呢已旧换新当时只做了两年半但是在一年半的位置就开始出现透支的现象了当时城镇家庭的耐用品消费支出比例就从2.93%下降到了2.8%到了2012年已旧换新结束
[00:27:25] 当你的全国家电销售增速呢就从此前的20%以上的增速掉到了7%左右嗯我感觉这个也可能跟他这个政策的结束也是有一定的关系的都已经没有什么拉动的效果了我就不继续来补贴了
[00:27:37] 那你觉得通过这些数据能够对照到这新一轮国补或者说是能够有所判断吗它这个参考的价值大吗我觉得稍微有点难说吧首先这个新的一轮国补运行到现在也就刚刚一年我们还看不出来这个国补会持续多久它会不会持续到2026年乃至以后或者说它就是做完这一年明年就没有了有可能的
[00:28:01] 考虑到本轮国补已经动用到了超长期特别国债如果说持续发债来支持这部分支出其实市场能不能认可也不是很好说其次新一轮国补在2025年出现了一个很明确的变化就是覆盖到了数码产品这个其实跟部分地区早年去扩展到智能小家电的逻辑是蛮类似的首先数码产品的换新周期比家电更短两到三年就去换个手机不是很奇怪的事情
