Vol.148 美图，东张西望的10年
时长：00:32:19
来源：网易云音乐电台节目 · 商业就是这样 · Vol.148 美图，东张西望的10年

[00:00:00] 大家好 我是肖文杰我是小雅今年年初看了一篇文章这个文章标题叫做互联网公司的中等规模陷阱全文的观点大致就是说国内的这些巨头公司对于流量和资金还有说人才吸引力已经到了一个非常大的地步然后再加上他们都有一些激进的增长策略就导致一些日活在一级水平的APP它的变现和继续增长变得很困难最后停止在一个活着的状态
[00:00:28] 那像快手啊B站知乎都是这对被挤压的所谓中型公司代表其实他们的规模也不小了啊那像B站的这个困境的话我们之前也专门做过节目我觉得其实中等规模陷阱这个提法还是蛮有意思的类似的还有文青公司的陷阱是吧不如直接报豆瓣的身份证号啊对对说的就是你其实我们所担心的可能不完全是说这些中型公司被碾压了这件事情本身啊毕竟这个概率就是比较大的大概率是会发生的一个事情嘛
[00:00:57] 而是说被碾压之后这些中型公司原本的魅力或者说最初让它成长的很快那些特点会消失比如说知乎它最开始有一些经验的价值B站有一些为爱发电的up主他们去做了很多好的原创潮内容等等可能这些东西会消失那我们今天节目的主角也是一家中型公司的代表就是美图其实在中型公司里面美图也是那种非常容易被忽略的公司
[00:01:23] 首先它是围绕着一个工具也就是美图秀秀成长起来的一个公司那工具的特点按照张响龙的说法就是用完即走你的忠诚度可能没有那么高其次呢就是美图秀秀是一个2008年诞生于PC时代的老产品虽然一度是所谓的装机必备应用但是现在看起来就已经完全没有新鲜感了最后呢它还是一个总部在厦门的企业至少不在一线城市嘛所以它的存在感其实就相对来说更低一些
[00:01:50] 但是另一方面现在的美图可能是有点超乎大家想象的首先它的营收已经比较多元化了不完全围绕着美图秀秀这个一个产品其次它是一家港交所上市公司虽然目前的股价只有两港元上下但是这个市值还是超过了100亿港元的最后可能是为了逃脱我们前面说的中等规模陷阱它在上市前后的一系列努力还是非常丰富的
[00:02:15] 所以本期节目我们就从三个角度出发来讨论一下作为纠结的中型公司的案例美图这家公司首先我们会从2023年的业绩来看一下美图的现状其实这家公司业绩还不错但是它的赚钱方式可能就是比较多元超乎我们的想象第二就是说我们会回溯过去10年来美图这家公司试图采购哪些风口然后结果又是怎么样的
[00:02:39] 第三就是2023年是所谓的AIGC的浪潮那美图算是这个浪潮里面反映非常快的一家我们一会讨论一下这个种大模型AI会为美图带来一些质变吗还是说带来是一些量变那在结尾部分呢我们可能也会稍稍的下一些我们自己的判断或者说是推论吧我们来看看美图有没有可能逃出所谓的中等规模陷阱那赵丽呢也要啰嗦一句啊本期节目的讨论内容不构成任何的投资建议OK那我们就开始
