Vol.64 詹姆斯·戴森如何创造戴森
时长：00:38:25
来源：网易云音乐电台节目 · 商业就是这样 · Vol.64 詹姆斯·戴森如何创造戴森

[00:00:07] 到了1995年的时候戴森就已经获得了英国吸尘器市场20%的份额了詹姆斯是说到了这个时候他和妻子才终于摆脱了贷款和抵押的重负做到了生活无忧了然后可以无牵无挂的去做那个发明这个时候其实距离詹姆斯戴森成功的发明气旋吸尘器已经过去了12年这里是商业就是这样
[00:00:41] 大家好,我是肖文杰我是徐彬青啊,约老师这个时隔多期终于回归了也没有很多期啊大家可以把对约老师的想念留在那个留言区里边约老师回来的第一期就是一期特别的节目
[00:00:58] 之前我们在第33期节目的时候曾经提到过戴森这个品牌进入中国的过程当时就有听有留言说想听一听戴森这家公司比较完整的故事然后很巧机会就来了这一期就是我们和戴森联合做的一期节目戴森公司的创始人James Dyson也就是James Dyson他最近有一本新书出了中文版名字就叫发明冒号James Dyson创造之旅
[00:01:26] 那本期节目我们就从这本书出发来聊一聊詹姆斯这个人也聊一聊戴森这家公司詹姆斯这个人呢确实很值得一说你前面提到这个书名叫发明这个书名我觉得是简单明亮地点出了他本人和这家公司的标签在这个移动互联网加数字化的时代我们看到的大多数创新好像都是线上的非实体的产品而戴森是始终在发明一些实体的产品而且是重新发明一些我们认为已经定型的那种产品
[00:01:55] 比如吸尘器 吹风机 电风扇或者卷发棒等等而且这些发明都获得了市场的认可可以说戴森是一家以发明来驱动的公司而且这家公司它不上市每年是把大量的钱就是高于一般公司的一个比例的资金投入到新的产品研发当中而且它不外包生产它是自建工厂来生产这些产品的而且是生产这些产品的核心零部件
[00:02:21] 戴森他甚至自己办了一所大学来培养工程师这一系列特立读情的做法其实都和詹姆斯·戴森本人是息息相关的所以我们今天这期节目就还是从这本书出发来讲一讲戴森的故事然后我们还会更深入一步来聊一聊由这些问题引发出来的一些别的问题比如在这个时代发明家为什么显得这么稀缺以及为什么我们看不到更多詹姆斯·戴森这样的人了那么我们就开始吧
[00:02:50] 等一下在开始之前其实还有一件事One more thing出现了没错其实我们两个人都已经看完了詹姆斯这本新书而且也查了蛮多戴森的资料所以我们对他的好奇和疑问更多了然后戴森公司他就提供了一个可以说难以拒绝的机会就是让我们可以直接和詹姆斯戴森本人来聊一聊解答我们的一些好奇那我们自然是非常愉快地答应了
[00:03:16] 对,不过因为詹姆斯人在英国嘛,所以我们就请了一位同样在英国的朋友,Molly,来帮我们做这个采访。如果有听友听过我们的姐妹节目,现在进行时的话可能对Molly不会陌生,她算是我们半个同事了。这期节目里面我们就会穿插引用一些詹姆斯和Molly这次聊天当中的一些回答。当然肯定有听友就想听听詹姆斯怎么说的,所以我们也同步上线了一期英文版的节目,会完整地放出她和Molly两个人的对谈。
[00:03:45] 所以这相当于是一期节目两期的量了那我们就正式开始吧
[00:03:51] 詹姆斯的这本新书从前言开始其实就引发了我们的一个好奇他在前言里面说原本想把这本书命名为詹姆斯戴森冒号失败者后来因为同事劝他说起失败者这种名字书不太好卖所以他才作罢拜托他已经是这个时代整个世界上最成功的发明家之一了吧他都失败谁还能成功呀就是说呀当然他也解释了这个说法其实也很简单
[00:04:18] 我们都熟悉失败是成功之母这句话对于詹姆斯来说这句话其实是很有实感的就带有实际经验的他就回顾说自己的几乎所有发明都是大量失败后的结果其中其实最著名的肯定就是戴森这家公司起家的一个产品就是气旋分离式的吸尘器大家现在应该也很熟悉了詹姆斯其实是花了4年时间经过了5126个失败的模型
