Vol.258 为什么到处都是泰兰尼斯的广告？
时长：00:35:41
来源：网易云音乐电台节目 · 商业就是这样 · Vol.258 为什么到处都是泰兰尼斯的广告？

[00:00:01] 大家好,我是肖文杰我是小亚今天我们来讲一个最近半年来曝光非常高的品牌就是泰兰尼斯曝光是字面意义上的曝光就是从可能是去年年末开始吧各大城市最黄金的户外广告点位全都是同一个品牌就是泰兰尼斯就是那个画面让人看到就是生理性厌恶反正就是重复很多次是吧对而且
[00:00:27] 你说黄金的点位一点都不夸张啊你像是北京的三里屯然后上海新天地还有淮海路成都春西路还有很多大城市的高铁机场电梯电影院等等的就有一段时间就是感觉它铺天盖地无处不在这其实就引发了很多讨论啊我觉得大家讨论点可能主要就是两个第一个就是什么为什么是泰兰尼斯头这些
[00:00:49] 位置就因为在大家印象里面这些非常好的位置的户外广告会去投放的品牌其实有一些固定的可买印象的对就比如说奢侈品会投汽车或者智能手机还有一些比较大的互联网平台一般来说会抢这些点位服饰可能也有但是一般来说是那种国际大牌才会愿意去投对吧说的稍微直白点就是总觉得是那种
[00:01:14] 格调或者类型稍微有点刻板印象泰兰尼斯不在范围内很多人甚至之前都不知道这个品牌比如说我第二个讨论点就是为什么要投这么多对吧照理来说你户外广告你要打全民品牌影响力没有什么问题包括有些品牌就是做很大的campaign的时候确实也会这样全场我都包了对吧但是同写是一个需求很细分很垂直的领域
[00:01:43] 就算投户外广告理论上你也应该小而精这样去投可能会比较好没有必要如此霸凭对吧而且我觉得你这两个好奇背后还有一个很核心的点就是大家会很疑惑就是这个品牌很赚钱很有钱吗怎么能这么财大气粗我之前提出的提问就是要赚多少钱才能像泰兰尼斯这样投广告这些问题其实这一次我们的同事邓一云包括陈瑞就是葛老师直接的采访了泰兰尼斯的创始人
[00:02:11] 得到的他的回答呢让我们非常的意外创始人丁飞啊他就说他觉得泰拉尼斯在户外投放的这个广告预算并不是很多而且这一部分的投放也不是他的营销重心这个人真的不是打出了名气以后开始在那里凡尔赛吗
[00:02:28] 那要解释这些问题我们觉得首先要搞清楚泰兰尼斯是一个什么样的公司是怎么做起来的其次我们要了解户外广告目前的生态本期节目我们就从这两个点出发来聊一聊另外在准备这期节目之后正好泰兰尼斯又出现了一些引发热议的广告营销的事件这个和我们今天的节目内容主旨有所关联但不是重点我们会放在节目的最后简单的聊一聊这里是商业就是这样
[00:03:02] 那要么我们先来介绍一下泰兰尼斯这家公司吧这个公司是2011年在杭州成立的这个品牌这个时间节点成立的公司我们一个合理的想象就是它有可能最早是一个淘品牌或者是在淘宝上面电商为主的但其实不是这家公司实际上一开始就是非常传统的走线下渠道的一个协服的经销商它的创始人前面我们讲过叫丁飞原来是做通讯技术的
[00:03:28] 后来呢估计也是希望到杭州做电商吧然后就选择了铜鞋这个行业这个理由呢他其实没有明确的讲过就是为什么选择这个行业啊只是说从市场角度来考虑的觉得这个行业很有潜力所以他一开始其实也想过做电商是吧应该是的但他很快就发现铜鞋不太适合做电商说到底就是鞋这个品类本来也挺不太适合做电商的对就你鞋子得上脚试了才知道舒不舒服嘛而且小朋友穿的鞋就更加是如此了
[00:03:57] 因为我们知道不同的品牌不同的鞋型它的鞋码经常是对不上的有很大的出入也就是所谓的偏码铜鞋在这个问题上就更加的严重有的时候尺码的标法或者是数字本身都是没有一个统一的标准的所以你只能开线下店让人来上脚而试甚至是很多时候你单靠试都不够因为你小朋友尤其是幼童你是没有办法表达清楚你这个鞋适不适合自己的对吧
[00:04:24] 但是他其实自己心里面有数他会用自己行动来选择所以现在像我们会买好几双鞋子然后让他自己穿着穿着逐渐选出他自己适合的那个鞋literally的用脚投票是那这个消费行为其实放在十年前的点上确实是很难实现就那个时候退换货就不是一个很发达的一个流程对现在你还可以这么来操作一下
[00:04:46] 那另外一个点呢就是丁飞刚刚进入铜鞋行业的时候其实他主要做的是耐克阿迪等等品牌的铜鞋的代理就是我们前面讲的经销的这个部分做了两年之后才开始创建泰拉尼斯这个品牌的其实给阿迪耐克做代理也算是一个比较稳定的生意只不过你不一定赚钱这个我们古早有一期叫耐克的合作伙伴的时候其实提到过这个问题就是耐克的左右手那一期对丁飞自己在采访的时候就直接说了
[00:05:12] 为什么自己做品牌呢就是因为做代理利润太薄了而且很多事情都不掌握在自己手中像库存啊等等的但我觉得还有一个很重要的背景就是为什么耐克阿迪已经有了自己牌子的同学了你还敢自己再创一个新的品牌去跟你原来的客户去竞争这个问题我觉得本质就是因为同学他有很多独特的产品需求使得你新创一个品牌实际上是有一定的空间的
[00:05:34] 这个肖老师要不然作为一个消费者简单给大家再科普一点一句话来解释就是铜鞋它不是成人鞋的简单缩小版其实也不难理解展开来讲的话实际上就是三个概念第一个就是小朋友的脚是在不断的成长的所以他的脚型会不断的变化他跟成年人的脚型是不一样的第二个就是小朋友的行走奔跑能力也是在不断的成长的所以他脚上的发力的方式等等的也不一样
