Vol.230 为什么人人都知道诺贝尔奖？
时长：00:38:23
来源：网易云音乐电台节目 · 商业就是这样 · Vol.230 为什么人人都知道诺贝尔奖？

[00:00:01] 大家好 我是姜文杰我是小雅每年的十月初全世界的媒体都会共同关注到一个重要的话题什么 十月初国庆 黄金周肯定不是对不起 烂格虽然出镜又复苏了不过黄金周的影响力主要还是在中国范围内能提升到世界范围内的肯定是一些影响力更强的事情比如一年一度的诺贝尔奖发布怪不得你说是每年的十月初就确实诺贝尔奖感觉
[00:00:30] 到最近这几年已经有一些常规的一些梗了比如说经常被拉来陪跑的村上春树老师是直接想想诺贝尔奖其实是一个很有意思的活动一方面他每年表彰那些科学家确实都是行业里面有过突破性研究的顶尖人才那另一方面呢那他的和平奖和文学奖又带一些话题性比如说特朗普被提名这种传言呢就会让大家每年都会去看一下这个诺贝尔奖到底颁给了谁
[00:00:55] 简单来说诺贝尔奖是很好的平衡了学术的严肃性和公众的讨论度这个其实是其他很多奖项基本上都没能做到的我们甚至可以说诺贝尔奖就是人类历史上最成功的品牌活动之一因为几乎人人都知道诺贝尔奖这个就是它的影响力很有意思啊就按你这么一说确实诺贝尔奖就是世界上最有名的奖但它为什么会变成最有名的一个奖的话确实可以从品牌角度上来思考一下这个问题啊
[00:01:24] 我们可以看一下品牌这个概念的定义它指的是组织产品或者服务所形成的独特公众认知如果从这个定义出发的话诺贝尔奖确实可以被看作是一个品牌而且它是从1901年开始颁发的甚至可以说它是一个历史悠久的经典品牌不过把诺贝尔奖和品牌研究联系在一起这个想法不是我独创的我是从一篇哈佛商学院的论文里面看到的觉得很有意思就记下了
[00:01:52] 这篇论文提出传承有序的经典品牌往往具有五个方面的共性这里面包括可追溯的记录长期的存续明确的核心价值观仪式或者视觉符号的使用以及组织本身对于历史价值的认可而诺贝尔奖虽然大家一般来说不把它看作是一个品牌但是他在这个品牌这五个方面其实都做得很好所以今天我们就是从品牌发展的角度来重新拆解一下诺贝尔奖
[00:02:20] 看看它如何成为在全球都具有超高知名度的一个另类的品牌具体拆解过程我们就不完全套用哈佛商学院这五个指标了简单点分成几块首先讲一下诺贝尔奖的发起背景以及它的机制设计和同行相比有什么特别之处接下来分析一下目前诺贝尔奖的一个经济核心也就是诺贝尔基金会它是如何运作的最后再去讨论一下诺贝尔奖的外延也就是它可能带来的口碑效应和市场扰动
[00:02:55] 这里是商业就是这样那么先讲一下诺贝尔讲的由来吧我觉得这个故事大家多少有一些耳闻但有可能了解的不是那么清晰全面我们还是从诺贝尔本人说起阿尔弗雷德诺贝尔他是一位瑞典化学家他最大的学术贡献就是在1863年改良了硝酸甘油炸药把它变得很安全此后又研制出了像胶状炸药和无烟火药他就一生都围绕着炸药来发明
[00:03:22] 由于各国军方对他这个发明都很感兴趣所以这些改良的炸药技术很快就投入到了大规模生产当中依靠专利授权和入股诺贝尔的炸药生意最后是拓展到了全球的14个国家去世之前他名下有90多家炸药和军火工厂以及355项发明专利这个也让诺贝尔成为当时世界上最富有的企业家之一军火一直以来都被认为是一个暴力的产业不过因为这个行业确实经常大家都说它是一个带血的产业
[00:03:51] 所以搞这个生意的然后又是最顶天的企业家一般来说名声就不会太好了对啊诺贝尔当时名声也不太好而且据说这也是诺贝尔这样诞生一个契机啊有一个广为流传说法是1888年诺贝尔的一个兄弟叫路德维希诺贝尔是在法国去世了当时有些法国媒体就误以为是那个更有名的那个诺贝尔去世了也是就刊登了错误的复告然后标题就叫死亡商人去世了
[00:04:17] 哎呀就这么想我的妈对吧诺贝尔会这么觉得就他自己也看到这个复告感觉很震惊啊就是他觉得说我这个名声这样被后代凝聚是不是不太好于是呢就开始规划说如何更好的利用自己的遗产然后才有了之后的所谓诺贝尔遗嘱和诺贝尔奖的故事不过因为这则复告的原文已经找不到了所以这个故事真实性难以确认就不知道他是不是因为要洗刷自己的骂名然后来建立这个奖对就是不过
[00:04:45] 最后的话确实可以看到诺贝尔留下了一份非常慷慨的遗嘱他是把94%的个人资产拿出来成立了诺贝尔基金会和诺贝尔奖诺贝尔奖是每年奖励在物理学化学生理学或医学以及在文学和平事业当中取得了造福人类的成就的那些人而且是不分种族和国籍的
[00:05:05] 那确实不管是什么样的动机他这个捐出来那么多钱是实实在在的而且他这个初始设定相比于世界上同类型的其他奖项来说还是很有竞争力的这个竞争力是怎么讲我这个其实也很好奇就是这种奖励各种科学研究的奖应该很多就是为什么诺贝尔会脱颖而出其实这样的就是
[00:05:23] 在更早以前就比如说18世纪初开始像英国皇家学会法国科学院和柏林科学院就已经开始设立了自己的学术奖这个也跟当时欧洲开始流行的自然科学革命有很大的关系但这些奖项的思路之后都有过一些调整就跟后来诺贝尔奖出现了一些区别具体来说大致有三点区别首先就是这些传统的学术奖项它的大趋势原本它们都是跟诺贝尔奖一样的就是针对科学家的一次性奖励跟一笔钱
[00:05:52] 但是之后就逐步转向了就是长期持续的这种实验室的资助就有点像我们现在科学基金就赞助科研了对那长期资助显然更有利于科研的可持续性就你持续可以做出一些研究的结果但是反过来说诺贝尔奖就变成了少数能够给科学家个人带来经济和口碑双重效应的奖励体系直接讲到你这个人的名字上面对就这种奖其实变少了诺贝尔奖就变得很突出了OK
[00:06:20] 其次就是这种传统的奖项大比例还是会颁给国家的本国科学家少数情况下会扩展到西欧为主的一个稍微小一点的范围里面但是诺贝尔在遗嘱里面明确表示他对于获奖候选人的国际是没有任何考虑的不管他或她是不是斯堪迪纳维亚人所以诺贝尔奖是一个真正意义上的国际的科学奖项这个就帮他的影响力奠定了一个基础
[00:06:46] 可以看一下诺贝尔奖最初的五大奖项其实就涉及到好几个机构包括瑞典皇家科学院斯德哥尔摩文学院瑞典卡罗林医学院以及挪威的议会就这几个机构要共同的参与那几个奖项其实是由这几个机构来评选颁出的帮忙评选颁出的
[00:07:04] 传统的这种学术奖项的资金大部分是依赖政府拨款的所以说体量也有限
[00:07:31] 这么目标明确的就是管白猴这个病的
[00:07:59] 另外一个奖是他们当时奖金最高的一个单项奖叫奥西里斯奖他设立于1899年但他每三年才发一次单次奖金是10万法郎这已经是当时最高的了而1901年首次颁布诺贝尔奖他的每项奖金都是15万瑞典克朗相当于21万法郎所以就是钱多也是他当时一个很突出的相比于别的奖项的一个优势其实是很大的一个优势而且他的这个
[00:08:24] 就是获奖的这个名录或者是这个说法没有那么的严格要求它就是造福人类的成就就可以了是的等于说诺贝尔作为一个新的奖项一上来它就是砸了大额的补贴是吧而且全世界的科学家都有机会能够拿到这个钱这个就很容易在圈子里面积累这样一个口碑那这几点我觉得也是诺贝尔作为一个相对于你前面讲到的那些传统奖项的一个新兴的奖项品牌所有的一些比较的优势
[00:08:53] 那除了跟同类奖项显著区别以外呢诺贝尔奖其实还有不少独特的自主优势这个也让他越来越像一个完整的品牌接下来我们就展开讲讲这个部分大致分为四点第一点我称为公众性就我们前面提到几个传统的科学奖项呢他们的侧重点都聚焦于当时刚刚起步这个自然科学偶尔也会关心到一些就是实用科学比如说农业航海制造业的问题但他们几乎不涉猎这个其实普及度更高的人文科学
[00:09:21] 但是诺贝尔奖是一开始就设立了公共属性很强的和平奖和文学奖相比于艰深的自然科学这两个奖的讨论度显示更高的由此也会带来更大的影响力这里我要插问一个其实前面我就有点好奇了你前面讲那些奖项的评选机构里面没有设置到经济学奖所以一开始是没有经济学奖是吗对经济学它本身作为一名学科从整个大的社会科学概念也比较年轻对它也是很年轻一个学科所以说它
[00:09:50] 变成一个诺贝尔奖项的话是1968年才新增的而且它是由瑞典中央银行以纪念诺贝尔的名义发起的
[00:09:59] 不过他整个评选标准依然遵循了诺贝尔遗嘱当中造福人类的成就这条核心价值观他的评选标准过程和原则都跟其他自然科学奖项是基本一致的然后也是由瑞典皇家科学院下设的一个专门的委员会来操作的再加上诺贝尔奖此后也没有在破例增加过任何新的项目所以说经济学奖加入其实没有显著稀释或者说破坏诺贝尔奖这个品牌价值这个我觉得很重要
[00:10:25] 而且经济学其实也是一个有很强公众性的一个学科了对我想起来我们之前不是做过一期节目然后里面谈到过2023年的诺贝尔经济学奖的得主就是戈尔丁他专门就是做针对女性劳动力市场的研究这个其实就是你虽然说它是一个经济话题但它其实与广义的社会的议题以及社会的一些矛盾结合的就非常的紧密了大家都会关心它
[00:10:50] 另外有两个我马上就想到的例子一个是1998年拿到了经济学奖的阿玛迪亚森森研究的是福利经济学他去研究是具体的就是贫困问题是有去发展中国家的另外一个是2002年的经济学奖得主就是丹尼尔·卡尼曼卡尼曼研究的是心理学和经济学的交叉领域这个后来也演化成了经济学当中的一个重要分支也就是行为经济学这个方向上之后也出现了好几个诺奖的得主
[00:11:16] OK那简单理解一下就是不管从奖项的设置还是获奖者的研究领域上面就是诺贝尔奖的这个公共性以及伴随而来的这个讨论度都是显著更高的那这个对他作为一个品牌来传播的话就是非常有利的嗯这个是第一点第二点我称为组合优势这个解释起来就很简单了就是不管是物理学奖化学奖生理或医学奖还是什么和平奖文学奖经济学奖他们都叫诺贝尔奖
[00:11:42] 如果从品牌的角度来看就是一个公司下面不同的产品序列其实共用了同一个品牌名称这么做的好处很显著主要是共享热度大家可能每年最多在和平奖和文学奖这种看得懂的地方吃吃瓜但是你的关注度或多或少会延伸到一点就是部分覆盖到这些就是相对冷门的自然科学的想象上是包括就是像比如说这个获奖者的国别等等的你总会也会有一些讨论的这个话题相对有一些讨论就是稍微有点关注度
[00:12:10] 比没有任何关注度肯定是要好的我觉得这个也是诺贝尔奖能够显著超越一些单领域大奖比如说像数学领域的菲尔兹奖然后还有建筑领域的普利斯克奖的这种原因像普利斯克奖就是建筑其实也是一个公共性很强的领域了大家讨论度也不小但是它归根到底是一个行业内部的奖它其实还是没有达到像诺贝尔奖这样
[00:12:33] 覆盖多个学科和行业的影响力是的就是比如说我们有时候也会写普利茨克奖的这个获奖得主的这些报道那你要跟大家解释什么是普利茨克奖最简单的方式就是说它是建筑领域的诺贝尔奖对就是这个意思那第三点呢就是仪式和感官元素诺贝尔奖是每年10月初开始宣布获奖名单然后颁奖典礼是放在每年的固定日子是12月10号这个是诺贝尔的忌日
[00:12:58] 和平奖是放在挪威奥斯陆举行然后其他的奖项都是放在瑞典斯德哥尔摩的音乐厅颁奖仪式会邀请到瑞典的皇室成员然后还有政界领导人这些重要的嘉宾包括会场上的装饰花束都是从诺贝尔晚年居住的一个地方就是意大利圣雷默地区空运过来的然后这个获奖者会获得三件奖品一个是诺贝尔奖的证书一个是金枝奖章还有一个是奖金支票
