Vol.84 利乐的“垄断式成功”
时长：00:34:44
来源：网易云音乐电台节目 · 商业就是这样 · Vol.84 利乐的“垄断式成功”

[00:00:00] 大家好,我是肖文杰我是徐平青今年国内各地的疫情都时有反复所以可能大家都有意识地在囤一点货或者在忙着消灭之前囤的货我前段时间收拾家里就看着家里设了好几盒常温奶就发现可以聊一家很有意思的公司就是做牛奶和饮料纸和利乐利乐,就脑中瞬间浮现起像三角一样的标志了对,利乐这套包装系统诞生至今大概有70年了
[00:00:28] 他曾经被瑞典皇家工程科学院认为是瑞典有史以来最成功的发明之一还有一个说法是利乐是乳业战场背后的军火商他仅仅靠给大品牌卖这种包装就可以赚很多很多钱军火商这个比喻听上去就是个狠角色嗯利乐呢目前是一个非上市公司但是每年自己会在官网上披露一些数字查了一下
[00:00:53] 2021年利乐在全球卖出了超过1920亿个纸包装然后这个公司当年的销售额大概是111亿欧元这个在欧洲品牌里面比Gucci高一点比迪卡侬低一点我本来还想惊叹一下1921亿这个数字的结果你后来找了这两个参照系有点妙而且没想到迪卡侬的营收还比Gucci要高一点
[00:01:19] 对的对的就是迪卡侬这个公司虽然东西很便宜但是规模真的很大但是利乐是一个做这种小的纸包装的2B的公司它的营收规模上能够跟这么两个知名的2C品牌比肩这本身就能说明一些问题了然后最鲜明的一点就是说利乐在自己这个行业里面的地位是有绝对的领先位置的
[00:01:42] 看了一篇2020年的研报估计说是在无菌包装的这个领域里面利乐大概吃掉了全球70%到75%的市场份额然后呢在它后面那个第二名的品牌就只有10%几了真的是几乎做到了品牌级品类对吧如果你去超市的常温饮料或者是常温乳品区里面你随便拿一盒产品看它的底部大概都能找到一个利乐的logo甚至就会有消费者直接管这种包装就叫利乐包嘛
[00:02:11] 所以从结果上来看丽乐算是一个典型的细分市场的一个冠军甚至都不算是隐形冠军了对吧对它其实已经走到台前来了其实这样的市场地位和社民在所谓的供应商里面并不是很常见的不管是从技术规模发展策略还是说丽乐引发的很多后续的市场竞争来看丽乐本身都是一家很值得了的公司这期节目我们主要就讲关于它的三个方面
[00:02:38] 首先是利乐的技术和商业模式是如何建立起来的第二就是利乐为什么会在中国变成反垄断法诞生的一个重要背景案例最后就是经过了一些这么大的政策变化之后利乐为什么还是这么厉害呢那我们就开始吧这里是商业就是这样
[00:03:06] 要说利乐呢我们还是说下利乐出现之前的事件就是出现之前的饮品包装尤其是牛奶包装是个什么样子的小时候家里订过那种鲜牛奶的朋友肯定知道当时的鲜奶主要是用玻璃瓶子装的夜里在奶油厂里面把奶挤出来然后简单消一下毒灌到瓶子里面封好盖子早上给你送到奶箱里你喝完以后再把瓶子放回去这个瓶子可以回收洗净了反复利用
[00:03:33] 这个所谓送奶到家的模式呢在大城市还是蛮多见的查了一下上海其实在1870年就开始有这种服务了那个时候消费者主要是欧洲人欧洲人对奶制品就是有真正的日常需求的原本你Q到上海嘛我还想说我小时候都是订什么光明的瓶装奶的但是在1870年面前就不值一提了话说回来这种瓶装的鲜奶其实它的优点和缺点都挺明显的
[00:04:01] 优点呢当然是新鲜这个不需要对牛奶做太多处理风味损失也会比较少那缺点就是保质器非常的短而且玻璃瓶本身比较笨重它的运输成本也很高也就是因为当时的所谓杀菌和包装的技术很难兼顾到风味与保质器所以他们就选择了风味把保质器就放掉了所以呢当时会出现很多地方性的牛奶品牌以及所谓送奶到家之后本地化的服务
[00:04:28] 所以那个时候其实牛奶就是一个非常本地的一个产品它那些这个牧场一般也就是在城市的近郊对吧就对城市来说对的甚至在城市发展的不是很好早期阶段可能就在城里面也是有可能的但是问题就是全世界重要的那些消费城市都变得越来越大这个城市空间挤占了很多原本近郊的牧场空间而城市本身的人口也变多了它对于牛奶需求肯定是更大的
[00:04:56] 但是这个奶牛呢距离消费者的距离却越来越远了如果你再用这种传统的方法去卖牛奶这个运输成本和损耗率上面呢就会变得很难负担而且这种成交的牧场也肯定供应不上这么大的需求了所以从保质期和成本这两个角度出发呢这个理论上都应该去探索一些更好的食品的包装技术包括杀菌技术
[00:05:20] 这个呢就是利乐创始人这个人叫鲁宾劳欣他在1920年代提出的洞察1920年代能够想到这一点的话还是蛮领先的一个想法他好像是在美国读书的时候看到了这个世界的发展所以提出了这么一个洞察很有意思啊他虽然就是提出了这么一个很前瞻的想法但是在他自己创意的前二三十年里面其实并没有做这个事情
[00:05:44] 他其实盘了一家包装厂去做的还是像面粉袋这样子很传统的包装这像枕头一样的那种包装是吗不他就是做面粉袋子真正装面粉的袋子OK真正装面粉的袋子他其实到1952年才跟他下面的工程师一起发明出来我们现在比较熟悉的这种利洛包的雏形而这个雏形也很有意思就是有一个拿过诺贝尔奖的大物理学家叫波尔波尔说这个方案是
[00:06:13] 数学问题在生活中的完美应用
