Vol.167 一次性说清“退货”这件事
时长：00:36:57
来源：网易云音乐电台节目 · 商业就是这样 · Vol.167 一次性说清“退货”这件事

[00:00:01] 大家好,我是肖文杰我是小亚先跟大家继续打个招呼本周的感冒虽然差不多快要好了但是鼻音还保留了一些请大家见谅约老师的鼻音还在然后我们滴滴的福利也在听过上一期节目的听友可能已经知道最近滴滴找到了我们想宣传一个他们新上线的活动名字叫早上打一单,下夜就免单
[00:00:23] 6月24日至7月21日第一在广州西安长沙杭州郑州等130个城市推出了这个早上打一单下夜就免单的活动简单来说呢就是用户每天早上7点至11点间完成快车或者特惠快车的订单之后就可以领取一张免单券那在晚上的17点至22点之间打快车和特惠快车都可以使用最高呢可减20元或30元
[00:00:51] 不同城市的奖励额都是不一样的详细请大家登陆滴滴出行的APP或者小程序参与体验滴滴还在6月21日启动了一个叫清凉一下的专项计划为全国274个城市的司机师傅发放了6亿的高温补贴也是鼓励司机能够配合乘客的需求打开空调商业就是这样也祝大家能在夏天凉爽地收听我们的节目
[00:01:15] 参与评论本期节目或者参与听友群的猜谜我们会抽取几位幸运听友送出滴滴的打车卡OK 那我们就进入今天的正式节目我们平时除了聊具体的公司行业和潮流以外呢经常还会在节目里面讨论一些相对抽象但是可以越挖越深的商业概念比如说怎么为商品定价怎么设计和贩卖商业模式以及某些经济学概念到底在说什么等等我们光是在价格这个话题上面就已经聊过三期了而且好像还没有结束是吧
[00:01:43] 我自己还是比较喜欢这类话题的因为可以用很不一样的视角来思考一些生活当中特别司空见惯的事物今天就想再实践了一下来聊一个看似非常简单直白的天赋消费者权益但是深究起来这个概念很复杂其实只有两个字就是退货这么一说确实因为现代社会当中几乎所有人都是消费者而退货又是消费者权益保护的一个重点之一
[00:02:09] 尤其是现在网络购物的时代如果没有可以退货这一层兜底的制度保障的话感觉很多交易根本就没办法达成了当然就像我们前面说的退货不仅是受法律保障一种消费者权益在实践过程当中实际上蕴含了非常多的商业设计和创新比如在美国市场商家在激烈的竞争当中对于退货的宽容度是越来越高以至于形成了一种
[00:02:32] 全社会的畸形的消费文化而在中国市场围绕退货也诞生过两个很经典的商业事件一个是阿里首创的运费险另外一个就是被拼多多带货的紧退款所以本期节目我们就想尝试一下一口气把退货这个概念聊清楚因为涉及到的内容很多所以这口气应该比往期的节目更长一点但是大致还是可以从四个方面出发来聊首先就是受到法律保障兜底的消费者退货权益我们会列举欧洲
[00:02:59] 美国和中国这三大市场的相关制度九美国部分呢还会涉及到一个经济学概念叫宁文市场然后我们来看一下一篇神奇的经济学论文是如何保障了美国的汽车交易第二呢就是在法律制度之上商家自己设计的退货制度我们会一路从最早提出了退货权概念的这个品牌Wedgewood出发主要看一下退货在美国是如何演变成那种奇特的甚至愈发激进的消费文化的
[00:03:25] 第三呢我们要拆解一下退货这个操作对于商家而言到底意味着哪些额外的成本
[00:03:31] 以及为什么在明知道要额外承受一些损失的情况下商家依然会趋向于更宽松的退货政策而且这些对他们来说有什么好处呢第四呢就是退货率当然不可能越高越好所以说很多商家也会有自己的管制手段我们会简要介绍一些常见的策略至于结尾的部分呢我们会再基于对于当前中国市场的观察聊一下退货机制被滥用的可能以及它会不会真的让市场列化为所谓的柠檬市场这里是商业就是这样
[00:04:05] 那我们进入第一部分就是受消费者权益保护法所保障的退货权其实很多国家都会设计法律法规来保障消费者的退货权益也叫交易的撤回权或者叫冷静期有很多说法那我们就从适用范围冷静期的时效以及例外的政策三个方面来具体看三个大的市场之间的区别这三个大市场就是欧盟中国和美国有什么异同首先是欧盟从适用范围来看到欧盟的退货权
[00:04:33] 主要适用于几种特定场景包括远程销售上门推销品牌直销以及非常地销售合同其中远程销售既覆盖了传统的邮购目录和电视购物也覆盖了现在这种比较常见的网络购物所谓的非常地销售合同指的是什么呢指的是不在这个品牌的常规销售点完成交易的情况比如说这个品牌去市集上摆了个摊或者包了个酒店开了个会都属于这种情况对的
[00:05:02] 针对这些特定场景下
[00:05:29] 易服烂和零宝产品酒精饮料报纸杂志音像软件等数字产品休闲服务以及价格容易受金融市场影响波动比较大的那些商品服务等等感觉也很符合我们大众的认知里面很多都是如果你一旦使用就无法再销售的商品或者服务退货属实是比较为难讲完欧盟情况接下来美国和中国部分就会相当容易一点我们重点就可以放在差异上
[00:05:55] 中国的话目前我们比较熟悉的保障退货权的规章制度是有两条一条是2014年修订以后的消费者权益保护法第二条就是三包政策从适用范围来看消费者权益保护法主要覆盖的是远程销售场景跟欧盟差不多主要就是那种没有办法面对面完成交易的情况后者主要覆盖的是日常零售场景其实线上线下都覆盖到了但是它只管具体的23种商品的品类
[00:06:22] 基本都是一些家电产品嘛原来是家电三包其实三包政策就是家电三包时效性方面呢国内的消费者无理由退货都需要在七天内提出至于商家退款时效呢三包政策是没有具体的规定消费者权益保护法规定是七天也就是说不管对于商家还是对于消费者来说中国市场在退货时效方面的要求都是更严格的至于例外情况呢消费者权益保护法指出
[00:06:47] 定制产品鲜活衣服产品数字产品报纸杂志以及消费者在购买时确认过不宜退货的商品商家都有自觉为他们退货的权利前面几项其实与我们都是比较一致的不过这个最后一条就有点为商家兜底的意思了我觉得商家只要说一句我不退不换也就可以了如果说我们去看美国市场反而会发现这方面对于商家的宽容度更高了
[00:07:12] 美国相关立法比较复杂联邦层面和各州层面差别就很大另外针对汽车有专门的柠檬法我们就先把广义层面讲完目前美国联邦贸易委员会也就是FTC对于冷静期的规定在试用场景上跟欧盟基本上是一致的覆盖就是非常规场所销售的场景也就是消费者难以掌握商品真实信息或者容易受到推销压力影响的一些情况但是可以提出退货的窗口期
[00:07:39] 在美国是更短的只有三个工作日从货品的范围来看FTC并不保障网购这样的远程销售场景不动产艺术品和工艺品也不在保护范围内等于说美国联邦层面对于退货权的保护是最少的不仅不保护网购还只给了三天的冷静期这是联邦层面但是具体到各州的立法情况就很不一样绝大多数州都没有照抄联邦规定而是表示说
[00:08:06] 消费者能否获得退款主要取决于零售商的退货和退款政策消费者没有特别的法律权利可以要求取消这个合同或者购买协议你如果实在想解决这个问题你就只能通过诉讼来解决不过所有州也都提到说零售商需要明确地公布自己的退货退款协议否则呢消费者可以拥有一定时间的退款的时效
[00:08:30] 比如说时效最宽松的纽约州就规定说如果一个商店没有公布任何的退货政策就必须在消费者购买30天内接受所有的退货30天这么长感觉这个也是美国这个国家立法的神奇之处就是联邦和各州层面是不完全统一或者说是完全不同意而且州的层面实际上是把保障退货权的这个责任转嫁到了商家上面就是你一定要有一个明确的规定
[00:08:56] 只要你定的这个规则是符合联邦的最低要求的这个标准就可以了换句话说就是美国的退货权保障总体来说是市场化程度最高的那这个对于消费者来说也就最有挑战性了但是有一个品类是例外的就是汽车包括新车和二手车它在退货时效上面都宽松非常多这里我们还是举纽约州的例子如果一辆新车它经历了四次维修都没有解决它的这个故障或者单次的维修时长在一个月以上
[00:09:25] 那么这个消费者就可以在买车两年内或者行驶里程在18000英里之内提出退货退款的诉求那对于经历了三次以上维修到二手车纽约州的这个退货的窗口期也至少有30天这也针对汽车市场而且相对宽松的退换货制度保障呢就是所谓的柠檬法刚才岳老师一直在Q到这个柠檬法但是柠檬和汽车到底是什么关系这关系是由一篇经典的经济学论文建立起来的这个论文的标题叫柠檬市场
[00:09:54] 质化的不确定性和市场机制
[00:09:57] 这个论文的作者是后来拿了诺贝尔奖的乔治·阿克洛夫我们在菜单成本那期节目里面应该提到过他在这篇论文里面阿克洛夫是讨论了二手车自由市场上可能出现一种劣币驱逐两币的现象他观察到当时美国的二手车市场上面买卖双方有很严重的信息不对称一方面卖家肯定有充足的动力来掩盖这个车的问题因为一次充好肯定会获得更高的利润
[00:10:22] 另外一方面呢买家虽然只能通过观察这个车的外观或者说简单试驾来判断但是买家也不是傻子呀他肯定知道卖家会搞鬼所以从最后成交市场价格来看呢一般而言就会达到一个平均品质所对应的一个中等价格这个中等价格交到卖家这里他会怎么办呢他为了保证能从这个交易当中获利那他最后给到的产品只会比这个平均品质更差一点这样才能赚钱嘛
[00:10:49] 那久而久之呢像香甜的桃子和樱桃一样好的二手车就会被挤出市场消费者只能买到像柠檬一样令人心里很酸涩的二手车那么在这个极端情况下呢这个市场会怎么样呢就会因为毫无信任没有办法达成任何交易那这个市场最后就会崩溃我感觉这个现状吧其实和现在目前中国的二手车市场没有本质上的区别其实这个背后的逻辑就是一个比较简单的博弈论的分析我觉得刚才又要是这样讲一遍大家应该都可以理解
[00:11:17] 这个论文呢最初也是因为看起来就过于肤浅所以说有三家期刊都决定我们不想要这篇稿子然后他1970年才在哈佛大学的经济学期刊上面发表了这发表之后呢马上就引来了学界和社会的巨大反响到了1982年呢各州都开始陆续以这篇论文的结论为出发点设计了自己的尼摩法也就是汽车的这个退货相关的保障制度来保障整个汽车市场交易
[00:11:44] 另外呢这边还要补一个市场的背景就是当时其实美国市场是有大量高性价比的日系汽车来销售的那本土的美国品牌呢反而有很多质量和售后的问题柠檬法推出实际上是一种怎么说呢当地的产业破釜存舟的一种改革的思路吧倒逼这些本土品牌来提升质量甚至有个说法是没有柠檬法就没有如今的通用和福特可见美国总体来说虽然不是特别重视消费者保护政策上给的很小气但是在一些特别
[00:12:13] 关键的品类和市场上面有时候也是不利于重拳出击的
[00:12:19] 简单总结一下前面讲的内容在消费者退货权的法律保护方面不管是适用范围窗口期的长度还是豁免范围欧盟在三大市场当中都是相对最宽松的中国次之美国最紧而且主要是由企业本身来承担责任的但是美国因为受到阿克罗夫著名论文的影响各州针对汽车市场普遍是有一个专门的拟文法这方面的消费者保护是做得比较好的
[00:12:46] 美国这种亲立法重市场的局面呢正好可以把我们带入第二部分也是品牌和商家自身基于这个退货政策设计的一个竞争这种现象在美国是最普遍的不过说这个故事呢还是要从英国说起因为目前在有据可查的企业里面最早在18世纪就给出过商品可退货退款承诺的正好是一家著名的英国企业就是Vigwood
