Vol.82 三年再开3000家店，星巴克中国太敢了
时长：00:37:03
来源：网易云音乐电台节目 · 商业就是这样 · Vol.82 三年再开3000家店，星巴克中国太敢了

[00:00:00] 大家好,我是肖文杰,我是徐明清两周多之前,9月14日星巴克在他的总部西雅图举办了一个蛮重要的活动叫全球投资者交流会这个活动呢,星巴克是两年才办一次的所以算是一个了解星巴克最近在想什么做什么的一个比较好的机会其实在2018年我在上海就近距离感受过这个活动啊那个也是星巴克第一次在中国办他的全球投资者交流会
[00:00:27] 其实整个2018年当时对星巴克都很特别因为那一年公司的传奇人物霍华德·舒尔茨是第二次离任的CEO这个谁能想到在2022年我们竟然又见证了舒尔茨在这个会上交接班又又交接班他引入了这位新的CEO叫拉克斯曼·纳拉辛汗这是一位印度人他之前是英国快销巨头利杰什的CEO很有名的一个公司他下面的品牌
[00:00:54] 然后过去半年里面星巴克因为已经有几位高管离任或者是退休了所以拉克斯曼其实接手的是一个挺复杂的局面相当于他不仅要提升业绩也要与团队来磨合然后来实现星巴克的re-invention plan所谓的全球重塑计划又是全球又是重塑的听上去这个计划就很重磅确实有很多重磅的内容
[00:01:15] 今天主要来讲讲是里面其中中国的部分就是星巴克中国董事长王静英披露的叫2025中国战略愿景中国业务可以说是星巴克这几年最重视的增长引擎之一所以我们也简单的比较了一下过去四届的全球投资者交流会上面对于这个部分的披露情况结果发现今年这个披露不仅是四届里面介绍时间最长最全面的一次就连这个战略愿景本身也非常的定量什么叫非常定量
[00:01:45] 我来复述一下这串数字就是说到2025年的时候星巴克在中国预计将有9000家门店覆盖300个城市新增3.5万名员工这个员工在星巴克体系里叫伙伴也就是总的伙伴数要达到9.5万人接近10万了另外的话他的中国业务的净收入要翻一倍
[00:02:05] 营业利润就更厉害了要达到现在的4倍等等等等就是就你前面第一个数字全中国要有9000家星巴克就光这个场面就马上超出想象范围了已经其实在我们这期节目发布之前的9月28号星巴克是刚刚在中国内地开出了自己的第6000家门店也是全上海的第1000家店顺便一提这个店和星巴克在2001年的上海首店选在了同一个楼里也是有点缘分
[00:02:32] 目前上海也是全球星巴克门店最多的一个城市关于这个情况我们可能接下来还会提到所以我们讲了这么多次咖啡的节目终于要来讲一讲星巴克这个品牌了吗对的这次星巴克中国给出的是一套非常清晰明确的发展目标大家肯定会问这个有可能实现吗这么激进的数字结合这次王静怡女士的介绍以及我们对于星巴克中国的长期观察我们是希望从以下三个方面给出一些值得我们后续观察和讨论信息
