Vol.208 超市里的食物为什么都有塑料包装？
时长：00:34:25
来源：网易云音乐电台节目 · 商业就是这样 · Vol.208 超市里的食物为什么都有塑料包装？

[00:00:01] 大家好 我是肖文杰我是小雅前段时间我是为了工作逛了很多次超市和便利店我觉得现下生活里面值得聊的话题可真是太多了我们今天就再聊一个超市里面发现的现象吧约老师 你每次去超市都有新发现比逛海澜之家都有效果我觉得是这样就是为了维护本台内容主题的多样性希望你就是自诉两周两周以内不要去逛超市了最近是有一点集中之后换点别的话题聊
[00:00:28] 今天想聊的是一个其实还是很常见的现象就是超市里的很多生鲜食品现在都是有一层塑料包装的封装了比如说蔬菜一般会拿一个塑料袋给你套起来像玉米黄瓜这种简易包装一般也是拿保鲜膜给你裹两层水果的话可能先套一个什么泡沫网袋然后在外面放一个塑料盒或者那种带提手的包装袋肉类禽类就更是这样它其实都是一块块切好封在那个盒子里里面还会充气对不对
[00:00:57] 而且有些水果我感觉会比你讲的还要复杂比如说一些比较易碎的或者易损的比如像草莓这两年超市里面流行的包装都是跟那种鸡蛋的蛋托一样的一颗一颗的草莓单独的托在一个半圆形的一个凹槽里面对不对
[00:01:13] 你这么一说确实
[00:01:39] 像我们小时候在超市的这种杂粮区里边就是一个快乐就是各种的米把手很贱的伸进去淘一淘然后把各种米混在一起是所以呢今天我们要讨论的一个问题就是为什么现在在超市里的食品基本上都会带一层塑料包装
[00:01:58] 这个问题这样听起来会觉得怪怪的因为它已经是一个很普遍的现象了但是如果深究一下会发现这个问题的答案和消费的发展历史以及零售渠道的发展是密切相关的甚至说它现在已经是一个比较专业的细分领域了那今天我们就从两个方向出发来拆解这个问题首先就是超市里的食品是怎么一步步被包上塑料的其次就是食品的塑料包装到底是一个真需求还是伪需求这里是商业就是这样
[00:02:32] 我们先进入第一个部分吧所以到底是谁先想到的给超市里面的那些食品都套个塑料包装这个答案其实很容易猜肯定是美国人美国人毕竟是一个现代消费主义的主要的发源地包括大型超市也是非常美式一种零售渠道而食品包装早期发展过程其实可以追溯到几种特定的塑料产品第一部分我们就只讲其中影响力最大的一种叫做赛洛芬叫赛洛芬
[00:02:59] 塞鲁鲁我是知道的塞鲁芬有点不太熟悉塞鲁鲁是一种热塑性树脂塑料也是现代塑料一个老祖宗包括现在很多复古眼睛摆材还在用塞鲁鲁好这样的吗我只知道塞鲁鲁是动画片的塞鲁鲁对那个也是很重要的一个应用场景塞鲁芬介绍一下
[00:03:17] 塞鲁芬和塞洛洛这个名字听起来很像原因就是因为它们都是从纤维素当中来的就是纤维素在英文里面这个词就是塞鲁的部分塞鲁那个部分对 但是塞鲁芬的商品形态是一种透明的塑料薄膜也就是俗称的一种玻璃纸我可以在shownotes里面放个图片大家一看就知道了好 在1930年美国这种玻璃纸或者塞鲁芬就是用来被包装食品的我们可以讲一下这个产品的发展历史
[00:03:45] 塞罗芬最早是一位瑞士的化学家叫亚克艾德温·布兰德伯格的发明布兰德伯格这个人有一次在餐厅里面看到隔壁的服务员把红酒撒到了桌布上那他就想说我可不可以发明一种不会被染色的桌布呢这样清洁起来不是很方便吗他就想了个办法就把那个纤维素溶成胶状涂到那个桌布上就发现了这个桌布确实是不会被染色的但是这个桌布变得很硬很脆
[00:04:13] 就是不是很实用就不是很像布了然后到了1908年才终于意识到这个涂层和桌布其实是可以分开来的然后我直接把这个纤维素去处理一下制成一个薄膜铺上去不就好了吗这就是赛鲁芬的最早形态不愧是20世纪初又是一个化学创业突破门禁的一个时代不过我们现在也可以看到餐厅里面经常会有两层的桌布就是一个比如说布衣的桌布上面然后会
[00:04:39] 涂好多层层塑料的或者是那种就是感觉硬硬的那种桌布然后你就是每次掀掉一层就可以收拾很快嘛布兰登伯格很快意识到说这个薄膜不仅可以用来当房屋的桌布也可以用来当包装材料尤其它的性质非常稳定也就是可以拿来包装食品就不会自己就分解掉了对也不会沾染到一些东西上面去这其实就是变成一门专门的生意了
[00:05:02] 所以他后来自己注册了一个公司专门去推广这种赛鲁芬的薄膜并且在1923年把赛鲁芬在美国生产和销售的独家授权卖给了一个当时的化工大厂杜邦现在也是很大的公司杜邦其实非常重视这个新材料的也就是杜邦对于赛鲁芬做了很大力的投入带动了后续美国消费市场上的一系列变化据悉来说有两个方向上的投入首先是产品的改良最早版本的赛鲁芬就是防水抗菌
[00:05:31] 但是它有个问题它不防潮就里面潮气透不出来就导致呢它只能用来包一些干的食物比如说糖果和饼干就不能包蔬菜水果这种容易产生水汽的那杜邦呢就是微调的配方它在1927年研发出一种防潮赛鲁芬
[00:05:47] 然后又在1946年开发出了可以调节包装内部的湿度又能保证氧气通过一种新型的赛洛芬就把这个问题都解决掉了等于是杜邦在买下了赛洛芬这个生产和销售的独家授权之后大概用了20多年的时间把它改良成一个非常适合作为食品包装的一个材料是的那他为什么去做这些改良工作也是因为他看到就是
[00:06:13] 在食品包装这个市场上确实有需求这个我们就讲到
[00:06:42] 商品的方式也要做调整那举一个例子就是为什么现在超市里面经常蔬菜水果这些生鲜食品是放在一进门的地方的这个就是因为超市发现了这些商品对于消费者的感官刺激是最强的也最能够展示零售商对于新鲜和品质的追求所以他们调了一下就把这个部门的位置调换过来
[00:07:03] 这个点还是蛮重要的就是现代的超市和过去那种就是一个菜店或者说是一个农贸市场最大的区别是自助购物对自助购物这些特点就让透明的赛罗芬变成了一个绝佳的商品包装材料因为它是透明的杜邦对它提出了一个核心的洞察叫用眼睛购物
[00:07:24] 什么意思呢就是超市里的商品即使它是有包装的你没有办法仔细的触摸到它也没有办法闻到它或者说吃到它的味道但是因为它的包装是透明的你依然可以直接透过这个包装看到商品的本体你通过视觉观察以及延展出来其他感官的想象这个就能帮助你做出购物的决策关于这个用眼睛够的洞察我们看到杜邦还赞助过一些学术研究
[00:07:50] 就他有一些结论比如说85%的食品购买决策是由视觉决定的我感觉这个说法呢其实从大的感官上面应该也没有什么特别大的错但是你要去赞助这样一个说法的话感觉又有点怪怪的是吧就商业赞助的一个研究对商业赞助科学研究这个结论总是有点可疑嘛never mind反正在1930到1940年代杜邦其实一直是在这个洞察基础上去打广告的而且他们尤其重视对于女性消费者的广告
[00:08:16] 因为超市对于当时的家庭妇女采购
[00:08:40] 肉类在传统的农贸市场里面也属于是比较难搞的你要一些专门的工整的人帮你来卖肉对不对它又有血水又有味道还要就是做现场的一些分解但是它量又很大大家都每天都需要对吧所以这是一个超市里面一个难搞的东西对很难搞的东西就想把肉类改成自助销售其实要解决问题比一般的食品要复杂很多举个例子比如说牛肉牛肉呢
[00:09:04] 被切开的时候最新鲜的颜色其实是带有一点那种金属光泽的紫红色然后呢之后会变成鲜红色
[00:09:11] 如果红色的肉你再放一段时间或者是你保存条件是缺氧的条件它其实很容易变成棕色你像那种速风的那种牛排它其实就是棕色的对有可能就会变成棕色然后你解开它之后它就慢慢变红了是的消费者如果从常识出发你就说我们说用眼睛购物其实肯定会选那个红的肉看着就够新鲜但是其实如果就是这个肉的棕色部分很浅其实也不能算不新鲜对没有什么特别大的问题对就是说不是最新鲜这个知识点我竟然是在河马MB学到的是吧我是在看一些就是
[00:09:40] 如何做就煎牛排的视频上面学到这个点了对我是在逛超市的时候他们真的放了一块牌子跟大家解释说我们这个肉变宗并不是因为他不信天就他专门解释了这个知识感觉是不是山姆做过这种事情然后他们来学的我不知道有没有这个对反正就是这些消费者教育就是一直要做所以说即使是其他品类基本上都能改成自主购物了
[00:10:00] 但是当时就是美国的很多超市还是会保留那种传统的肉类柜台就是会有一个师傅在那里跟你沟通你要哪块肉我感觉即便就是这几年的一些新的超市其实有的还是会保留这个就是现场这个肉类的师傅包括山姆就是有外面分装好但是很多人还是会说其实你可以跟师傅沟通你想要哪块肉对吧那其实伴随着对于肉类新鲜的追求商家如果想把这个部分改成自助销售他所有要解决就不仅仅是展示和包装的问题了
[00:10:29] 他其实还要考虑很多问题比如说适当的销售的温度对吧还是不是能够从照明上弥补一些视觉上的不足所以说针对肉类的自主销售呢其实不光是这个包装上面的改革还要等到比如说敞开式冷柜敞开式冷柜对还有就是照明方案也要做相应的调整还有就是我们说的就是那个杜邦对于这个赛罗芬的防潮和透气性同时做了大幅的改良以后这个所有的账号才扫清了这个肉类也
[00:10:56] 变成了自助销售所以到这里的话我们基本上是把超市的食品包装历史上面最重要一种材料就是赛洛芬的普及的过程讲了一下可以看到它是如何一步步的自我的改良之后一步步的把各种各样的食品都包到它里边来的然后这里边的一个核心的切换点就是超市这种自助式购物的模式成为了在美国的一个零售的主流使得赛洛芬这种材料才大规模的推广
[00:11:23] 那这个过程当中呢固然有杜邦这样的大公司的精心的推动但是赛洛芬本身的一些特性比如像透明防潮啊易塑等等确实也是给他自己打下了良好的基础让他能够成为食品包装这个分类里面的一个主流的产品
[00:11:38] 那随着赛洛芬在超市里面普及食品包装这个思路已经被完全打开了然后就会发现很多新的塑料也开始进入这个市场其实到现在赛洛芬在超市里面出境率已经非常的低了大部分的食品的包装都采用一些更先进的塑料材质或者是一些更先进的包装工艺所以第二部分呢我们就可以再聊一些赛洛芬的继承者首先呢就是我们前面提到的另外一种包装材料就是保鲜膜保鲜膜的前身是一种叫做PVDC叫
[00:12:06] 巨偏二氯乙烯的化学物质它是由另外一个化工大厂就是陶氏化学研发的它最早是一个或者是工业级的使用的塑料它的主要的一个用途是涂在战斗机表面防止海水的侵蚀感觉就是跟航空母舰很相关的一个东西对不起反正就是二战时期的一个产物吧然后后来把它民用化的过程中陶氏就把它最大两个问题也处理掉一个是这个PVDC本身是有点绿色的
[00:12:35] 就把这个绿色处理掉另外呢它的气味很难闻然后把气味也去除掉了然后呢就把它变成一种可以接触食品的包装材料相比于我们前面说的塞鲁芬呢保鲜膜同样是一个性质很稳定能够隔绝气味和水分的一个材料而且它还有几个好处第一呢就是它比较软就可以拿来任意的塑形比如说那个玻璃纸大家可能有感觉它稍微还是有点
[00:12:59] 硬硬的或者脆脆的但是比如说保鲜膜的话它包蔬果就是可以包的非常紧密第二呢就是PVDC这个材料自己带一点粘性就你不用再拿一个什么捆绳啊或者封口机把这个包装在风上但是现在我们知道就是保鲜膜的话其实都不是PVDC然后是PVC就是把那个绿的部分去掉了它这个自粘性其实是有点下降的对其实就是现在家里用保鲜膜我经常觉得粘不住其实就是这个原因
[00:13:24] 第三个好处就是保鲜膜不仅适用于零售商和品牌商在销售时候的包装它其实也广泛适用于家庭内部就是对于食品密闭保存的时候你自己去粘那个保鲜膜那相比于赛罗芬呢其实就是扩展了很大一块C端的市场保鲜膜其实是一个非常有意思的就是食品包装的材料还可以举一个例子就是超市里面现在出现一种改良型的硬包材就是所谓的
[00:13:48] 贝壳式包装盒我知道你说那个你可以简单解释一下大家肯定见过这个东西就是用一片透明塑料同时压出它的盒子和盖子的两个部分然后边缘上面再做一些结构设计然后你把它对折一下按一按就能合成一个盒子就是一个透明的泡沫饭盒对绝对形状是那个样的大家肯定见过这个比如说我们之前讲的像蓝莓还有小番茄很多已经开始用这个盒子来包装对
[00:14:16] 这个盒子一出现其实就很快流行起来因为就比如说我们说那个蓝莓或者树莓包括这些草莓它最早的销售其实都是拿小篮子一篮一篮卖的对那种塑料篮子也会对你现在去采草莓它还是拿那个篮子给你装的包括像那个就是杨梅现在还有很多是那样的是这种包装一个很大的问题就是消费者其实只能看到表面那一层的那个品相
[00:14:39] 它其实很担心就是下层你是不是给我故意放坏的或者说我这个带的过程中会不会压坏对这其实品相不好是大家最重要的一个考虑会不会有这个问题但是贝壳式包装有一个好处就是它是立体的透明包装那等于说你把这个盒子翻过来你底部的水果品相也可以一眼就看到了而且因为它是一个立体的包装
[00:15:00] 在仓库里面其实保存起来
[00:15:25] 当是垃圾盒但是呢又不得不说它因为很硬壳嘛就是如果塞到垃圾袋里面又很不方便所以说有好有坏吧对那讲到打孔呢我们其实就进入到了食品包装另一个改良方向就是包装工艺上那我们前面讲到针对肉类包装这个赛洛芬的改良过程当中呢杜邦已经努力在解决像潮气啊或者说氧气透过滤这样比较复杂的问题了
[00:15:47] 那现代的食品包装工艺呢会更进一步它会根据食品本身的特性以及它的保质期目标来更改整个包装内部的气体成分这就是所谓的主动包装或者叫气条包装气条就是气体调节的那个意思所以我们那个里面的气体他们都是专门设计过的是的那通过调节保存环境当中气体组分来提升这个保鲜效果这个原理其实本身并不是很难想到一个事情据说19世纪就有人开始在物流运输当中实践了
