Vol.37 山姆和Costco凭什么让你花钱买会员？
时长：00:30:33
来源：网易云音乐电台节目 · 商业就是这样 · Vol.37 山姆和Costco凭什么让你花钱买会员？

[00:00:07] 这么大的一个店里面实际能够放在里面卖的商品只有大概四五千个这个相当于普通大超市的三分之一而且在单个品类里面一般只有一到两个品牌可以让你选这些商品里面还有25%左右是自由品牌的这个选品思路核心就是有一个要求叫高质低价
[00:00:40] 这里是商业就是这样大家好我是肖文杰我是邢明清今天呢我们来聊一种最近有点小红的零售门店的形态就是仓储会员店仓储顾名思义就是说这个店看起来就跟个大仓库一样货都是一堆一堆堆着卖的会员就是说消费者要到里面去买东西之前先得付会员费才能进去买总之是一种比较独特的购物体验
[00:01:04] 仓鼠会员店这个模式呢在中国有两个明星品牌一个是Costco2019年它在上海开中国首店的时候特别火明明已经开到郊区了然后开业前几天还是弄得这个附近一度要交通管制另外一个是山姆会员店它是沃尔玛的兄弟品牌但是呢1996年就进了中国市场它的中国首店是开在深圳福田的这个店已经连续12年拿了全球山姆会员店的销售冠军
[00:01:31] 然后在2019年Costco上海那个店开业的时候我也去凑过热闹确实是人山人海你被管制了吗我被管制了呀但是没有想到2021年反而是山姆又在抖音和小红书上活起来了大家都可能去买点什么烤鸡和马鼠之类的吧
[00:01:46] 最近关于这个山姆在社交网络上的火呢其实还是有点争议话题的比如说有人就私自卖那种比较便宜的次卡就是把自己那个几百块钱的会员卡借给别人用然后一次收个9块9结果呢就会有些店员严查你的会员卡让那些顾客就没有买成功闹得还不太愉快对于有些第一次尝试这种方式的消费者大家就会有点犯嘀咕就你一个超市而已凭什么我要花几百块钱才能进去呢
[00:02:11] 一方面呢山姆和Costco最近有些热度啊大家就会好奇他们的商业模式另外一方面呢这两年很多新出现的零售品牌上面也能看到一点仓储会员店的影子所以我们今天就想搞清楚一些基本的问题所谓仓储会员店到底是个什么东西它是靠什么赚钱的以及它在中国是不是能一直活下去
[00:02:34] 先说一个比较反直觉的事情
[00:03:03] 去不同的零售门店的话也会有频率的差异
[00:03:06] 所以买的时候客单价一般会比去超市高很多
[00:03:35] 就是会买很多东西对然后再说一下辐射范围前面提到便利店的例子便利店一般能够辐射的范围就是以这个店为中心的1000米左右的一个范围然后超市的辐射范围会稍微大一点因为货品比较齐全的话周围两三公里以内的消费者都会愿意来买东西然后仓主会员店的辐射范围其实可以更大因为很大部分的客流是自驾过来的那么这个就可以说超越5000米甚至更远的一个范围
