Vol.145 网红景德镇，一段商业史
时长：00:37:48
来源：网易云音乐电台节目 · 商业就是这样 · Vol.145 网红景德镇，一段商业史

[00:00:00] 大家好,我是向文杰今天岳老师不在但是我们今天有另外一位嘉宾有的听有可能会知道我的另一部分工作是未来预想图的编辑这是一才旗下的一个生活方式品牌
[00:00:13] 经常会出主题的MOOC书介绍一些有意思的品牌和话题之前第91期度假公司星野之上的故事又来自于未来一小图的MOOC当时那期节目我就有一个预告说我们下一本书的主题会是景德镇之后就经常有听友在留言区推更现在我们终于可以宣布这本书正式出版了名字就叫重新发现景德镇现在你就可以在节目的show notes里面看到购买的链接
[00:00:43] 那这期节目呢我们就请到了未来意想的主编赵慧和我一起来讲一讲景德镇的故事嗯大家好我是赵慧其实说到景德镇哈萧嫂应该也知道我们正常提起它它是以陶瓷闻名嘛那近几年呢它就成了一个新晋的网红城市然后呢它不仅涌现出几个适合拍照出片的旅游目的地而且还吸引很多年轻人离开原来城市到那边去寻找新的生活方式
[00:01:09] 然后我们就发现啊就是都是一些比较看起来有点表面的有偏见的然后它也去阻碍一个城市发展的真正魅力与活力的东西就你也知道我在说什么啊就是我们现在常常听到那个什么小土豆烧烤坑夫三这种其实拿景德镇来讲啊就除了我们常常说的这些瓷器啊匠人啊打卡啊市集啊你还能说出来什么呢所以我就在
[00:01:32] 拜访研究景德镇之后还有就是回到东京之后再去看日本的一些陶瓷产业和工艺我就感受到有一些不太一样它是什么是品牌的力量还有技术的力量可以说这两方各有强项我甚至后来有去看一个日本的这种和陶瓷有关的展览还有一些演讲然后他们里面大家在分享的时候就提到说日本呢就是像左鹤县它有一个有田烧嘛
[00:01:56] 他们在讲这个发展史的时候就提到说他们这个陶瓷产业的一次大发展就趁着当年中国朝代交替的时候当时景德镇没有什么办法去应对这些国际上的订单嘛那所以日本这边呢他们就开始学习发展技术去抢这个生意所以说到景德镇的这个制瓷技术所有人都会觉得景德镇到现在大家都会觉得景德镇非常厉害那好像就很矛盾啊就一个很厉害的地方我们就除了这么一个地名还记住了什么呢
[00:02:23] 我们会说那些和日本人常常说的这个一子烧九谷烧美农烧有田烧的故事吗这个就是一个值得去思考的事情所以说我们就想重新去探索我们身边的这些城市这样呢就有了这样一本书还有就是非常感性的关键词归纳的认知法我们用十个关键词去统领这些对城市的认知就很多你可能乍一看都不太了解是在说什么但其实都是和这个城市有非常有趣的这个关联性
[00:02:52] 甚至和这个城市的历史脉络都是息息相关的对的赵会刚才说的这个十个关键词呢其实就是我们这本重新发现景德镇的这个目录的一个分裂的一个方式就是我们用十个关键词来作为这个章节的分法就是这些关键词像赵会刚才讲的你乍一看都不知道在说什么
[00:03:11] 其实之前几天我们在这个未来一想图的播客名字叫现在进行史里面其实已经聊过了景德镇啊在那个里面我就把我们对于城市的这个探索啊比较肤浅就是城市本身是一片海如果你只是去观光那些网红的点的话有可能只是看到海面但是如果你稍微探一下头去的话就会看到海面下面的海洋生物对这个还蛮贴切的对那些关键词呢其实就是里面的海洋生物
[00:03:38] 对我们来说他们的互动包括他们本身都是非常有趣的然而我们今天不准备讨论一整本书或者就是单纯的来介绍我们想来挑其中一个关键词来跟大家讲一讲这个关键词叫神仙团听上去有一些玄学但其实我们讲的是商业故事的主角是景德镇的一个叫做雕塑磁场的地方它是一个厂创立于1959年至今这个公司的实体仍然是存在的
[00:04:06] 但是它的内涵已经发生了彻底的变化其实在当地这个现在可能都已经是成为一个地名了就是这个厂子的意义其实已经消失了对这个过去呢它还真的是一个厂它是一个生产神仙雕塑的地方是一个可以说陶瓷工艺的一个卧虎藏龙之地啊但是它后来一度变成了一片逐渐废弃的厂房但到了现在呢它又变成了一个旅行者到景德镇的一个必去的目的地打卡地
[00:04:36] 而里面的那些神仙几乎是销声匿迹了我们的同事就觉得整个的变化的过程非常有意思就深入到雕塑磁场里面做了大量的采访获得了很多可以说是一手的信息也逐渐搭建起了雕塑磁场的整个的历史脉络所以今天我们就来讲一讲这一段很小但是也非常有时代烙印和景泽镇特色的一个商业的变迁史这里是商业就是这样
[00:05:11] OK那我们会分成三个段落来大致讲述一下雕塑磁场的故事第一段我们就来讲讲它作为一个真的工厂的一个可以说是新盛世不过首先我还是要有请一下惠总来给大家简单的介绍一下景德镇的跟陶瓷有关的历史背景不然我们有可能不太了解嗯行那我反正先做一下这个历史性的导游嘛
[00:05:33] 那景德镇呢很多人可能知道它原来不叫景德镇它叫新平镇新是新旧的新然后平是平凡的平当时是因为那种御贡瓷器的品质非常好就上供给朝廷的这种瓷器所以宋真宗就是当时的皇帝嘛他把这个年号景德赐给了这个小镇之后呢因为它水运发达交通很便利就一直是陶瓷业发展的一个非常重要的城镇
[00:05:58] 到了元代的时候,然后有一个很重要的发现,就是当时人们在近的镇发现了高岭土,这种土是一种制作陶瓷器,制作瓷器的时候很重要的原料,高是那个高低的高,岭是山岭的岭,如果把这种土和瓷石融合成一种二元配方,然后让这个胎中的氧化铝的含量增高,这就提高了瓷器的强度,还有这个瓷胎的质量,它其实在这个陶瓷的历史上是一个非常重要的技术突破。
[00:06:27] 因为他提升了这个瓷器的硬度还有白度嘛所以他就为后续烧制大件的这个瓷器还有高温的釉彩奠定了一个很重要的基础我们很熟悉这个故事是因为在景德镇当时很多次很多次的听各种各样的人还有历史故事里面都讲到了这件事情那这种配方到今天啊它都是很多景德镇瓷器的这个核心竞争力之一然后后来到元朝的时候呢就是朝廷在景德镇第一次设立了官方的这个扶梁瓷局
[00:06:55] 这个也是一个很重要的这么一个节点那之后因为贸易的发展带来了很多国际的订单嘛大家都知道在元朝的时候有很多这个对外的交流那到明朝的时候呢就是一个很重要的这个官方机构出现了它是一个制词的这个玉器厂它就成为了烧制这种宫廷用词的唯一官窑那再后来呢就是我们熟悉的清朝康熙年间这个机构就改名叫玉窑厂这个称呼一直沿用到今天
[00:07:22] 现在当然已经是个地名啊那个地方也是一个博物馆了但是御窑厂在中国历史上烧造的这个时间是最长的它这个规模也是最大的而且也可以说是一个工艺最精湛的这种官办的窑厂然后到了近代呢就是我们记忆当中的这个国营的时代也就慢慢地到来了我们常常说就是1949年之后嘛就刚刚肖藏也说了就是景德镇把这个民国时期有些凋零的这个陶瓷生产资源重组它就形成了十几个国营瓷厂
[00:07:51] 就是说雕塑磁场
[00:08:19] 那刚刚惠总也讲到了就雕塑磁场就是十大磁场当中一个它其实也是有几个组织整合起来的最早是由景德镇的一个叫美术合作社还有一个雕塑合作社还有一个工艺合作社三社合并而成一开始呢它名字叫做工艺美术磁场后来呢就改名叫雕塑磁场做圆雕啊捏雕啊还有浮雕这三种产品那其中特别出名的一些产品呢就是做那种神仙形象的
[00:08:48] 陶瓷雕塑对这个我们到现在也能看到就是在雕塑磁场里面经常有人推一个小推车然后里面装了各种各样的神仙雕塑在里面走来走去所以说就是景德镇啊我们在看它真的是一个有丰富的这种民间神仙崇拜的地方我们在去景德镇做研究的时候其实我个人很喜欢这个之前的合作过的出版社编辑他们推的一本书就是我之前也一直多次跟大家提到过就是学者贺鼎写的这本
[00:09:16] 叫景德镇世界慈业中心的城市和遗产我真的很尊敬他的各种研究做得非常细致他就在书里说景德镇的神仙呢分成好几个系统比如说什么慈业祖师崇拜系统还有水神崇拜系统还有外来宗教系统等等那因为景德镇在这个官窑时代嘛他形成了各种各样的这个完善的产业分工而且他也是个移民城市因为工业非常发达所以他各方的移民啊还有行会啊都会生活在这个城市里面
[00:09:43] 然后呢那个年代生活嘛那就是需要供奉他们各种先祖先贤还有本地神仙还有慈业的祖师行业神他就需要这种信仰的这种礼俗的空间那神仙们就不仅居住在庙里面他也会出现在各种各样的这个同乡会馆还有行会的建筑里面
[00:10:00] 那其实在景德镇流传最广的一个慈业祖师神就是瑶神铜兵铜是什么铜是儿童的铜兵是兵客的兵这个名字在景德镇会大量的出现因为你会看到和他各种有关的这个宗教的这个雕塑啊还有他的这个就是供奉的一些地方那这个故事呢就是它是一个什么样的故事呢就是明朝万历年间的时候有一个朝廷上一个太监他叫潘相去督造这种青龙钢那青龙钢是一个体积非常大的这么一个钢体嘛
[00:10:29] 直径大概超过了90厘米然后高度是超过60厘米这真的是一个
[00:10:56] 他就不忍折磨嘛就跳到窑炉里面以死反抗然后呢就引起了当时做这个陶瓷的这个窑帮的集体抗议就也有研究说同兵他从皇家权力的反抗者最后变成了一个保佑窑公的烽火仙师他本身这种说法也是朝廷为了平息众怒有意为之的现在景德镇仍然有两处近代重新修建的供奉同兵的幼陶陵祠分别是位于玉窑厂还有一个是在古窑民俗博览区里面
[00:11:24] 就不得不说啊我们民间很多细分行业的这个神仙的信仰都是出自于这样的这个真实的历史事件啊往往都是在某件事上面做出重大牺牲或者贡献的一个真实人物然后之后就被这个行业里面的人奉为神秘了对这个在当时是很普遍的所以后来呢就是雕塑磁场生产的这个神仙雕塑里面就不愁消禄嘛就不仅有这样的一些本地的神仙行业神仙什么的它还有来自各种其他地方的这个订单
[00:11:53] 因为各个地方在中国当时都有这个民间信仰嘛而且当时十大磁场这个年代呢还有一个背景就是他们的主要任务是为了创会对就这一点我们看历史的时候也是挺惊讶的吧这个过程其实从1940年到改革开放的初期都是这样的我们就看一个数字就是1980年到1985年中国的这个出口陶瓷创会累计就达到了1.5亿美元当时的1.5亿美元
[00:12:20] 而景德镇则是这个当中的一个主力就1982年它的出口创会就达到了3000万美元累计销往了130多个国家和地区对其实我们看一看当时雕塑瓷厂的这个主要产品就能感觉到这种它是一个外向型的产业因为你看那些它雕出来的东西雕出来的人物像关公啊福禄寿啊嫦娥啊屈原啊什么观音菩萨这一些它其实都是港澳还有东南亚地区非常流行的了对的
[00:12:49] 就像刚才惠总提到的景德正从元代之后其实他的陶瓷的制瓷以及向全球的贸易就已经非常发达了我们感觉有可能像雕塑瓷厂在建国之后的话有点恢复到当年那个样子感兴趣的朋友如果对于古代历史的话有兴趣的话可以去听一听看理想出品的一个音频的节目叫从中国出发的全球史它第三季里边就专门讲到了历史上的陶瓷的全球贸易
[00:13:16] 对其实我们有时候去讲这些商业上的东西背后都和当时的历史环境密切相关整个的知识都连起来了我们再说回这个雕塑市场的事在改革开放之前像雕塑市场或者说整个景德镇的这个瓷器出口还是和历史上类似的这种官方统筹的这种模式比如说雕塑市场它生产的这个雕塑它都有规定的销售公司采购它生产多少就采购多少它就也没有什么竞争嘛所以也不用考虑市场就当时这个环境倒是非常单纯的
[00:13:45] 然后呢大概到80年代的时候那个时候也是一个节点因为当时陶瓷这个景德镇的陶瓷产业已经开始出现危机了就市场环境上我们可以看到几个信号一个是大家可能经常听嘛改革开放对吧它鼓励进出口还有一个呢就也是很重要的就是要解决下放青年回城之后的这个就业问题这意味着什么呢就是各个瓷厂它要吸收大量的新人而且它会鼓励大厂带小厂就出来了很多新的厂子
[00:14:09] 那这么一放开啊景德镇的这个国营集体单位垄断的这个陶瓷进出口产业就受到挑战了然后再加上景德镇的这个城镇内部它出现了很多新的这个私营作坊和工厂还有些学校它也办厂他们就跟传统那些国营工厂去抢资源抢市场而且外面的竞争者也来了嘛就是我们常常听到的说哎广东有一些拥有出口权的公司他们也来景德镇购买这些低价的陶瓷就抢走了景德镇的一些外贸的订单
[00:14:35] 但是要注意就是景德镇的这个雕塑瓷厂这个厂子呢它和日用瓷的工厂还是不太一样的日用瓷是什么它要有生产线然后当然它的这个工人也很重要尤其是在景德镇这种生产流程还没有那么自动化的地方但是在雕塑瓷厂它非常非常重要的就是核心性生产力就是非常突出它还是工人工人也要分成两种一种是有创作力的研发人才还有呢就是工厂里面研究某一个技术的这种螺丝钉型的人才
[00:15:02] 那刚刚说嘛大环境是要解决这种下放的青年回程的问题雕塑市场就是在这个期间吸收了大概有1400多个人那这些人大多是刚刚我们提到的第二种人就是螺丝钉型的人才但是市场环境是什么呢就是竞争增加,胜多周少这样人均工资不增反降嘛这就让厂子里面那些工人没什么士气没钱了所以在这个时候啊就是他们的厂长叫刘远长我们后来去采访了他他就选择了一条精品化的路线
[00:15:29] 他想说我要增加这种差异化的竞争力我去提升我的产品单价这在我们现在去研究这个商业和品牌其实也是很好理解的一条路子但是其实在当时这个对车间的普通工人又是一个打击因为在车间里面他们不会从这个改革当中得到太多的好处它就造成一个现象就是很多人到外面去接私活
[00:15:49] 刚才惠总讲了一段就是比较完整的雕塑磁场受到这个市场冲击的这个过程啊我觉得一个核心的点的话其实就是一个工厂或者一个公司对于它核心技术或者核心资源的一个掌控能力雕塑磁场的核心资源其实就是研发和生产制造里面这些工人他们是这个工厂的这个核心的资源但是呢它在这个市场的冲击当中就因为它不是一个
