Vol.143 东方树叶的红，酝酿了十年
时长：00:31:56
来源：网易云音乐电台节目 · 商业就是这样 · Vol.143 东方树叶的红，酝酿了十年

[00:00:00] 大家好,我是云小亚我是陈锐这期消音节有点事情啊所以请葛老师重新回来帮忙代班一下三期年终盘点节目以后呢本期我们回归到2024年的常规节目了但是考虑到离春节也不远了所以说一月份的两期节目呢我们都会聊一些比较轻松的话题这一期呢就想聊一个我们日常生活当中的常见品牌东方树叶
[00:00:25] 先跟大家说明一下我肖文杰和葛老师在喝饮料这方面都是无糖茶饮爱好者但是葛老师呢是一个我们圈子里面著名的三德利乌龙茶的忠实消费者我是喝东方树叶为主的肖文杰好像是两种都喝其实我主要算应该算是无糖饮料的爱好者吧但是在茶这个品类里面我好像自从来了上海知道了三德利乌龙茶之后就一直是他的忠实消费者
[00:00:54] 后面的新出的这些无糖茶我也会喝一喝但是主要还是以三的利为主其实介绍粉级也没有什么特别的意思因为作为普通消费者经验来说对于分析一个公司局限性还是很大的不过消费时间比较长确实能看到的一个市场现象就是东方树叶这两年有点小火身边买它和讨论它的人肯定是变多了
[00:01:19] 行业监测数据也显示东方树叶在过去一年的市场占有率是迅速的穿升目前在整个茶饮料里面就是有糖无糖都算它已经超越了统一以及它的兄弟品牌茶派距离第一名的康师傅也很近了东方树叶其实是一个2011年就问世的品牌那很长一段时间都是不温不火它最有名的标签是指还是难喝
[00:01:45] 考虑到这几点背景呢这种转变是挺有意思的所以在最新一期的第一财经杂志里面我们同事陆远军专门做了一篇稿子采访了包括经销商一线业务员零售终端包财顾问商MCN机构在内很多人就试图解决一个问题东方树叶是怎么翻红的这篇稿子本身真的其实还是蛮精彩的如果有机会推荐大家去看一看因为它写到了很多零售行业非常细致的农耗
[00:02:14] 我们后面也会将文章贴在这个熊诺词里面欢迎大家取悦吧但是我觉得关于东方树叶是怎么翻红的这个问题呢其实有一个很简单就一句话版本的结论我觉得可以先抛出来就是农夫山泉对于这个品牌的长期投入让它在风口到来的时候能够非常顺利地冲上去这可能有点像我们在第125期节目里面聊到的迪卡农就是看起来是这两年火它实际上是有一个后继播发的过程
[00:02:43] 是的所以今天这期节目呢我们就沿袭第125期的这个思路将东方数据是怎么翻魂的这个问题视角转换一下来看一看此前的东方数据以及他的母公司农夫山泉到底为这一刻做了哪些准备我们计划从四个方向来展开这个话题
