Vol.136 书为什么会把价格直接印在书上？
时长：00:31:46
来源：网易云音乐电台节目 · 商业就是这样 · Vol.136 书为什么会把价格直接印在书上？

[00:00:00] 大家好,我是肖文杰我是小亚今年上半年我们有一期节目讨论了变化多端的机票价格这期节目还挺受大家欢迎的今天我们还是来研究一下商品价格这件事情不过我们是反过来研究一个最不变化多端的商品价格就是很稳定的一个商品价格就是明码标价我不知道大家听到这个题目是什么反应我听到的第一反应是这个有什么好讲的
[00:00:26] 但是我最近正好研究了一些跟价格有关的资料我觉得可以说讲清楚价格稳定明码标价这八个字背后的博弈足够我们做好几期节目今天我们先从明码标价这后四个字说起明码标价可以说是现代零售业的一大特征了就是每个商品都会有一个价钱然后你不用跟人讨价还价对于我这种社控人士非常友好
[00:00:51] 我想问一下肖老师你觉得市面上有多少种明码标价的方法这个都明码标价了还有什么差异吗这四个字不是很明确吗我觉得是有差异的其实仔细想一下明码标价很多时候更像是一个目标而实现它的手段其实是多种多样的我举几个例子吧最常见例子可能是货柜上的价钱
[00:01:13] 比如一瓶550毫升的瓶装农夫山泉一般在便利店的标价也就是两块三块的它都会有个价钱当然在这种比如说交通枢纽这种有入场费的地方它可能会卖到四到五块钱还有比如说是衣服常见的可能就是它有一个吊牌然后这个价格是写在吊牌上的但是每次降价都会贴一个新的价格把这原来的价格覆盖住到最后有可能贴好几层
[00:01:39] 这个其实就是所谓零售介意价和实际售价的区别对吧其实我能想到的最鲜明的例子可能就是茅台你想它的所谓市场指导价格变一变都是要发上市公司公告的但是实际上消费者又很难以这个价格来买到茅台对的大家可能也注意到了确实虽然都叫明码标价但是标价的方式不同就会产生一些微妙的空间
[00:02:04] 还有一个大家可能比较熟悉的例子就是之前那个雪糕刺客它刺客的一大原因其实是因为便利店它把一整个冰柜里的产品都集中的放在一起然后标签也集中的贴在一起说是明码标价其实你可能也看不清楚哪个标价都对应谁然后你就被刺了其实这个新式便利店对于明码标价这件事情动的脑筋蛮多的另一个例子是电子价签
[00:02:30] 就是比如像便利丰这种新的便利店它在宣传自己数字化能力的时候就会举这个技术其实就是我们之前讲过Kindle的电子墨水瓶它来替代纸质的或者是塑料的那种价钱然后它就可以随时的在后台刷新价格这样又能省一些物料的费用还能省人工自己去换价格人工费对吧我们举了这么多例子其实无非就是想说明码标价这四个字绝对不是像字面上那么简单的
