Vol.185 小宇宙就是这样
时长：01:33:03
来源：网易云音乐电台节目 · 商业就是这样 · Vol.185 小宇宙就是这样

[00:00:00] 大家好,我是向文杰,我是小雅这是一期比较特别的商业就是这样我们请来了一位嘉宾来做一期对谈的节目经常我们在评论区以及我们收到一些听友的邮件都会Q到一个选题就是能不能来聊一聊播客本身的这个生意那我们今天就来聊聊这个话题请到了小宇宙的CEO,芒芒哈喽,大家好,我是芒芒
[00:00:26] 与其说是请来不如说是我们主动找上门因为我们今天是在小宇宙的录音间里面来录的欢迎大家来到小宇宙今天我们鸟枪换炮一定会感觉我们音痴有很大的提高对这一期也会相对来说氛围会比较轻松一些我们也没有准备逐字稿一点也没有呢这一次有点紧张其实由头也很明确如果是平时会在小宇宙这个平台收听播客的听友应该会比较熟悉就是在上个月十月的时候
[00:00:55] 小宇宙在线下搞了应该是你们这个公司第一次的线下的活动对有我们主办的大型的线下活动这两年感觉各种播客的线下活动非常多其实经常我们也会这个朋友直接聊到说小宇宙自己怎么不搞一个今年就来了
[00:01:12] 是我们之前是都跟我们行业的其他的伙伴合力一起去做的然后即使是这样今年也有很多的我们看到很多主播朋友啊做的活动也很有趣的情况下还是有很多人希望有没有小宇宙自己的活动会有这样的呼唤其实我们这一次这个聊天约的时间已经约了很久了本来是应该活动就是刚刚结束之后就火热来聊一聊这次但是
[00:01:38] 也是说明你们这个活动搞得非常的尽心心力我们忙忙做完这个活动之后就大变一场非常不好意思一直在发烧对这非常辛苦我刚刚听他说是两个月基本上没有怎么好好睡整觉然后这个紧绷的精神在活动结束的之后就人就我们整个团队基本上每一个环节每一个方寸的同事都是一直在加班可能长达快三个月
[00:02:04] 当然我们作为一个商业的节目肯定也不是纯纯的来回顾说一个播客的线下活动因为也是之前听芒芒讲小宇宙内部对于这个活动投入了很大的精力其实也有很多整个公司层面的一些考量就为什么要搞这个活动也跟整个作为一个创业公司的接下来的发展以及整个播客的商业化是有一定的关系的所以我们今天也就是想从小宇宙的线下的漫游日这个线下的活动开始切入
[00:02:33] 接下来再聊一聊跟播客的商业化相关的话题以及小宇宙本身作为一个创业公司自己的经营以及商业化的这个话题好的先讲讲看这个活动吧我觉得从刚刚聊到听众还有包括我们平时见到那个肖老师肖老师会希望见面或者是有聚集在一起的这个诉求这是
[00:02:55] 然后把这些潜在的这种商业价值能够转化出来
[00:03:25] 播客到现在我们做了快五年那这些积攒的这些势能它要怎么能变成一个可以感知的东西我们希望能够回答说播客为什么是值得其他人就是期待或者说长期去投入的所以说选择今年的话是你觉得说势能上面已经差不多到了一个比较合适释放的时间点关于这个事情的想法其实我立项已经两年多每年都有这个想法每年其实都有这个想法
[00:03:51] 但是我觉得今年来做确实是最水到渠成的
[00:04:20] 它的积累我觉得到了比较好的一个时候你刚刚说这是一个品牌的活动这个品牌指的是小宇宙作为一个品牌面向的是用户的受众还有广告主的受众可以这么来理解吗可以的就是小宇宙这个品牌和我们还有一个责任说是代表播客本身的品类或者媒介这个赛道对谁呢就大概是听众还有一些潜在的创作者还有就是我们的品牌合作伙伴
[00:04:48] 就是这几个方面都是在我们希望
[00:05:14] 声音也是无形的以及我们要呈现的东西其实是一种氛围和关系就是看我们想做什么事我觉得在这个事情这个项目本身上想传达的东西是非常抽象和复杂的我觉得这边可以展开来讲讲就是for那些别的品牌或者一些广告主或者说是这个层面的客户你们想要传递给的推这些广告主的品牌的形象是什么样的呢
[00:05:42] 就我们想自己这些年就是长期在这里面投入我们是能感觉到播客这个从它作为媒介作为内容来讲本身是有趣有意思的那这个其实在广告或者说客户的层面上它其实是能够帮它呈现出把一个品牌可能想要的理念变成一个大家觉得有趣的内容那这次我们的线下活动里是有一些talk有一些互动氛围的东西这些就是能够比较生动地展现出来
[00:06:11] 另外就是最最主要的是我们过去能够感觉到播客就是我们节目的影响力号召力是非常非常强的我们这次活动的主题就是连结就是这个连结是非常深的然后它的情感它的浓度它的强度它的广泛的程度是它综合来看这个连结非常的值得被看见主要是想要给品牌看到这个东西具象化的人多
[00:06:38] 对就线下的那种感觉我感觉比线上的单纯数字的冲击力要明显很多对这也是我觉得我做个比喻就是我们总体上是想要为小宇宙拍一个形象照或者说做一次纪录片或者是一个TVC然后把现在这种生动的印象通过这样的一种形式传递给外界那为什么我们并没有去拍TVC或者是去做一个其他的片子或者是我们自己做一档比如播客或者什么的我们去选择了线下活动
[00:07:07] 因为线下活动有它自己的特点就它的感受是更直观更冲击力的而且它是人和人之间的接触刚好符合我们这次想要传递的这个主题就是人和人的连结那你没有什么是比你线下的感知是更强烈的也许就像约老师说的它在数字的层面上其实你线下那天我们觉得非常热闹但是跟我们平平时在做线上产品那个数字其实是无法相比的
[00:07:35] 可能我们一期节目常听听众远远超过当天线下出现的所有的人但是你在当天直观的感受到人说话的声音然后他们的样貌他们是用什么样精神面貌在你旁边出现还是很震撼的那天不是有那个我看到小红书上有笔记拍到王石吗举办那个场地上升新所是万科
[00:07:57] 运营的吧我估计有这层关系看到王石在那个你们活动现场出现的照片大家也会说就是这个虽然也不能说明他这个数字上有怎么样的特别之处吧但是就是会给大家一个很直观的感受我们自己平时也是知道有很多可能类似这样的企业家朋友或者是我们当天也有展示一些这样的朋友他们平时可能就在听咱们商业就是这样我们也能知道一些就是这次也有借此机会然后问问他们对播客的感受什么的
[00:08:24] 但是它出现在你旁边的时候你还是会觉得原来我们在听同一个节目我们在喜欢同一种东西那个感受是比较丰富的信息要素比较多你刚刚说这个项目对小宇宙这个公司来说今年是比较重要的然后又说这个目标实际上是比较复杂的我问一个比较直白的问题就是你们怎么来评判这个项目的成果或者是现在你们有比如说对它的KPI有个考核吗
[00:08:51] 它目标其实是比较直接的就是我们认为小宇宙有品牌价值播客有非常强的用户粘性我想要把这个东西变成一个生动的转化成商业价值或者是潜在的商业机会那至于考核的层面上我们更多的可能会看一个是用户反馈层面的就是主播听众
[00:09:12] 这个大致的数字能分享点什么
[00:09:42] 比如说人数的数字啊然后社媒的这种数字啊有这种你们会看的吗有的我们这次活动应该是有两万人次圆区跟我们说是这样的一个数字线上的讨论量是2500万我感觉而且你们应该是比较看重比如像小红书这样的平台的好评率是吧是然后
