Vol.91 星野集团启示录：从家族旅馆到酒店行家
时长：00:34:00
来源：网易云音乐电台节目 · 商业就是这样 · Vol.91 星野集团启示录：从家族旅馆到酒店行家

[00:00:00] 大家好,我是肖文杰我是徐明清有的朋友可能知道我的本职工作里有一部分是第一财经旗下未来预想图团队的编辑未来预想图是一个关注生活方式的一个报道团队然后我们定期会出版各种主题的MOOC也就是杂志书最近我们就出版了一本新书名叫《新野如何重新定义度假》整本书就是聚焦一个公司就是做度假酒店的新野集团
[00:00:26] 度假酒店这感觉现在这些名词离我都很遥远了哎是啊这本书我们最早是在2020年之前企划的那个时候出境度假不断升温嘛而且未来一想图的主编赵慧还有我们很多成员都在日本新一也可以说是日本最有代表性的酒店集团所以我们就想去采访一下做一本书没想到过了三年多这本书才出版而且这三年对于全球的酒店人来说真的都是跌宕起伏能活下都很不容易了
[00:00:55] 是啊 星野集团在2020年的时候就发过一篇blog说公司倒闭的概率一度达到38.5%不过还好他们还是活下来了而且可以说有点因祸得福就是因为疫情当中他们的这个生意锐减嘛所以星野也更加乐意来接受我们的采访他还邀请了我们团队的成员去每个子品牌的酒店里面去实地体验拍摄采访了各个部门的负责人还有很多的合作方
[00:01:21] 可以说日本的媒体也从来没有对星野这么深入的一个解析和报道过实际体验还是很开心的呀但是肖老师就没有机会去了呀不要说了后期作版的时候正好是今年春天上海风控的时候就我在家里面看那些漂亮的图娃娃哭只有肖老师受伤的世界完成了当然这本书里面不是只有美图还有很多深度的挖掘嘛其实从商业的角度星野就是一家很有意思的公司
[00:01:47] 乍一看它是完全符合日式百年家族企业这八个字的但其实呢在它108年的历史当中前80年啊它只是在日本长野县清井泽的众多温泉旅馆当中的一家虽然历史悠久名声不小但是并不算很发达的一个公司它是在最近30年才从一个家族的温泉旅馆蜕变成了日本最成功的一个多品牌的酒店集团
[00:02:13] 而且他拥有五个子品牌管理五十多家度假设施并且开始往全球来发展了那主导这整个过程的其实是家族的第五代掌门人新野家路所以今天的节目我们就通过新野集团的几个实际案例看看新野家路是如何让这个家族企业进化的那我们开始吧这里是商业就是这样
[00:02:44] 那再讲最近这30年之前,夏老师还是先给大家铺垫一下前80年的故事吧还是有必要的那我们先来说一说新野家族的大本营,就是清景泽这是日本享有盛名的一个度假盛地它在日本长野县的高原上,海拔大概1000米左右从东京乘新干线的话,大概一个小时就可以到了那在明治维新时期,很多外国人刚刚来到东京嘛他们就发现清景泽是个很好的避暑盛地
[00:03:12] 你知道东京夏天很热嘛欧洲人其实挺受不了的所以他们就开始在这里建别墅开餐厅开美术馆教堂等等的清景泽就热闹起来了所以清景泽才会有这么多西式的建筑了对的然后随着名声越来越大日本人也开始在这里建度假的设施开了很多日式的温泉旅馆这其中呢新野家族就是比较早的一个先驱者他的初代掌门人叫新野家柱
[00:03:39] 原本是在清井泽附近做纺织生意的赚了很多钱据说还一度把生意拓展到美国去了然后在1904年的时候他就在清井泽置业了买了很大一块地那到了1914年的时候呢家族的二代的掌门人叫新野国次就在这个地方开挖了新野温泉然后建了一个温泉旅馆我们查了一下清井泽当地一些记录啊新野温泉确实是第一批在清井泽开的温泉旅馆
[00:04:06] 这个就吸引了很多日本的顾客毕竟不是谁都能习惯这个西式别墅的没错那这个过程当中呢新野温泉也是逐渐地融入了清井泽当地他们搞了很多事情啊比如说搞了一个水利工程自己发电还搞了一个观鸟协会来保护当地的森林里的鸟类还率先开了教堂做教堂婚礼啊等等的总之在当地是一个很有影响力的一个旺族但是呢影响力主要也就是在清井泽内部了就这样到了1987年
