Vol.168 透视恒隆
时长：00:54:03
来源：网易云音乐电台节目 · 商业就是这样 · Vol.168 透视恒隆

[00:00:02] 大家好,我是肖文杰我是小雅今天准备花比较长的时间聊一家我个人非常喜欢的商业地产公司就是恒隆能说出喜欢恒隆这四个字岳老师的经济实力深不可测啊
[00:00:16] 上一个我们比较熟悉的喜欢恒隆的人还是郭敬明据说在他的小时代三部曲里面恒隆这个词至少出现了40次大家不要误会喜欢恒隆这家公司跟我的经济实力毫无关系然后跟郭敬明更加没有关系而且我是属于真的基本逛不起恒隆商场那种人尤其是上海南京西路那一家但是恒隆其实有很多免费的好东西
[00:00:41] 比如说他过去30多年的财报的数据以及他每年的制股东信信息量和商业价值都非常的高我其实喜欢的是这个部分恒隆的股东信确实非常有名因为从1991年以来公司的年报和中报当中这个部分一直都是他的董事长陈启宗亲自撰写的而且这个制股东信的风格也不是那种例行公事的那种八股文
[00:01:05] 而是每年都会挑一些宏观经济或者社会重点的一些话题来展开分析并且是结合他自己本身的经营状况的所以说可读性也非常强
[00:01:29] 而在2024年3月他宣布将恒隆集团和恒隆地产的董事长职务交棒给了他自己的儿子然后就退休了这个惯例感觉也很难延续下去了除了本身的可读性以及对于时事的关注以外恒隆的股东性和财报给人们最重要的一个印象就是这是一家很清晰简单透明度很高的一个公司我们之前节目其实也聊过一些地产公司比如说恒大有一期
[00:01:55] 其实我们花了很多时间去讲它在财报之外的操作因为恒大的商业模式本身如果算全部的话是很复杂也很脆弱的一个模式放在财报当中只是它洗得比较干净的一小部分但是恒隆的情况不一样读完这些报告我会觉得
[00:02:12] 自己已经上了一个恒隆的内部特训班出来之后对公司的所有策略都了解的很清楚这么神奇的吗所以今天这个节目就是约老师来代替陈启宗讲一讲恒隆是一家什么样的公司是吧完全不敢代替他但是我觉得讲一讲恒隆的大致情况呢还是略有信心的感觉可以从四个具体的方面来介绍一下恒隆的过去现在和未来吧
[00:02:34] 首先可以通过恒隆在香港本土最经典的一个成功案例也就是一个豪宅楼牌叫君临天下来跟大家介绍一下恒隆的住宅业务我们会复盘整个项目的始末以及它是如何在香港的地产周期里面获得超额收益的其次我们就来到恒隆最喜欢的中国内地城市上海来看看上海的两个项目对于恒隆而言意义有多重大并我们会结合一些具体的指标数据也会拿一些定位比较类似的别的地方的案例来做个比较
[00:03:03] 第三呢我们会跟着恒隆在内地市场的扩张看三个上海之外的恒隆项目分别是无锡大连和天津我们会按照开发和运营的周期把这三个项目放在同一条旗袍线上用数据对比来看他们的发展情况最后呢我们就是回到恒隆自家公司本身从财务的收和支这两条主线来看自家公司是如何把握自己的运营节奏的以及未来几年他要注意什么
[00:03:29] 在正式开始之前还需要补充两个说明第一个就是恒隆体系内有两家港股上市公司分别是恒隆集团和恒隆地产因为这个集团是持有了一个地产的大部分的股权的所以这期节目里面我们绝大多数情况下会直接用恒隆这个说法只有在特定需要说明的情况下面才会区分到具体的公司第二就是本期节目没有接受任何的广告赞助涉及到的所有的上市公司我们的内容也不作为任何投资建议
[00:03:59] 这里是商业就是这样
[00:04:02] 那我们先从恒隆在香港起家的业务说起就是住宅开发那虽然现在恒隆是以高端商场和写字楼为名的但是它在香港早期的发展其实还是全靠卖商品房起来的那公司最早的红利出现在很早1960年当时的港英政府是为了修建马力医院然后跟恒隆交换了一块地皮那恒隆就用这块交换来的地皮呢搞了香港最早的住宅小区之一之后呢恒隆又看上了另外一家上市公司叫桃花大桃
[00:04:32] 简单介绍一下这个公司啊它最早是做酱油和罐头的然后1954年呢是在香港的九龙地区拿了一大块地当时是为了扩张厂房那恒隆其实看上的就是这个地本身啊所以说到了1987年恒隆就收购了桃花大同的大部分股权并且把这个公司重组为两个部分公司发家的食品业务就是酱油和罐头啊后来是卖给了达能然后现在又流转到中信手上
[00:04:57] 剩下的部分改叫陶大制业它就变成了恒隆旗下的一个房地产开发公司也就是目前的恒隆地产陶大的酱油还是很有名的包括厦门有一些罐头的品牌好像跟它也有关系然后陶大这个
[00:05:11] 这个铸柴的这个品牌呢其实也很有名只不过这个名气不是很好是吧对因为2003年香港不是SARS嘛然后当时淘大之夜开发了一个经典项目叫淘大花园这个小区呢就因为它的上下水设计有缺陷就导致过这个病毒在小区内局部有个爆发当时呢新闻对这件事情其实追得也很紧所以说SARS之后呢淘大花园就一度成为
[00:05:35] 大家会去参观的一个景点现在我们还比较轻松地说但那个时候实际上是非常的紧张我现在想起来还是记忆犹新的那个时候的一些画面当时陈启中在股东信里面就说有一次董建华是直接在他的小区里面跟陈启中打了电话就讲这个事情那么说回恒隆其实到1991年恒隆由这个家族的二代也就是陈启中接班以后住宅就已经不是公司的发展的唯一重点了
[00:06:00] 陈一中这个人呢本身就比较喜欢这种长期稳定的租赁业务于是呢就开始买些写字楼啊商铺去收租那住宅业务呢主要就是维持着同时呢他也很关心香港回归前夕的各类就港英政府和中央政府谈判以及香港社会的反应他觉得这些都有助于他做整个公司的策略判断比如说1996到97年期间呢杭龙市趁着香港楼市的泡沫期
[00:06:26] 果断的卖掉了一批非核心的资产当时是回笼了20亿港元的现金这其实是让公司顺利的度过了随后到来的亚洲金融危机对因为亚洲金融危机其实是1997年年中就爆发的当时对于香港的房地产行业冲击非常的大我们看到陈启中自己的说法就是在亚洲金融危机之后全香港只有两家地产公司还有资金可以去做投资可以去拿地的
[00:06:52] 一家是长实另一家就是恒隆长实其实他没有在那里明确说但是市场上都知道就是长实长实是李嘉诚的公司其实他当时的地产业务也很受打击只不过因为长实很大多元化发展他的非地产业务比如说零售 公用事业还是可以给他的地产业务输血但是恒隆不一样恒隆真的是一个手握大量现金的房地产公司他只要等待市场复苏就可以了
[00:07:17] 但是问题就是1998到2004年期间呢香港政府其实基本停止了土地出让这就是房企想要有所作为都难嘛就只能抓住一些稍重及时的机会比如1999年当时的地铁公司就现代港铁公司推出了一个九龙站的综合开发项目这个项目里面包括地铁站改造商场写字楼和住宅那其中的住宅部分呢就吸引到了很多地产公司参加里面有新鸿街有恒隆有些别的公司
[00:07:46] 那恒隆在这个项目里面的成果就是它历史上最赚钱的一个豪宅项目军林天下这其实是一个现在我们非常熟悉的很标准的一个地铁上盖的一个项目了其实这个地铁上盖它本身最有名的是写字楼的部分就是九龙最高的单体建筑ICC但是恒隆在这个当中就是分到了一块住宅的用地然后就开发了军林天下这里可以简单介绍一下港铁在地产开发上的商业模式
[00:08:14] 大家可能知道港铁因为有这个地产这部分所以说是世界上为数不多比较赚钱的地铁公司而且它在地产方面有一个很强的先天优势就是它把这个地铁规划做出来以后呢香港政府会以很低的生地的价格批给它很大量的建设用地那港铁可以做什么呢就是把站点附近这些优质土地再转手卖给开发商然后开发成住宅区那这个过程里面开发商和港铁呢会产生很多不太对等的利益关系
[00:08:42] 首先开发商要向港铁交纳一部分因为这个土地性质改变了我要补一部分费用这个就要补地价其实就是通俗理解为就是买这块地的费用其次港铁一般来说会在这些住宅项目里面占一定的股权这个住宅的销售收入你需要按比例分一点给港铁这样开发商的获利其实会少一块最后开发商获得的其实是一次性的住宅销售的收入
[00:09:07] 港铁可以源源不断地收取这些市民每天通勤所产生的交通费刚刚约老师一两分钟我感觉把港铁的躺着赚钱的商业模式含泪血赚的商业模式已经勾了个大概了而且真的是非常长期的一个非常好的一个模式所以回过来说开发商的话他只能靠把住宅的价格拉高才能获得一个他有可能预期当中一个相对比较好的回报
[00:09:31] 那其实决定住宅价格的呢除了产品品质以外最最最最重要的就是区位那像九龙站这样的黄金地段那它批的住宅用地又都是领海的那就很显然只能做豪宅没错那恒隆确实也是这么想的那再加上这个期间不是政府不卖地吗香港楼市在SARS之后本来已经回温了但是又没有供应进来那所以说君临天下1994年拿地2004年以豪宅形态入市的销售的时候呢就销售非常火爆
[00:10:00] 字幕志愿者 杨茜茜
[00:10:02] 那于老师具体展开讲讲吧这个军林天下到底是多么赚钱恒隆年报非常完整加上军林天下这个项目又是分批入市的所以说我们实际上可以看到基本上每一年这个项目的实际销售数据军林的第一轮销售是在2004到05年这两年恒隆就是住宅收入有非常明显的上涨本来是每年大概10亿港元的一个水平直接跳到了31到50亿的一个收入那之后恒隆是五盘吸收了两年
[00:10:31] 均领一套都没有卖这两年里面然后等到2007到08年这个项目再入市当年公司住宅收入就又跳升了一下跳到了60亿港元的一个水平最后一批房源实际是要到2014年才释放出来的然后整个项目销售完是到2017年等于相当于这一个楼盘卖了12、3年而且它很明显就是分阶段的销售就拉高了它每一年的实际的收益了它其实拉高整个项目的总收益
[00:10:59] 因为分阶段销售不仅是要按照产品类别分比如说你有一些最好的景观位的房源或者一些很高级的富士房源可以压到最后来卖这个也还可以根据楼市的冷暖来制定自己的销售节奏逢高卖比如说2004到05年去看一下政府数据就是九龙在这个期间的平均房价是上行的理由也很简单就是没有盘这样子公司就很明显就可以顺势把自己的销售价也拉高
[00:11:27] 那到2006到07年五盘吸收呢也是因为当时的市场整体行情有点变差了就房价没有很高的起来那到2011年军林第三批入市项目呢其实我自己看跟政府数据对比的其实它就没有踩到这个行情的最高位它是其实
[00:11:42] 拖后一年销售会更好OK但是它还是非常的可以说精根细脉对吧是的高品质项目呢相对于市场的平均价来说肯定会有一些溢价所以说我们也可以通过另一个指标就是溢价率来观察这个销售节奏的好坏比如说2005年军林这个项目的单价呢其实是比九龙住宅的平均成交价高了90%那为什么说2011年这个timing不好呢也是因为当时这个溢价率
[00:12:09] 本身比较低只有17%的溢价率对于豪宅来说基本上是不合格的对到了尾段最好的那部分房源溢价率又高了它可以做到100%到200%的一个很高的水平卖豪宅非常玄学但感觉有一个结论很明确就是恒隆在军林天下这个项目上面的信念感很强对吧我们刚才说它销售用了12、13年但如果你从拿地开始算的话到最后卖完用了18年时间就做这一个楼盘的项目
[00:12:36] 这种长周期的节奏的话一般的住宅开发上实际上是很难做到的我觉得大家不要急着跨就是长周期肯定会带来一些问题
[00:12:45] 前面我们不是说在地铁上干项目里面港铁一般都会占一点股份吗港铁又来了对那军林这个项目其实就因为它这个销售周期太长了然后恒隆这个销售节奏也有点奇怪就最后就惹到了港铁就是港铁觉得你销售太慢了对吧就你不能这种五盘五道两年里面一套房子都不卖这种情况是吧所以说2009年双方实际上出现了一个当时市场上比较罕见的合作的调整就是分楼
[00:13:11] 那港铁不再从这个项目里面抽成了而是商量好了直接拿走项目里面大概100套房子港铁自己来买我就不要你来了我就自己来了赶紧把这个钱回过来对因为双方销售思路不同所以说军营这个项目在市场上面一度就是以两个销售体系两个价格在卖的那恒隆和港铁要互相来抢客源这其实挺糟糕的对然后当时还有一个问题就是
[00:13:37] 新鸿基在这个项目里面也有一个豪宅就是天喜这个项目也是同期入市的所以当年围绕九龙站这个住宅项目就是争夺的非常凶有很强的价格战而且还有一点内部斗的感觉是的刚刚讲了这么多就约老师给我们一个总体的概念就花了18年时间恒隆打造了这个军营天下到最后一共赚了多少钱陈启宗自己在2014财年的股东信里面有个估算他说是如果以当年的平均售价把整个项目所有的房子都卖掉
[00:14:05] 恒隆获得的除税前利润是170亿港元天价已经非常高了我们前面也说了2014年其实军令天价没有卖完还有11套是之后才卖掉的那根据溢价率和面积估算一下我猜这个项目应该最后是有180到200亿的一个利润这是利润啊对吧难怪陈吉春说这是恒隆史上最赚钱的一个项目我觉得就是放在一些别的豪宅里面也是一点都不逊色的
[00:14:33] 那再问一个问题啊袁老师就整个项目的回报率是多少因为你刚刚讲的是一个总额的数字嘛我们还是要看投入的有一个问题就是1999年这个土地出让过程我翻了很久也没有找到当时航龙的明确的一个补地价的官方数据只能通过查到的媒体报道大概推算一下就是它拿地的这个价格应该是14亿港元左右即使算上建设成本呢我觉得这个项目
[00:14:58] 依然可能在销售的第一年就已经把所有的前期成本都回收了之后全部都是纯利你要说你如果一开头你先说14亿港元来买个地的话我会觉得还比较正常但现在跟你刚刚说的那个纯利的来比的话九牛一毛一点点真的一点点虽然说恒隆早就已经不是以住宅来闻名了但是我们从刚刚讲的这个君临天下这个项目的始末当中还是可以看到这个公司很多的一些核心的策略比如说他非常关注市场
[00:15:26] 或者宏观整体的一个政策的走向你像在开发阶段他抓住了香港土地出让的一个真空期当中的一个稀缺的机会然后在销售阶段呢他又抓住了楼市的一个上升期又比如呢他非常注重自己的销售节奏即便是在港铁方面有压力情况下面甚至要分楼销售了他还是会坚持自己的一个长周期的一个做法
[00:15:47] 那第二个部分呢我们就开始进入目前恒隆的重点就是以商场和写字楼为核心的租赁项目恒隆虽然说现在租赁业务很强但是他在香港本地的租赁业务我看了一下单个项目其实都不是很出名啊他主要靠的是地利因为他的核心布局主要在旺角尖沙嘴铜锣湾一些商铺和中档写字楼
[00:16:09] 它最有名的租赁的单体项目就是港岛太平山缆车的终点一个叫做山顶广场的商场简而言之确实就在香港本地的话就是恒隆不算是做商业地产或者是做这个商场特别这个出跳的一个公司它那项目也不是那么的有名嘛但是在内地的话恒隆的形象就完全不同了它几乎全部都是在也不是说几乎吧就是全部都是在一线或者新一线或者是省会的城市
