Vol.75 蕉下的招股书经得起“晒”吗？
时长：00:32:39
来源：网易云音乐电台节目 · 商业就是这样 · Vol.75 蕉下的招股书经得起“晒”吗？

[00:00:08] 商业就是这样鼓起勇气开设听友群了欢迎添加节目小助手的微信加入听友群一起讨论有意思的商业现象
[00:00:45] 这里是商业就是这样大家好我是肖文杰我是徐明清今天还是聊一个属于夏天的火热话题也是消费市场上这两年比较火的一个小的品类就是防晒讲真的我之前确实不是很在意防晒这个事情基本上止步于涂比较贵的防晒霜就到头了
[00:01:03] 而且也不是很细致每年夏天过完呢我从自己的脚背颜色就能看出来我今年比较喜欢穿那双凉鞋确实月老师蛮喜欢穿凉鞋的所以今年是什么改变了你的想法是高温又是高温准确来说就是今年上海因为六月份就有一大堆四十度的高温日嘛这个确实改变了我的想法
[00:01:27] 我们今天录节目的时候是一年当中理论上最热的一个大幅阶段但是真的没有办法跟今年六月份相提并论就今年的这个大幅对上海人来说已经是属于很热的了
[00:01:37] 但是之前那个六月份是非常夸张的就是整个夏天给我们感觉就是几乎没有35度的以下的这个天气而且今年春天大家基本上都待在家里嘛然后解封之后大家在外面待医院就强了很多这个大家都是自愿被晒的对吧自愿被晒反正我自己是六月份就已经晒透了然后到七月份才意识到说要买点什么防晒喷雾啊遮阳帽啊冰袖什么的这个就属于典型的亡羊补牢大家千万不要学我大家注意一下
[00:02:06] 就是刚才袁老师提到了这些防晒产品这个就是我们这次想要聊的这些话题以我一个完全不懂防晒的小白的概念印象当中大家过去其实讨论比较多的还是防晒霜比如说资生堂的金色的瓶子安热晒还有像Sunplayer这样的一些品牌但这两年出现了蛮多非常细分的防晒用品
[00:02:29] 从防晒的伞到帽子刚才讲到的袖套还有外套等等的甚至有的品牌把前两年青岛大妈们戴的那种所谓的脸积泥也给重新做了一遍总之现在是很少有人能够只靠一罐防晒霜就熬过整个夏天了肖老师刚刚说了一大堆防晒小配件这些小配件可以叫做是物理防晒这个就是相对于防晒霜化学防晒而言的一个新的方向也可以叫硬防晒
[00:02:54] 反正直觉告诉我呢就是突然出现了一个新的名词这里面就应该有些新品牌在创造需求做一些小动作所以说我们就想研究一下这个话题我们呢就直接选了一下这个细分领域的头部公司就是交夏某个新的消费领域比较火热的指标之一呢就是这个头部公司足够上市了那交夏是今年4月9号向港交所递交了自己的招股书
[00:03:19] 当然目前还没有挂牌可能也是看到前两年上市那些新的消费品牌最近情况都不是很好变谨慎了我们前面不是有一期讲过Keef的招股书然后大家反响还挺不错的所以说这次我们也想来拆一拆交下的招股书让大家看看防晒层下面公司的真面目掀起你的盖头来我看一下招股书也看了一些券商的演报个人觉得交下这个公司的商业模式还是
[00:03:47] 挺苍白的然后也比较脆弱然后真的要讲的话呢大概可以分为几个角度虽然讲来讲去都是营销啊第一个就是细分概念的营销第二个是密集投KOL的营销第三个是技术专利的营销还有一个就是渠道概念的营销
