Vol.219 新世界的债务危机，该由谁负责？
时长：00:57:53
来源：网易云音乐电台节目 · 商业就是这样 · Vol.219 新世界的债务危机，该由谁负责？

[00:00:01] 大家好 我是湘文杰我是小亚节目开始之前有一则个人新闻发表就是最近感冒了身体没有大碍不过今天的声音状况可能没有那么好今天节目又比较长中间如果有什么口齿不清的地方请大家见谅
[00:00:16] 那进入正题今天我们想花一点时间深入的聊一家港资的地产商也是我个人这些年一直搞不太懂的一家公司叫新世界发展新世界发展前一段时间是香港的新闻热点不过是一个负面的热点因为在今年的6月30日它是非常惊险的完成了一轮债务重组和再融资
[00:00:37] 整个涉及到的债务总额达到了882亿港元虽然远远不及此前恒大接近2万亿的规模但是在香港还是创下了历史之最而且同期还有一则听起来更像八卦的新闻就是新世界发展此前多年的负责人也就是香港豪门郑氏家族的第三代长子郑志刚他彻底的离开了公司的董事会在2024年他已经卸任了公司的CEO和执行董事的身份
[00:01:04] 在2025年他卸任的是非执行董事的身份郑志刚在他任期内创造的品牌资产在内地最有名的可能就是K11也有传闻说香港的K11 Art Mall和上海的K11写字楼部分可能会被出售这个就可以帮助新世界发展获得更多现金流当然目前还没有明确的后续关于这两个新闻
[00:01:26] 债务重组长子离任变卖资产这些元素连在一起实际上就很容易导向一个颇有噱头的叙事就是家族的富三代接班之后只会搞概念但不会搞经营最终败了家产然后从公司出局了这又应了一句大家很熟悉的老话就是所谓的富不过三代这样一套叙事其实也是现在简中互联网上面对于新世界发展现在面临的危机的一个主流的叙事
[00:01:55] 郑志刚本人对于这类说法是有过回应的在新世界发展陷入债务困境以后彭博社做过一个非常不错的专题视频报道我们也会把这个视频的链接放在shownotes里最值得关注的就是这个视频的最后的部分郑志刚是通过他的新闻发言人给了一些书面的声明翻译成中文的话大致的内容如下
[00:02:16] 郑志刚成为新世界的行政总裁时他承担的是显著债项负担并且有数据显示在他获委任以后已经努力着手持续以及负责任地帮助集团去杠杆新世界面对的挑战是源自非常的宏观经济和政策因素并非来自郑先生的过度借贷和经营不善在郑志刚的领导下公司已经策略性地去增加经常收入进一步强化资产负债表
[00:02:43] 简单而言就是这个锅我不背是吧对不过他自己站到了这个反黑自己的第一线还是蛮有勇气的就是直面了这样一个对他很不利的一个叙事前面提到那个流行叙事他确实非常符合大众对于豪门的戏剧化的想象以至于他听起来特别真实对吧不过我们今天又要畅畅反调了因为通过对于新世界发展过去十多年公开信息的研究我们认为这个流行叙事基本上是不成立的
[00:03:11] 因为它错误地阐释了新世界发展和正式家族运转至今的很多关键因素所以今天节目的主要工作就是给新世界发展的过去和现在重新看一份详细的诊断书
[00:03:23] 我们当时会从四个方向来拆解这个话题第一步还是为不太熟悉港派豪门的朋友们介绍一下整个正式家族的发家史以及他们是如何系统化的管理各项资产的第二步和第三步我们会专注于看新世界发展的两个部分也就是广义上的资产和负债至于新世界发展当前的困境是如何造成的在结尾处我们也会给出明确的判断因为涉及到上市公司所以我们照例声明本期节目内容仅作为行业讨论不构成任何投资建议
[00:03:54] 这里是商业就是这样那第一部分我们先来讲讲正式家族的发展历史和他在香港的地位虽然听起来有点像八卦不过我觉得如果要理顺新世界发展的问题关键这其实是一个很好的起点
[00:04:08] 中国香港商界有公认的四大家族核心人物分别是李嘉诚郭德胜李肇基和郑宇桐说起最后这个郑宇桐呢他就是正式家族退役的第一代他的发家生意是一个珠宝品牌说出来大家肯定知道就是周大福这个名声有可能比新世界发展要大很多所以他们其实是一家对是一家或者说这两家公司就是正式家族生意的两大支柱这后面我们可以再慢慢的展开
[00:04:36] 不过我这边要先插问一句岳老师一个我长久以来的疑惑周大福周深深周大深周六福就是香港的这些金店珠宝店他们都姓周他们是亲戚吗没有亲戚关系其中像周大福和周深深这两家是比较老字号的他们的创始人都姓周甚至也都是广东顺德人
[00:04:58] 但是据说他们没有什么亲戚关系之后品牌里面带周的这些呢都是蹭这两家老字号的名气的像周六福的创始人就姓李那这边我就有个问题了周大福你说是老字号然后创始人又姓周那为什么他现在会变成你说的这个正式家族的核心产业呢因为郑裕彤是这个周大福创始人周志源的上门女婿也是他帮助老丈人先后开拓了中国香港和中国澳门的市场
[00:05:26] 周大福在1950到60年代能在香港站稳脚跟呢主要就是依赖郑玉彤当时提出了两大策略一个叫四条九足经其实也就是橙色达到99.99%纯的黄金现在一般叫千足经这个经的纯度呢当时比香港市面上的同行要更好一点所以说周大福就靠这个东西呢加上一些价格上的让利吧就把自己的品牌声誉和口碑很快做起来
[00:05:54] 另一个策略是钻石郑宇桐其实很早就发现了钻石有可能是整个珠宝行业的下一个爆点但钻石行业有一个问题就是当时大部分的矿产资源已经被TheBS这个公司把持住了所以在1964年郑宇桐就直接去南非买了一个有钻石原始牌照的公司也就掌握住了之后向香港供应钻石的一个主动权听到这边我就不得不说四个字珠光宝气可以说你从你刚刚这个
[00:06:22] 描述当中可以发现郑裕彤即便是在黄金珠宝这样一个大家普遍认为比较传统保守的行业里边她还是很有进取心的比如说很早进入钻石体现得出她胆大敢为的特点确实周大福是让郑裕彤积累的第一桶金然后也让她很快就把这个钱投到了更加火热的房地产业
[00:06:43] 在周大福时期呢郑亦彤跟他隔壁的一个公司叫做恒生银行关系就已经很好了所以说两家公司是在1970年合伙创立了新世界发展并且在两年之后的港股的高位期就把这家房地产公司推上市了跟周大福不一样新世界发展就可以被视作是郑亦彤自己独立经营的一块产业了
[00:07:02] 如果我们看2000年代的时候新世界已经变成一个非常多元发展的集团它旗下不仅做房地产开发工程建设也有百货酒店物流交通能源电信专业服务很多很多领域因为童书的唾液风格主打一个出奇不异一家大胆抄底所以它也有一个绰号叫做沙胆筒沙是沙鱼的沙等一下 余老师你刚才说他把周大福带到香港和澳门是1950 60年代
[00:07:32] 然后再跳到这个新世界变成多元集团已经是2000年所以他这个影响力覆盖了整整50年半个世纪对他比较长寿其实在1989年的郑一同是一度退休然后当时呢他就觉得说我可以休息一下然后把新世界发展就交给了他的大儿子他大儿子叫郑家纯绰号叫纯官
[00:07:54] 不过呢淳关上任之后呢就直接在公司提出了一些比较激进的收购计划然后第一年用于收购的这个计划资金就是大概有60多亿港元这就导致了整个新世界发展当时债务就出现了一个比较大的负担所以呢两年之后郑立彤决定我不退休了我回来继续做了然后他就重新调整了新世界的发展方向到2012年才重新交班给郑家淳然后还有郑家淳的儿子也就是长孙郑志刚
[00:08:22] 本来呢他计划这一次2012年退休以后呢要真的享几年清福不过他当年就因病去世了自之后呢郑家纸家族的产业就明确进入了二代和三代变形管理的阶段这里郑家纯呢是长期担任公司的董事局主席郑志刚呢我们之后会继续讲那因为做过一些业务重组和拆分上市然后新世界发展集团当时的架构呢基金数据也变得比较复杂了
[00:08:48] 确实就是香港的这种家族企业豪门他们的业务经常是错综复杂的但是你既然后面要讲到新世界发展你是不是这边还是给我们简单的口头描述一下我觉得口头描述确实不是很容易描述清楚我们先在shownotes里面贴一个组织架构图这大家可能看着图再听我们解释会好一点那我口头也尝试说一下
[00:09:11] 简单来说整个结构的顶层就最上面是郑益彤早年设立的两个家族信托这也是家族财富的最终汇聚的地方那在信托之下呢是三层非上市公司都是大笔持股的最贴近信托的一个公司叫周泰福Capital就是CTFC然后是一家叫做周大福控股的公司在下一层呢是两家公司一家叫周大福企业一家叫周大福代理人
[00:09:38] 整个体系里面不是有很多上市公司吗比如说大的像新世界发展还有周大福创建小的像佐丹奴这些上市公司基本上都是由周大福企业和周大福代理人来控股的就刚刚那些名字已经周大福出现太多次了但简单的总结一下就是
[00:09:55] 把整个家族的资产想象成一个金字塔的话塔间是两个家族信托就代表家族最后赚到了一些钱然后当中是隔了好几层的非上市公司而那些上市公司其实是位于金字塔的底部基本上是这么一个结构这里唯一的例外就是周大富珠宝周大富珠宝是经过了2011年的IPO还有后面的一些股权调整它目前是直接变成中间这个层CTFC来控股的
