Vol.126 本地商家的新顾客，来自抖音
时长：00:52:08
来源：网易云音乐电台节目 · 商业就是这样 · Vol.126 本地商家的新顾客，来自抖音

[00:00:00] 大家好我是肖文杰我是陈瑞这一期约老师临时有点事然后我们葛老师又来代班了这一期节目呢这个话题比较特殊啊因为我们回看商业就是这样之前的节目的话其实我们讨论大公司比较多当然大公司对于商业世界的影响的确是很大而且故事也很多但其实小生意的故事同样也非常值得讲你像截至2022年
[00:00:22] 中国有超过5000万家的中小微企业它占整个中国的公司的总数是在95%以上的而且其中绝大多数都是小微企业它们贡献了中国一大半的城镇的就业岗位而且这当中线下实体的小商家是非常重要的一部分它和我们的日常的衣食住行也更加贴近
[00:00:42] 而且在经历了这三年之后我相信大家对于线下实体商业的重要性也更加的有实感也更关心他们对的我们看到比较多的报道其实都是在描述比如说最近生意不好做这样的一些现象我觉得描述现象当然重要但我们觉得同时也要从商家的角度出发来探讨一下怎么办的这个问题
[00:01:02] 这个话题呢当然也非常的复杂因为不同的商家之间他们的差别会很大那所以这一期我们只选择关注其中一个关键的环节就是这些小商家他们怎么去吸引新的客户就是我们所谓的拉新对吧所以这期节目呢我们就找到了抖音平台一起来合作在他们的帮助之下呢我们找了三个不同领域的线下的本地商家的老板和他们深入聊一聊最近这两年他们做生意尤其是获取新用户
[00:01:32] 在现场我们当时就觉得这个问题真的回答不了但现在有了这个机会我们就有机会来听一听真实的商战
[00:02:00] 真实的商家的这些一手的经验可能对这些话题感兴趣的朋友多少会有点帮助吧对不一定说是一定要去做他们那个生意但是我觉得多少有点帮助当然我觉得这个当中肯定会涉及到很多平台层面的一些能耗所以我们今天也请来了巨量引擎的行业与市场传播的负责人Leo一起来做我们的嘉宾一起来分享他会从平台的角度来给商家很多具体的建议大家好我是Leo很高兴来商业主持这样做客
[00:02:27] 大家都知道这两年抖音在发力本地生活服务这块的这个业务所谓的本地生活服务其实就是线下的商家他们进驻到抖音里边然后用户可以在上面通过团购的链接来购买产品或者服务
[00:02:42] 我们看了一下就截止去年年底已经有超过200万家的合作门店在抖音上面它比2021年呢增长了四倍可以说这已经逐渐成为了一个比较主流的一个渠道那商家该如何运用这个平台呢其实也是我们今天会讨论的一个重点也是一些案例他们会主要讲的一个部分对的所以相比过去的节目我们今天这个是实操和细节都比较多的一期那我们就开始吧这里是商业就是这样
