Vol.96 机票价格为什么变化多端？
时长：00:32:31
来源：网易云音乐电台节目 · 商业就是这样 · Vol.96 机票价格为什么变化多端？

[00:00:00] 大家好,我是肖文杰我是徐鞭星这期节目上线是在大年十二很多朋友可能已经返校返工了整个春运也进入了下半场或者说快到尾声了
[00:00:12] 春运是一个有中国特色的一个时间段每年也是中国最重要的一次周期性大迁徙今年正好也是防疫防控全面放开以后的第一个春节很多朋友可能是两三年以来第一次回到老家这个春运的情况可能比前几年要名副其实的多不过交通运输部最近的统计是今年春运期间的客流总量应该只是2019年水平的70%
[00:00:39] 也就是恢复了但还没有完全恢复对吧嗯没有不过即使是70%啊春运还是春运啊这个春运期间的公共交通运力常年都是不足的所以说该一票难求的基本上还是一票难求说到这个春运的一票难求大家一般会有个刻板的印象就是火车票呢很难买然后机票呢就太贵嗯我们这里先打破另一个刻板印象就是春运大家一般主要讨论是铁路嘛
[00:01:07] 其实如果按照2019年的春云数据公路是其中其实占比最高的有82.5%水路呢当时最少的只占1.4%铁路关注度很高但是它其实只占不到14%剩下有不到2.5%是由民航完成的这个其实也比较符合我们国家的交通基础设施的一个分布吧毕竟公路还是承载量最大的然后也比较灵活
[00:01:32] 你想哪怕你是坐火车回家很多人到了最后几公里几十公里的路程你还是要靠大巴或者自驾来回到自己的家里边的对的不过我们今天不讨论公路还是回到前面那个火车票难买和机票太贵的印象这句话本身很值得琢磨因为背后有一个我们习以为常但是很有趣的现象就是火车票的价格好像比较稳定但是机票的价格就变化多端
[00:01:58] 同一班飞机上面的人即使都是经济差嘛但他可能为手里面这个机票支付的价格都不一样没错就火车票是一个感觉上就很有公共属性的一个产品嘛但是飞机票好像它这个市场化程度就很高说起来我自己都已经很久没有乘飞机了最近一次打开航空公司的网站还是他提醒我那个积分要过期了让我赶紧去兑换点什么东西那今天我们就来关注这个复杂的机票价格
[00:02:26] 也帮大家唤醒一下对于远距离出行的记忆啊机票定价就是一个很有意思的话题里面有一些经济学策略的应用也涉及到商业产品设计和运筹学当然也有垄断和大家之前很关心的所谓大数据杀鼠的问题那本期节目我们就为大家简单介绍一下是哪些因素把飞机票搞得这么复杂那我们就开始吧这里是商业就是这样
[00:03:03] 我们先来试着说一下同一个仓位的机票为什么价格不统一其中一个比较重要的因素也是一个经济学当中的重要概念叫价格歧视Price Discrimination我一直觉得这个概念的名字起的很不好你自己都叫歧视了大家自然就会认为这是一个很负面的那种偏剥削的概念对但它其实的意思非常简单就是同一种商品这个卖方在我们这边就是航空公司它对不同的消费者收取不同的价格
[00:03:33] 用一个稍微简单的归纳就是差异化的定价这样听起来是不是就中性了很多那对于航空公司来说的话这样也就是尽可能的来保证自己收入的最大化这是它的一个目的其实呢我们现在是比较习惯大品牌会做所谓的统一定价然后在一个统一定价上再做折扣嘛在这个市场上面其实有很多东西都是有差异化定价的最常见一个例子其实就是去菜场买菜
[00:03:59] 年轻人往往很容易被宰然后我们的爸爸妈妈这个老一辈都深谙砍价之道这个就是所谓的差异化定价对然后按照这个经济学里边细分的策略不同价格歧视又可以大致分为三种分别是一级二级和三级价格歧视这里级其实也是一个起名的问题并不是说这个三级就比一级更加歧视你只是这个策略不是很一样你就把它当做一个学术规则来听就可以了
[00:04:27] 好吧所以我们下面的介绍当中大家就先不要带着这个等级观念或者被歧视的这个怒气来听大家先来放平一下心态嗯放平心态简单来说呢在机票价格的设计里面总体上应用的是二级和三级价格歧视我们先说三级价格歧视啊它又叫所谓的市场区隔
[00:04:47] 也是一种很直观的价格其实就是航司呢根据出行时间啊飞行速度啊你提前多久订票你是不是常旅客是不是会员你是成人还是婴儿是团客还是散客等等等等然后为这些票设置不同的价格你可以理解为比如说一个航班上面假设有200张机票的总供应然后航空公司就先把这200张机票分布在很多细分的格子里面然后为每个格子都标不同的价格
