Vol.218 F1的美式大改造
时长：00:44:29
来源：网易云音乐电台节目 · 商业就是这样 · Vol.218 F1的美式大改造

[00:00:01] 大家好 我是肖文杰我是小亚最近因为家中一直在忙所以文化生活一直处于比较匮乏的状态唯一一次忙里偷闲的文艺消费我思来想去留给了一部电影就是《F1狂飙飞车》这个电影我身边颇有几个人已经去看过了但是如果是我我的人生中出现了两个半小时的空闲时间的话我也不会去选择看电影何况是看《F1》余老师毕竟是一年只有三部线下院线配额的朋友但是为什么还要何况是《F1》
[00:00:30] 我不懂F1啊就是一秒都没有看过一秒都没有看过OK那我选这部电影呢主要也是因为听说这个MX的效果非常的好Made for MX那种电影然后在电影人员们看起来很爽另外呢就是虽然我对最近的这个F1的赛事已经不太了解了但曾经也是颇为热心的车迷啊就我个人的邮箱里面还包含着我最喜欢车手的名字
[00:00:54] 我自己对赛车电影也是比较有偏爱的那像前几年的那个急速风流就是Rush还有福特对法拉利我都蛮喜欢的电影福特对法拉利因为是个真实事件嘛还有本书我倒是把那本书买来看了一下那所以说回来这个F1大电影您满意吗我还是比较满意的就主要目的达到了就是确实看得很爽啊但就跟很多朋友吐槽那样就是即便真的看得很爽但也难以忽视另外一部分就是这个片子剧情实在是太老土了
[00:01:21] 就每一步都能猜到就不说了就感觉就像是编剧给ChatGPT写了一个prompt就说我要一个F1题材的直男大爽片然后编剧就直接拿了GPT的这个结果就去拍了这个电影那种感觉尤其是里边所谓的感情线就不能因为主角是布拉德皮特然后就把一个技术天才的女主角突然就变成一个花痴一样的人所以这个确实是难以忽略的一个缺点吧很高兴我真的没有浪费我生命中的两个半小时
[00:01:47] 但肖老师我们不是影评节目吧OK 影评到此为止我们就回到商业的视角从商业上来看这部F1大电影是非常成功的它的首周末票房就是1.4亿美元然后我们录制的时候我看到全球累计的票房已经超过4.7亿美元了它是出品方就是苹果有史以来最成功的一部院线电影除了电影本身以外从商业角度它还有另一个成功之处就是它成为了一次完美的F1赛事营销
[00:02:14] 为什么这么说呢因为我们之前之所以叫它F1大电影是因为它的英文名字确实就叫F1 The Movie它并不叫什么狂飙飞车所以这是一部由F1全力支持拍摄的主题电影它除了主角和故事是虚构的里面的赛道车手赛车甚至解说员都是和真实世界当中一模一样的连监制都是F1传奇车手路易斯汉米尔顿他自己在里面还就是出镜
[00:02:39] 扮演了一个角色所以本质上这就是一个F1给自己拍的宣传电影是吗没错而这个呢就是我们今天想讲的故事因为这部宣传性质的电影其实是F1最近八年来一个整体改革的又一个新举措而这一轮改革呢其实是帮助F1从一个岌岌可危日渐落伍的状态恢复到现在一个重新流行起来并且获得商业上巨大成功的一个状态那我们的同事嘉瑞现在最好正经写了一篇稿子来复盘了这个过程所以我们今天就来讲一讲
[00:03:09] 这一轮改革的起点是在2017年一家叫做Liberty Media Group就是自由媒体集团的公司收购了整个F1赛事这就很有意思为什么一家媒体集团要去收购F1呢在它收购之前F1到底遇到了怎么样的危机自由媒体集团又做了哪些事来逆转整个局面本期节目我们就来探究一下这里是商业就是这样
[00:03:43] 首先打一个补丁之所以我们现在能够讨论F1的商业运营是因为自由媒体集团是一个上市公司它收购了F1之后呢这部分的业务虽然没有自己独立上市但是它也会公开财报并且在纳斯达克也是有一个代码的所以照例声明本节目仅做行业探讨不构成任何投资建议补丁打完了那我就先提第一个问题就是你前面说自由媒体集团收购F1的时候这个比赛已经是危机重重了怎么会这样呢
[00:04:11] 我虽然一秒钟F1都没有看过但是好歹知道这个有很多人在看它而且它不是跟什么奥运会世界杯并称为什么世界三大体育赛事吗怎么就不行了呢这个就要说到2017年之前F1的商业版图还有它的这个状况了不过就是在铺垫这个背景之前请允许我先吐槽一下世界三大体育赛事这个说法我查了一下就是把F1列为世界三大体育赛事这个说法并不是一个全球的通论
[00:04:40] 在FE的发源地英国它不流行法国也没有这种说法美国就更不用提了人家有自己的四大直接体育赛事嘛
[00:04:47] 这个说法最流行的
[00:05:15] 当然把它提到这么高的位置在F1的鼎盛时期可能确实有一定的道理是一个全球性赛事嘛那有很多的这种地区性的那个职业体育或者是联赛就被排除掉了那在全球性的赛事里边F1在80年代到21世纪初这段时间的确是电视收看人数最多而且商业价值最大的比赛之一那这个呢就回到了我们前面说的2017年之前F1的商业版图了
[00:05:40] 这里面的一个关键人物叫伯尼·埃克莱斯顿我们一般就叫他伯尼或者Bernie从1981年开始Bernie他就执掌F1的运营超过了30年Bernie掌控F1的过程其实也是个非常经典的商业传奇故事不过我们今天的重点不在于此所以就简单的介绍一下大家可以自己去搜一下这个资料很多
