Vol.99 劣币真能驱逐良币吗？
时长：00:39:05
来源：网易云音乐电台节目 · 商业就是这样 · Vol.99 劣币真能驱逐良币吗？

[00:00:00] 大家好,我是湘文杰,我是西冰星
[00:00:03] 我们从小听到俗语呢经常会出现正反两个版本比如有人会说浪子回头金补坏那有人就会说好马不吃回头草然后有天意难为就会有人定胜天对所以这种总结是没有办法深究道理的反正俗话总是说的好但是在商业世界里面呢有一个类似的矛盾啊但是很值得深究一下比如有一句话是优胜劣汰就是好的东西呢一般更受欢迎这种也比较符合大家常识
[00:00:31] 但是有另外一种说法也很流行叫劣币驱逐两币反而是坏的东西会逐渐成为主流有点意思啊感觉这个和俗话不太一样因为这两个词或者短语都是对客观现象的一种总结的感觉嗯没错因为在现实生活中确实有时候会遇到劣币驱逐两币的现象像现在我们基本上都是电子支付嘛以前还用现金的时候如果你有两张一百块一张是新的一张是旧的那相信大多数人都会优先把这张旧的花掉
[00:00:59] 这样新钱留着过年的时候给小孩发红包用所以你买东西找回来的钱一般也新不到哪里去久而久之比较破的纸币就在市场上流行的比较多了没想到是这么字面意义上的劣币和良币对啊当然我们更多用这个词是指代一些别的市场现象比如说书店里面可能经常是那些没什么营养的成功学书籍比较畅销经典著作反而没有人买
[00:01:24] 在比如说职场里面就是有些人可能用像欺骗贿赂或者说不正当的手段实现了升职捞到好处那些踏实肯干或者任劳任怨的人就容易被忽视久而久之这个企业也可能就好不了我觉得这个是因为劣币驱逐良币这个说法里隐含了这种对不合理或者不公平事物的一种批评所以比较容易受到关注这个就和负面的新闻往往比较火是同一个道理
[00:01:50] 而且我们一个人现在如果想要感慨这个世风日下或者怀才不遇的时候就比较喜欢用这种说法了其实在经济学里面劣币驱逐良币有一个专门的对应概念叫做格雷辛法则在法则这个词听上去很强而有力但就像我们开头说的劣币驱逐良币的另一面还有优胜劣财这个非常朴素的规律所以到底哪个才是符合真正的商业世界的情况呢所以本期节目我们就从格雷辛法则这个概念出发
[00:02:19] 通过几个真实的案例来看看在真实的历史当中同一个市场上面这个劣币和良币或者说两种流通货币之间到底是如何竞争的究竟谁会赢好那我们就开始吧这里是商业就是这样
[00:02:48] 那先介绍一下格雷辛法则这个法则是根据16世纪的一位英国铸造局长他就叫格雷辛以他的名字命名的格雷辛发现当时的市场上面都是一些因为长期流通而导致磨损的或者橙色不足的银币在流通而橙色更好的银币往往会被收藏起来或者融化成金属块用于国外的贸易那这个跟我们前面讲到的纸币和红包有点是一个意思有点差不多
[00:03:16] 那到1558年伊丽莎白一世女王继位之后呢格雷辛当上了英国的财政大臣他就给女王上是说劣币和良币不可能同时流通劣币最终将把良币逐出陛下的领土而等到300年之后英国有一个经济学家叫麦克劳德他在写一本叫做政治经济学基础的书的时候呢他就觉得说这个现象可以被确认为经济学上的一条定律而他决定就以格雷辛的名字命名就叫格雷辛法则
[00:03:46] 这个1558年那个时候就上书了所以它是一个很古老的经济学的现象或者说定义其实比你想的更古老因为在格雷辛之前有很多很多人都在各自的文献中提到过类似的现象比如说在西方其实可以追溯到古希腊时期有一个剧作家叫阿里斯托芬他有个作品《蛙》就在里面讲到这个现象而在东方也可以追溯到我们的西汉时期
[00:04:13] 政治家贾仪就说当时有一个现象叫做奸钱日返正钱日亡贾仪是那个写了高中经典文艺文篇幕过情论的贾仪吗正是不过这里要简单解释一下当时西方常见的这个银币和中国历史上流通的那个银子是有区别的中国的银子也叫银两嘛它是一种所谓的称量货币不同的银定之间的成色其实差异是很小的这个价值差异主要是体现在重量上
[00:04:42] 所以中国那个时候货品的价格是和贵金属的重量直接挂钩的或者货币的价值是和重量直接挂钩的对的所谓一两银子确实是要看重量的一两就是一两一两就是一两
[00:04:55] 过去西方的银币呢情况不一样它是用银子和其他的金属做了一个合金铸造出来的一个银币然后由官方来规定这个银币的面值和单位重量的纯银之间有一个什么样的比例关系这个就是所谓的银本位置那买东西的时候呢这个卖家说比如说我这个货其实值多少重的银子根据这个比例关系换算出来你再给他多少个银币就可以了
[00:05:21] 这种银币其实是另一种货币叫数量货币现在也是更常见的一种货币这个听上去也挺合理的那问题就来了既然都规定了货币面值和纯银之间的比例关系它应该也是比较稳定的了为什么还会出现所谓的劣币和良币的差异呢这里就涉及到两种情况一种情况跟生产方式有关系另一种跟流通时间有关系先说第一种
[00:05:46] 因为中世纪欧洲的很多银币呢是由私营的铸造厂生产的他们铸造的工艺也相对比较简单前面提到合金里面这个银的比例是有官方规定的但是普通人其实很难用肉眼识别一个合金里面成色的细微的差别对对对所以说铸币厂呢他为了节约成本很可能就把这个钱币里面的银的实际比例就降低了
[00:06:09] 另外还有一种偷鸡摸狗的方法就是原本这个良币就是好的银币它的成色是合格的但是我从上面错一点点下来然后把这些边角料积少成多就能住出一枚新的钱那如果一枚良币不断地这样被人错一下错一下不断地挖墙角那它其实本身也会变成一个有明显磨损或者有残缺的一个劣币所以是理想化了这个对应的标准遇到这个真实的贵金属加工时出现的一些误差确实是
[00:06:38] 那为什么流通时间潮会产生更多劣币呢一方面就是前面说的就是这个市场上面的旧钱被反复地掺杂磨损再掺杂再磨损然后一代一代地重新融注那个就显然会导致说最后面的新钱它的含益量就是最低的另外一方面呢就是这个国家如果它本身的贵金属储备量不是很足那君主呢也倾向发行那种含益量更低但是面值跟旧钱一致的新钱
[00:07:06] 也就是说官方也会把这个含银量降下来对的官方打下来其实在伊丽莎白一世继位的时候呢英国市场上没有什么高含银量的旧币了然后流通的这些钱里面的含银量都很低所以格雷辛呢当时是想用这个现象来说服女王尽快发行一些橙色十足的新比佛的这个货币市场就完蛋了也是啊就是你掺杂一点点这个不是银的金属还能混得过去
[00:07:30] 你今年累月反复的掺杂这个普通人肉眼也能看得出这个橙色有问题了是的那如果国家允许劣币和良币平等的流通实际上呢就会刺激更多的劣币进入到市场里面最后就形成一个非常可怕的通货膨胀这里我们可以举一个带数字的例子来方便大家理解假设有一枚旧的银币它的面额是100元然后它对应的含银量是30克而在市场上用30克银
[00:07:57] 正好可以买到100根香蕉虽然有点贵但是可以买100根香蕉相当于每根香蕉的价值就是一元可以理解那这个时候呢国家开始发行一种新的银币它的面额还是100元但是里面的实际含银量只有15克了而且市场上都知道说你这个新的银币里面的含银量下降了一半这件事情那如果从银的角度来看那这种新的银币显然只能买到50根香蕉
[00:08:25] 对如果按照那个比例来算的话对按比例来算但是国家有一个规定说新旧两种银币有同等的流通效率而且商家不可以拒收这个新币为者要法办
[00:08:37] 那这种情况下呢消费者会怎么选呢他自然选择我用这个实际价值已经下降的这个新的银币去买东西因为你还是可以拿这个100元去买回来100根香蕉嗯就是国家要你跟面值来对等而不是要你跟这个银的实际含量来对等对的那这样的话商家就是血亏了呀因为他实际上收到这个100根香蕉里面只收回来15克的银而不是30克了对的嗯那这个时候呢商家就马上会使用另外一个工具来自保就是价格
[00:09:05] 既然你货币贬值了50%那我就把价格直接翻一倍让每根香蕉从一块钱变成两块钱这样子新旧银币的实际购买力不就一致了吗但是消费者看到这个价格以后他会怎么做呢他还是更倾向于使用新的银币因为旧的银币虽然它的含银量摆在那里但是面值是死的还是100块结果现在每根香蕉变成两块钱只能买50根香蕉了
[00:09:31] 所以其实就是商家和消费者都知道这个银才是真正他们心中觉得值钱的东西但是这个面子呢又发生了一个变化导致这个劣币驱逐良币的实际上就是两种不同的这个货币但它还有一种同等的效力而且呢国家又规定说你商家不能去拒收这两种货币这种一种没错如果说商家和消费者都死守住这个规定
[00:09:52] 而且国家发行货币越来越烈的话导致一个结果就是市场的通货膨胀就会越来越严重消费者他会更倾向于把钱都换成食物而且是容易储存那种食物来储存起来
[00:10:06] 在极限的状态下这个市场会直接放弃货币我不用钱了我直接回到最原始的以物易物的状态大家都拿东西来换这个时候不管是劣币还是良币其实都一起被扫除市场OK当然我觉得有另外一种情况就是如果你这个前提改一下就是说商家不按这个规定形式我就坚决的不收那个15克含一量的那个劣币我只收良币的话那这种情况下自然就是良币驱逐劣币了事实上这种情况是更容易发生的
[00:10:34] 所以说劣币驱逐良币这个所谓的格雷性法则虽然叫法则但首先它就不一定成立其次的话它即使成立可能也只是一个比较短期的现象或者说就是我们讨论这个现象的时候会忽略伴随而来的很严重的通货膨胀的问题那在真实的世界里面货币的流通价值变化实际上就是不断处理劣币和良币之间关系的结果
[00:10:58] 前面袁老师其实讲到的是一个格雷辛法则的原始版本他主要说的是一个国家只有一种货币或者说货币只跟一种贵金属它价值挂钩的时候那么货币本身的优劣就是说含贵金属的量的区别就会导致一种劣币驱逐良币的情况但在货币体系当中这种情况就叫做单本位置最常见的就是我们比较熟悉的像金本位还有前面说的银本位对吧
[00:11:24] 其实像20世纪中叶的布雷顿森林体系时期美元其实是一个标准的金本位置货币当时是规定每35美元可以无条件兑换1盎司的黄金如果说其他国家的货币再跟美元有一个挂钩关系的话它其实是间接的跟黄金就挂钩了所以当时的美元在国际货币体系当中的地位是很强的但是实际上美国采用单本位置这个事情不是很早
[00:11:51] 他是直到1900年才宣布说我使用单本位置把美元和黄金单独挂钩的那其实在美国建国的这个头100多年里面采用的是一种更复杂的制度叫做金银副本位置也就是说政府同时发行含金和含银的两类硬币而且通过规定硬币的重量和纯度让它的美元面值分别与实际的金银价值挂钩
[00:12:17] 然后呢政府还规定同等重量的纯金和纯银它的价值比例是恒定在1比15的一克金换15克银OK也就是说美国的这个当时的货币它对两个贵金属金和银都能够挂钩然后呢它和金银和银当中呢又规定了一个固定的比例让他们互相也挂钩没错那这样的做法的好处呢就是说用两种贵金属铸币呢就是可以保证市场上面货币供应总体比较充分
[00:12:45] 因为金有可能少银有可能少加在一起不太有可能同时少这个也同时尊重了美国独立之前各地已经流通那种传统货币因为有段时间可能像西班牙银币在美国是很流行的但是这个问题也很明显就是金银自身会有价格波动它就会直接影响到这两种货币的价值所以接下来岳老师要讲讲美国这边发生的劣币和驱逐良币的事情了吗对 这个是一个历史这个历史还分几个阶段稍微有点复杂
[00:13:13] 那我们前面提到金银有一个法定的兑换比例是1比15嘛这个事情其实是1792年颁布的铸币法案当时确定下来的
[00:13:22] 但是这个铸币法案颁布没多少年到了1808年实际上的市场上的金银兑换比例的这个数据已经变成了1比16也就是说银当时相对于金已经贬值了那这种情况下当时的美国银币就变成了所谓的劣币然后美国的金币就变成了两币也就是说官方规定了1比15但实际上人们心理中已经是1比16了对的
[00:13:47] 此后呢美国就开始受到我们前面说的格雷辛法则也就是劣币驱逐两币这个情况的影响一些商人呢就开始把手里的美国金币融化然后运往欧洲然后在欧洲兑换成外国的银币再把这些外国的银币呢运到美国国内在美国的铸币厂把这个银币再融掉重新变成美国的银币靠这种方法来套利就是套那个一笔十五和一笔十六当成这个利差对的此外呢还有一些美国人呢他们就直接选择我把金币储藏起来
[00:14:16] 我就不用于日常的货币流通我日常只用银币这样一来呢美国国内流通中的金币呢就越来越少这个劣币就真的驱逐两币银币变成了一种主流的货币那怎么办呢面对这个问题呢美国做法就是说我发现一些面值不变但是重量更轻的金币通过调整重量的方法来把金银的法定兑换比例直接调整回了就跟市场一致的1比16
[00:14:41] 这个之后金币外流的现象很快就消失了然后金币也回到了市场流通中听上去这个问题还是蛮好解决的只要你稍微调一下这个比例就解决了但是我看到历史当中又发生了一个新的问题就是到19世纪中叶美国又出现了加州的淘金热很多人大量的开采出了黄金然后黄金的产量一下子上来之后就又再次影响了金银兑换的比例的关系了是的因为这一轮美国自己的黄金大量的进入到了市场上
[00:15:10] 马上出现了完全相反的局面银币开始变成了良币大家开始把银币融化了大量出口然后市场上流通的银币快速变少了因为那个时候金的量多了它的价格就下去了对 金太多了相对于银币而言金币就变成了劣币了真的是30年劣币30年良币但是由于美国本土当时发现黄金储量确实挺大的流通进来的货币非常多
[00:15:35] 然后政府也为了解决这个银币因为它变成了两币就流通变少了因为有很多出口了然后它会导致一些短期的货币总体供应不足政府为了解决这个问题还是铸造了大量的金币尤其是增加了一些以前没有的什么10美元20美元之类的大面积的金币这个也为美国之后走向金本位制就打下了一些基础另外一方面我们前面提到那个铸币法案它其实一直在修订它到1853年又修订了一次
[00:16:04] 当时美国政府是通过调整银币重量的方式把银币又引回到市场上就跟我们前面说那个方法差不多但是这个时候呢银币主要解决的就是低于一美元的小面值的部分就是一些零钱那加上这一版的助币法案还同时限制了银币的自由铸造权以及你交易时候的付款额度上限也就是说你用银币最多可能付大概五美元可能三美元就是很小的一个面额
[00:16:31] 那这个时候呢银币的流通的效率呢就已经远远低于金币了那它的地位也就是明显落后于金币了简单来说就是在1853年这个修订的铸币法案的时候其实这个法律上面已经多少的承认了金币大大的优势于银币的这种市场的现状或者说就是金银之间分出了主辅金为主银币为辅那等到1873年这个铸币法案又去修订了
[00:16:57] 这个修订完了以后这个法案里面连关于标准银币的铸造条款都没有了这其实就相当于默认了我废除了银币的这个本位币制度那这个倒也蛮清楚的你就一个金本位不就好了吗对啊但是这个有一个什么问题呢因为美国不仅开发出了大量的金矿也开发出了大量的银矿这个就很严重的影响到当时一些矿主的利益
[00:17:19] 此后的25年间呢美国国内就出现了一些白银运动就是大家呼吁我们要重新开始铸银币然后呢又有一些已经看到了金本位制优势的一些进步人士然后他们变成了金本位制的捍卫者这两方就是长期的对垒金银之争最后发展为了一个党派之争共和党人总体是走向金本位为主的民主党人就会呼吁说我们要重新自由地去铸造银币就是两方有这样一个观点的对冲
[00:17:48] 这个两方打来打去呢最后在1896年的总统大选里面最后是由共和党的候选人麦金利获胜的那因为他是支持金本位的所以说美国是在1900年最终确定了新的一个货币制度是金本位制他也是当时全球主要的工业国家里面最后一个采用金本位制的没想到一个我们现在看起来比较理所当然的金本位制
[00:18:11] 在当时是有蛮多这个怎么说矿业对吧或者是一些这个政党之间斗争才产生的一个有点偶然的结果我们今天只是简单的说了说我们可以在休闷词里面放一些比如相关的书籍大家可以继续看一看OK那从这个美国这一两百年副本位置折腾的历史就可以看得出来比较复杂的这个货币的机制很容易受到全球以及国内市场上这个经营供应量的影响
[00:18:39] 然后产生比较大的价值的波动一会儿你是劣币一会儿我是劣币想要保证两种货币同时稳定流通呢就只能尽快的来矫正这个货币本身所以这个铸币的法案才会不停的修正对吗然后才会不受到这个格雷辛法则的影响
[00:18:54] 这个对于政府的要求已经蛮高了我觉得美国政府当时已经做的蛮灵活了更何况就是最初制定这套机制的时候我觉得美国人应该没有想到说自己国内有这么多的金和银每一次开发喜悦实际上最后都扰动了自身的这个火力体系
[00:19:12] 听完刚刚约老师讲的美国的这个金银副本位制这段历史呢我就觉得确实一个国家里面同时流通两种货币然后货币之间的这个价格还变来变去的真的是蛮令人头疼的哪怕是从方便简单的角度来说我都倾向于只用一种货币了嗯的确比较符合我们绝大多数人的体验但是其实在一个国家里面流通两种货币的情况在历史当中不是很少见除了刚才讲的美国的副本位制
[00:19:39] 其实还有一种情况就是这个国家里面本身存在着两个政权那这两个政权的对立呢实际上也会造成两种货币的角力这时候呢我们就想讲到一个例子就是1940年代初中国的陕甘宁边区里面鞭币和法币的竞争好那这个其实也是个蛮有名的一个历史的故事1940年发生了就是所谓的晚南事变嘛
[00:20:02] 那个时候国民党是停发了八路军的军饷而且断绝了陕甘宁边区里面的一切外援和绝大多数的对外贸易
[00:20:09] 边区内部当时是提出要自理更生所以说从1941年1月开始在边区范围里面发行边币名义上是禁止法币在边区里面流通的我们看到过一些资料就当时因为条件有限这个边币其实做的挺简陋的有一张图就是上面这个四张纸币你给人感觉就是它不是一套的它完全不是一套的而且有一张特别像小朋友手绘出来的就是那种拙劣的手绘而且发行货币其实只是第一步
[00:20:38] 如果说边区想要把当时的全国的通用货币也就是所谓的法币挤出整个边区市场才是更困难的事情因为边区的早期经济力量是很薄弱的它生产基本上是不能自己的当时像布匹棉花文具农具烟糖药甚至你吃饭用的碗缝衣服用的针线其实都是要靠输入的而边区能够对外输出的大宗商品很少只有食盐基本上OK
