Vol.236 1万亿美元！马斯克的天价薪酬有多大可能实现？
时长：00:38:36
来源：网易云音乐电台节目 · 商业就是这样 · Vol.236 1万亿美元！马斯克的天价薪酬有多大可能实现？

[00:00:01] 大家好,我是肖文杰,我是小亚2021年商业就是这样启动的时候其实我们录的第一期节目讲的是特斯拉为什么老降价当然后来这集是放在第二期播出第一期我们放了一个更有时效性的春晚的话题不过这里不建议大家再回听早期的那些节目了就是青涩粗糙的程度实在是过于羞耻反正我是因为过于羞耻没听过在那个之后其实我们时不时聊一些汽车的话题特斯拉这个公司也经常出现
[00:00:29] 但一直没有再单独的聊它这一次我们就回到最初的起点我们再来聊一聊特斯拉
[00:00:35] 只不过话题仍然会比较聚焦我们来聊一聊最近特斯拉给马斯克开出的天价薪酬我们节目一般是不追热点的但说实话这个热点有一点太大了是的就因为当天新闻出来的时候所有的标题就是未来十年马斯克最高可以获得A trillion就是一万亿美元的薪酬如果大家常听我们节目
[00:00:59] 多少应该对于商业世界这个数字有一些基本的概念
[00:01:27] 亚马逊Meta沙特阿美博通伯克希尔哈萨维然后台积电除了硅谷的那些以外再加上一个石油的公司再加上一个保险公司对加上一个巴菲特特斯拉自己都没够上这个门槛就这么些公司然后马斯克可以获得这么多的钱是的
[00:01:47] 就算是以十年累积居然可以达到这样一个一万亿美元的水平真的是太想知道为什么了所以说本期节目我们就来解决三个基本的问题第一所谓的天价薪酬方案具体到底是怎么写出来的第二就是和常规的高管薪酬方案相比它又有哪些特别的地方第三就是马斯克真的能拿到这么多钱吗
[00:02:17] 这里是商业就是这样在解决第一个好奇之前还是要照例声明一下就本节目内容仅作为行业讨论不构成任何的投资建议而且针对特斯拉投资建议已经过多了就是完全不缺我们这一个当然在最后讨论第三个问题的时候我们多少会涉及到特斯拉如今的情况暂时我们先把这个话题放一边我们先来看一看这份天价的薪酬一万亿美元到底是怎么来的
[00:02:42] 先一句话总结就是特斯拉之所以推出这一份天价的薪酬方案是因为他上一份给马斯克的天价薪酬方案被否决了在此之前事实上马斯克已经有过一份天价的薪酬的方案了那个时候的总额是2018年到2023年这五年的时间最高达到了560亿美元在当下也是前五股人的一个水平而且那个时候有很多新闻就说这是最疯狂的CEO的激励等等的
[00:03:11] 在这份方案被完整的执行了之后它却戏剧性的在2024年的时候被特拉华州的法官给宣布无效了然后特斯拉或者说马斯克的一个反制措施就是推出了这一份更加夸张的万亿美元的方案赶紧说说吧这两份方案到底写的是什么东西我们先展开说一下2018年的一份我们就叫它2018版
[00:03:34] 虽然这个数字听上去560已经不是那么兴奋了对吧跟1万亿相比我们不兴奋我们在这边干什么呢但是2025版这个方案基本上的逻辑和结构是遵循于2018年的而且他们就是一个升级版这个关联的关系替换的关系先理解了18版才能理解天价的薪酬怎么来的同时也才能理解为什么我们说的24年法官会做出一个否决的判决整个事情我们才能理解首先2018版我总结一下它的核心有这么三个要素
[00:04:03] 第一个叫做无固定工资就是马斯克不是吃薪水的对没有一分钱的固定工资第二个呢就是全市股票期权第三个呢叫做12级台阶OK第一条我觉得很好理解对吧你刚刚已经理解意思了就是没有固定的一分钱
[00:04:18] 整个特斯拉支付给马斯克的这个薪酬就是18年到23年这五年里面的规划都是特斯拉这个公司的股票累计可以达到整个公司的股权的12%插问一下就是在这个2018版方案出台之前马斯克是不是已经有了很多特斯拉的股票了我们看一些当时全文媒体的报道大约估计那时候马斯克已经有21.9%就是当时已经有那么多特斯拉的股权了但是这个问题挺重要的后面我还会展开来讲讲
[00:04:46] 先说回这个奖励的12%的股权这个就涉及到第二点就股票它奖励给马斯克的方式是期权这个就是现在很多大厂员工也很熟悉一个东西对大家应该比较熟悉了简单来说的话就是马斯克拿到这12%的方式不是说我直接拿过来这些股票了而是说公司允许你一个固定的价格去买下这些股票就你获得的是这个权益买下的这个价格是根据2018年之前特斯拉的一个公允的市值来计算的
[00:05:14] 最后得出来的价格就是每股350美元听上去还蛮便宜的很便宜很便宜
[00:05:19] 但是呢有这个行权价格就意味着如果2023年方案结束的时候特斯拉的股价等于这个数字的话特斯拉这个上面就白干零元等于就是他要把这个市值先做上去然后才能让他价值体现出来是的这个其实就是整个薪酬方案的一个核心就是激励你马斯克把特斯拉的市值做上去这个呢就要涉及到第三个关键性词就是所谓的12级台阶什么意思呢就是说这12%的股份啊就是你如何最后能获得呢
