Vol.03 几万块“一口”的透明牙套，是怎么在中国流行的
时长：00:23:11
来源：网易云音乐电台节目 · 商业就是这样 · Vol.03 几万块“一口”的透明牙套，是怎么在中国流行的

[00:00:06] 影视美在中国这么流行不是偶然的这背后有市场的红利有正确的推广策略还有一位关键人创始人不是学艺的内行而是有技术背景的投资人这件事情有坏处也有好处坏处就是像周彦恒看到的那样这个产品一开始不够成熟
[00:00:29] 独到的技术让影视美在这个市场成了像乐高或者吉普一样的存在而精准的商业策略也让它把这种优势最大化升级成了这个行业内的苹果这里是商业就是这样
[00:00:50] 嗨,你好,我是湘文杰我是许冰青我们都是第一财经杂志的主笔因为职业原因,我们要看许多咨询公司的报告里面全是很厉害的大词出现频率最高的就是已经说烂的消费升级说白了,消费升级就是过去十年中国人或者说主要是大城市里的居民更愿意在自己身上花钱了如果要说在自己身上哪个部位花钱最多的话牙齿可能是你想象不到的一个部位
[00:01:19] 在牙上的消费从十几块钱的牙膏和牙刷一步步升级到几百块钱的电动牙刷牙线冲牙器甚至是定期洗牙现在已经有了几万块钱的东西也就是矫正畸形这个当中受益最大赚钱最多的一家公司叫爱奇科技它是一家美国的公司发明了影视美这项技术也就是大家现在熟悉的透明牙套
[00:01:43] 2011年爱奇艺科技把影视美带到中国接下来他发现这是一门特别赚钱的生意爱奇艺科技进入中国以后从2013年到2017年在中国的营业收入每年都能翻一倍到现在中国已经是爱奇仅次于美国和荷兰的第三大市场目前中国已经有超过60万人戴过透明牙套如果你是在一线城市比如说上海的话
[00:02:11] 做影视美每个人的开销差不多在4万块钱左右在中国市场的强大的力量下爱奇科技的股价也在过去10年增长了30倍刚才说话的是我们的同事王一月她也是第一财经杂志的记者最近她写了一篇稿子讲的就是影视美如何打进中国的故事在她看来影视美在中国这么流行不是偶然的这背后有市场的红利有正确的推广策略还有一位关键人
[00:02:39] 2000年我第一次去美国两个事一个是参加我们这个叫退的学习班就是一个专门这个就是传统的这个矫正的所有的医生都应该在那去培训一下我们叫退的这种这个方思功技术学习班差不多两周时间然后完了以后我们就去跟着因为那年是就美国政经年会100周年在芝加哥所以在那会上突然
[00:03:07] 北京大学口腔医院是中国最好的口腔专科医院之一2000年他派正肌科也就是我们常说的矫正牙齿科的副主任周燕衡到美国去培训周燕衡见到了一种刚上市不久的新型牙齿矫正器叫Invisalign
[00:03:34] 它没有传统的脱槽也就是钢圈患者不用戴传统的钢圈而是把一个透明的牙套整个套在牙齿上面每隔一段时间更换一次整个疗程大约一到两年不过当时周应恒觉得那些病例的矫正效果并不好有的牙根还在外面
[00:04:03] 周燕衡感觉效果不好的原因是发明影视美的并不是一个牙科医生而是一个华尔街的投资经理他当时做牙齿证机就是用的是钢制的牙套体验不是很好但他又是一个学计算机的人所以他想出了一个方法就是扫描病人的口腔然后用电脑模型定制一个透明的牙套来矫正牙齿创始人不是学医的内行而是有技术背景的投资人这件事情有坏处也有好处
[00:04:32] 坏处就是像周彦恒看到的那样这个产品一开始不够成熟也卖不出太多这位创始人后来就被踢出了董事会但好处是从一开始影视美就更像一个面向消费者的消费品而不是一个传统的医疗器械当然从法规上它肯定还是医疗器械但是它从一开始就会更注重消费者的体验另一个好处是投资人就更加擅长资本运作所以
[00:04:59] 虽然一开始影视美卖的并不好但是爱奇科技成立不到四年就能够上市了而在新的管理层上任之后这家公司各个方面都走上了正轨这里我们要回过头来说一下传统的牙齿矫正技术有些什么问题我们所说的传统的固定矫正技术其实也经过了很多次的迭代但不管迭代到什么版本都是万变不离其宗
[00:05:25] 也就是在牙齿上粘一个金属的脱草然后把不同弹性和硬度的钢丝固定在上面借助这些钢丝的外力让你的牙齿做出一个移动戴钢牙我们小时候都看到过我自己没有戴过它具体而言有什么不足的地方吗首先就是你在佩戴的体验上钢牙其实更加是比较不舒适的
[00:05:51] 它对你牙齿施加这个力的过程中你会有明显的那种酸痛的感觉特别是你刚开始做的时候这也许会影响到你之后平常体感以及那种进食的体验其次的话因为这个脱槽它是有金属的突起它会跟你的口腔内壁有摩擦有的时候会把肉划坏这个感觉也是蛮痛苦的
[00:06:15] 佩戴过程中的清洁也是一个问题因为你吃东西那种食物残渣很容易挂在钢丝上粘在脱槽上就比较难清洁然后就是钢牙的复整的过程也会比较麻烦不仅要定期的去复整这个过程中万一你的脱槽脱落或者钢丝断了都要马上的就去复整因为不马上的调整到正常的状态就会影响你平时这个治疗效果最后就是
[00:06:43] 钢牙的佩戴比较不美观就是比较丑那这么看的话其实透明牙套实观上就能够避免前面讲的这一些坏处它又没有金属的钢圈然后也看上去不会太难看那为什么那么长一段时间里面大家都没有发明这个东西呢其实透明牙套这个产品是很早在1945年就有这个东西了
[00:07:08] 不过当时它主要功能是用来做微调的,包括现在如果你使用固定角质技术正气的话,在疗程结束之后,医生也会给你佩戴这个透明牙套,叫做保持器,大概一年的时间用作对你疗效的一个巩固。但是影视美的话,它就是把这个透明牙套从原来一个辅助型的产品变成了它的一个主力产品。它有什么特别的地方吗?
[00:07:37] 首先在技术原理上它是跟之前的露点角质技术就是完全不同的当然因为我不是专家所以我只能大致的介绍一下它的原理就是在以前基本的透明牙套的基础上它又发明出了一个很重要的东西叫做腹腱这个腹腱是非常小的一个固体在你牙齿的不同位置上然后这个透明牙套上有相应的凹槽
[00:08:05] 在你戴上之后恰巧跟这个附件是刚好吻合的通过它们之间力的作用让你的牙齿做出一个移动然后其次的话就像我们之前提到的因为它的创始人是有技术背景的然后它创始一个很重要的一个思路就是希望通过大数据的基础对患者牙齿的震惊状态做出一个模拟所以的话
[00:08:33] 女士美她是有个非常庞大的技师的团队这个技师团队是跟政绩医生要沟通患者的一个政绩方案
[00:08:44] 然后在这个正机方案的基础上这个技师会模拟出你要的这个牙套的模型是怎么样包括模拟出你的牙齿在这个过程中是怎么移动的那直接以这个模型为基础就可以生产出现成的透明牙套了感觉可以这么总结就是透明牙套对消费者来说更舒服也更好看
[00:09:08] 对于医生来说的话它帮助医生摆脱了很多细碎的非标准化的体力劳动它不需要坐在患者旁边然后定期帮他敲敲打打微调那个肛圈而是可以用更加标准化程序化的方式矫正患者的牙齿同时这也增加了医生的产能他可以在单位时间里边接收更多的病人了让我们回到当年的北大政绩科副主任周燕衡身上吧11年后他已经变成主任了
[00:09:38] 和许多科室的主人一样他现在要给自己的科室找一个新的独门技术这个时候呢爱奇科技找上门来了这个时候的爱奇已经不是当年那个不靠谱的技术了他已经开始统治美国的整个牙齿成绩市场
[00:09:53] 这是我在想一个事因为北大政绩你知道它在国内基本上是移民的所以我就在想北大政绩这么多年到底哪个技术真正能够撼动让人觉得光相看今天我要当出来我一定要找一个技术或者找一个东西能够用钱比较时髦上爆款是吧
[00:10:20] 咚 爆了一下那种感觉说白了就是隐形美对于所有的医生就隐形矫正牙套对于所有的医生来讲这是个工具那我们能不能把这个工具拿来我们给它加以改进能不能做成一个好的技术体系这是那时候我想的事周燕很久很敏锐地发现了其中的机会由她牵头
[00:10:43] 北大口腔医学院在2011年举办了国内首次的影视美专题
[00:10:50] 这个研讨会非常权威全国95%以上的专业的政绩科的主任都参与了这个会的目的就是向学界来引进无脱槽隐形矫正技术也就是影视媒这对影视媒打开中国市场非常重要正因为此影视媒找到了在中国推广最重要的渠道也就是政绩医生然后影视媒就把他在美国已经建立成熟的那一套
[00:11:18] 随着他积累的
[00:11:41] 影视美的病例越来越多她认证级别也会越来越高之后也有机会成为新的影视美的讲师去向更多的认证医师去做培训这个过程就有点类似于做瑜伽库的Lulu Lemon和瑜伽教练之间的关系Lulu Lemon很自豪的一种市场推广方式就是在全球各地去找瑜伽教练瑜伽教练能够吸引到更多人来练瑜伽
[00:12:08] 那么Lululemon的裤子自然也就卖出去了这个就是我们很熟悉的KOL模式当然影视美的这个KOL也就是政机医生他们更加简单粗暴瑜伽教练他只是给你安利Lululemon而政机医生如果向你推荐了影视美你基本上就肯定会听他的其实药也好医疗器械也好这些生意的本质很类似于我们小时候的教材和教辅书
[00:12:34] 虽然花钱的是消费者但决定买什么的是中间环节也就是学校和医生当然发现正确的中间环节也是因为爱奇艺在美国积累了很多经验和教训在美国爱奇艺一开始找的是全科医生来推广后来发现没用因为人们在治疗牙齿这件事情上更相信专业的医生这也导致他和雅亨之所之间迅速建立起了很成熟的商业模式影视美赚的最主要的一部分钱
[00:13:01] 就是向诊所收的材料费也就是透明牙套本身的钱如果是一个中国一线城市的病例它的透明牙套的材料费大约是1万到1万5千元左右而牙科诊所则会收取4万到6万元左右的费用
[00:13:18] 这个数字根据诊所不同的定位还会有一些不同的浮动并且如果一个医生每年治疗的病例数更多影视美还会提供更大的折扣总体而言这是一个影视美和牙科诊所都双赢的一个生意而且影视美是跟一些民营诊所做出除了商业交易外更深度的绑定不仅是销售透明牙套影视美也会参与一些民营诊所的市场推广患者引流
[00:13:47] 管理甚至数字化管理系统的搭建的过程中等于它和这些民营诊所是一个一容俱容的强绑定关系这里还要补充几个关于中国牙科诊机的行业背景首先一个是牙科诊所在中国的民营化之路还记得我们前面提到周燕衡医生吗他在2007年开办了一家叫塞德阳光诊所他也是中国第一位影视美认证的医生
[00:14:14] 2015年他卸任了原来的政机科主任一职将工作中心完全转移到自己的诊所业务上同年赛德阳光就拿到了爱奇的授权成为了影视美的中国中心这就是我们前面提到影视美与民营医院的强榜的关系另外一个背景就是中青年一代的牙科医生的弯道超车因为传统的矫正技术其实是一个非常看经验的工作年纪越长的医生其实越吃香
[00:14:42] 但现在年轻的医生可以更快地掌握影视美这门新技术因为他们更擅长用电脑软件所以当一群以青壮年为主的牙科医生逐渐走向市场走向民营机构的时候其实影视美为他们提供了一个最有力的武器而这些医生反过来也成为了影视美最主要的推广大使说回来影视美这个技术本身也挺讨喜的不然医生再怎么推荐消费者不买账的话还是没有办法这里的一个基本面就是中国
[00:15:10] 的政绩市场落后美国市场太多了这个市场上其实有很多很多的大鱼和已经比较成熟的欧美政绩市场不一样中国政绩市场发展是比较滞后的很多欧美地区的成年人小时候都做过政绩都整得差不多了他们长大以后就不需要再做政绩
[00:15:31] 但中国还有很多的成年人他们小的时候是没有做过政绩的所以对于这部分成年人来说影视美是非常有诱惑力的选择这个过程当中以周彦恒为代表的牙科医生又发挥了很重要的作用他发起的研究提升了影视美在中国的病例当中的适用范围一开始其实透明牙套只适用于30%的中国病例后来这个比例提升到60%据说现在已经接近90%了
[00:16:00] 还有一点也值得注意中国是除了美国以外影视美唯一一个同时拥有工厂方案设计中心和商业团队的一个市场影视美在中国一下子拥有了很大一批没有做过政绩的潜在用户他们的心态也变得越来越积极了
[00:16:17] 其实我牙齿问题不是特别大就是有一颗萌牙它有一点点就是外凸一般别人看到的话他不会觉得我牙齿是不整齐的然后所以说这个事情就是除了我自己之外其实没有什么人关注到然后呢直到有一天我去那个就是一家就是医美的那种医院我要去点个治
[00:16:38] 然后点这个时候呢他说他送一个面诊看了我的脸之后呢他跟我讲他说其他地方都长得挺好的就是下巴有点厚缩建议我垫个下巴我就去研究一下我侧脸然后我发现真的有点下巴厚缩但是我因为之前曾经都想过要正肌啊或者什么的然后其实我在那个知乎上刷到过一些正肌的那个就人家说啊什么牙齿就是正肌是用什么体验啊这样子的那些文章然后就是他们回答
[00:17:06] 然后呢我就会发现原来他们的下巴在正肌之后都会有所改善后来这个就是动了念头因为其实我接整容还是不是很难接受的嘛但是我后来想到这个事情如果能改变下巴的话还挺好的刚才讲话的是张小燕也是我在操作这篇稿件的时候采访的一位消费者她最近刚刚开始用影视媒做正肌矫正像她一样很多正肌的消费者他们的心态和
[00:17:35] 因为比起
[00:18:03] 或者换一个说法过去的钢牙套
[00:18:32] 能不能在小红书上拍出美图呢稍微总结一下吧独到的技术让影视美在这个市场成了像乐高或者吉普一样的存在也就是说品牌本身成了这个产品的代名词而精准的商业策略也让它把这种优势最大化升级成了这个行业内的苹果我们这样说的原因是爱奇科技在很长一段时间里都能同时保持高市场占有率和很高的利润据我们了解影视美的净利润率超过了20%
[00:19:01] 这就是苹果的水平当然任何品牌都不会永远过这么舒服的日子利润又高市场又大这种好事肯定会引来竞争者这两年影视美就面临很大的挑战了
[00:19:12] 最大转折点出现在2017年这一年影视美的20年专利保护期到期了也就是说别的公司也可以开始卖这种透明的牙套了你想想看接下来在中国市场会发生什么很容易就想到会有一大群模仿者出现同样的产品价格是你的三分之一比如高领资本投资的一家叫做时代天使的公司就已经上市了还有叫正牙正力这样的国产品牌陆续发展起来他们都在以更低的价格主打下沉市场
[00:19:41] 爱奇科技自己的年报也显示2018年他们在中国市场的营收增长为91%到2019年就掉到了26%
[00:19:50] 不得不说这些牙齿矫正公司都很会起名字影视美啊爱奇啊正雅啊正丽啊都挑了一些很重要的关键词嘛这些低价竞争者的策略就是和更多的艺美机构合作
[00:20:06] 他们会强调做影视美这样的工作是一个美容项目英美公司显然也很愿意赚这部分钱这个就有点类似于乐高在中国市场遇到过的问题他一直受到各种模仿者的困扰一直要跟人家打官司他甚至出现了一个slogan叫不是所有的积木都叫乐高那么是不是未来影视美也要这样宣传不是所有的透明牙套都叫影视美呢除了更低价的竞争者现在还有
[00:20:33] 一些新的商业模式试图要颠覆影视美2014年在美国成立了一家
[00:21:00] 但是说影视美的护城河可能还是以周燕衡为代表的这些牙科医生们他们是影视美最坚挺的渠道也是这个技术的捍卫者我所有的采访对象包括已经认真的牙科医生还有医疗器械的销售都会强调政绩这个过程中医生是具有不可替代性虽然很多消费者现在可能抱着美容的目的去政绩但毕竟这是一个非常严肃的医疗项目医生需要在
[00:21:30] 患者的政绩过程中随时观察政绩的情况去及时的调整方案不然你不仅政绩的效果可能不好还有可能去损害你自身的一个牙齿的健康当然影视们也在做两手准备过去他的认证医生都是专业的牙科医生现在他也开始把方向转向了一些全科医生甚至医美的医生
[00:21:54] 2019年第四季度有超过3200名中国医生新加入了影视美的培训这些数量庞大认证医生将作为和患者交流的第一窗口构成影视美现阶段的壁垒同时在美国影视美也试着学习那家创业公司它也开办了直接面向消费者的产品体验中心
[00:22:16] 但另一方面他还是会强调医生才是他整个业务的核心他是绝对不可能绕开牙科医生的你可以看到他在两种模式之间在找平衡根据市场的变化不断地调整自己的策略而不是没手成功的经验看起来才是品牌长久的发展之道商业就是这样商业就是这样
[00:22:44] 下期见
