Vol.273 英伟达则兼济天下？
时长：00:40:45
来源：网易云音乐电台节目 · 商业就是这样 · Vol.273 英伟达则兼济天下？

[00:00:01] 大家好,我是肖文杰,我是小亚先跟大家打个招呼这一期录的时候,我嘴巴里面有一些口腔溃疡,长了一些泡为什么我发声?让你这个讲不出话来啥呀,我讲话有可能会稍微有点怪怪的,大家稍微包涵一下那我们言归正传,这一期呢,大家看标题知道,我们来聊的是英伟达
[00:00:23] 本节目上一次聊英伟达的时候是三年前的第118期那个时候我们讲的还是他如何从一个游戏显卡公司变成一个AI行业的基础设施
[00:00:36] 三年前什么时候就那个时候英伟达的市值刚刚破万亿刚刚然后GPT呢欧安的推理模型还没有出来Anthropic那边Cloud2才刚刚推出如果说过去两年对AI很了解的话你肯定觉得我们刚才这个描述恍如隔世上一个上一个世代的事情前前前世其实不过短短三年我们之前说历史的密度不是很均匀这果然不是很均匀所以我们是去聊英伟达的什么呢
[00:01:05] 我们主要想解决一个很具体的好奇就是到底如何看待英伟达借钱给自己的客户来买自己的产品这件事情这件事情最近讨论也蛮多的因为8月份有一个很大的新闻就是英伟达联合了六家顶尖的金融机构准备组建一个AI算力融资平台初步希望是调动5000亿美元借给别的企业来帮他们建AI数据中心
[00:01:33] 我们知道AI数据中心里边的核心资产就是AI芯片的服务器这个大约占我们看到有很多的数据大约是四分之三的成本讲的直白点其实这个东西就是以英伟达的芯片为核心的一些资产当然现在内存也很重要所以实际上这件事就相当于英伟达在船局然后给自己的客户借钱来买自己的产品
[00:01:56] 这个就很快引起了市场上的一种担忧的声音因为它在过去的三年里边其实一直在强化这种商业模式它早就已经跨过了单纯卖铲子赚钱的过程了开始进入一个有点类似于整个行业的银行的阶段针对这个问题证券市场上其实质疑声音一直是比较大的最具代表性就是大空头的原型就是一位著名的做空投资人Michael Burry
[00:02:23] 他其实从2025年下半年就开始做空音伟大而且发了一系列文章
[00:02:28] 他认为现在建这么多AI数据中心是很大的泡沫而且这个泡沫很大程度上又是英伟达吹起来的因为是英伟达借钱给大家所以说一旦这个泡沫破裂英伟达的股价也会大跌所以他做空就会赚钱还有一些更严厉的指控就认为英伟达这种操作实际上是类似于20多年前世纪之交的朗讯公司他当时就是在搞所谓的循环融资回流交易实际上是在给自己虚增收入甚至涉及到了财务欺诈
[00:02:58] 这里是商业就是这样
[00:03:33] 一句话总结现在英伟达的商业模式可以说是借钱给客户来买自己的卡但是这个商业模式也太笼统了就有点粗糙是英伟达给下游客户钱的方式其实有很多不同的类型而且各自对应的风险也不一样感觉我们首先要把这个问题先理清一下很同意啊那我们就先讲第一个类型其实也是大家最直观能感受到的就是股权投资
[00:04:00] 英伟达像一个VC一样投入一家AI的公司这家公司同时又是英伟达的客户会去买他的卡的随着这些公司的估值上升英伟达可以从投资当中赚到股权的收益比如说他300亿投资了OpenAI其实最早收的是1000亿后来这个数值是下降了然后比如说他也100亿美元投资过Anthropic还有像30亿美元投资过CoreWeave都是类似的这种情况
[00:04:26] 如果仅仅是投资的呢其实没有太大的问题像中国的一些顶尖的互联网公司早年的战略投资其实也会投很多上下游相关或者不相关的企业也会有这个关系是的关键就是这个投资的钱是用来干什么的那这里呢我们就举个最典型的例子就是Coreweave来说明一下因为相比于其他的大厂呢Coreweave可以说是英伟达一手扶持起来的公司
[00:04:53] 它和英文家的绑定是非常非常深的这个公司是2017年在新泽西成立的最初的名字其实叫Atlantic Crypto你听这个名字就知道他们一开始是搞币圈的也是挖矿的说白了他买了很多的矿机其实就是GPU显卡来挖以太坊的如果你了解以太坊的话他2022年有一次比较重大的调整不管那调整怎么样他使得挖矿这件事情对于以太坊来说没什么意义了这个时候
[00:05:21] CoreWeave一下子就很尴尬因为他花了很多的钱囤了很多的英伟达的这些机房这些数据中心不知道能干什么了结果呢2022年底大家知道发生了什么事情就是ChatGPT大爆发GPU呢一下子从这个矿机变成了AI的算力成为了最稀缺的资源那么几大云厂商呢一下子就要购买非常多的GPU啊服务器他们不太够用就去问CoreWeave来租来买一下子呢他就变成一个香饽饽
[00:05:49] 英伟达其实就是在这个时候投资的Covid是30亿美元换了大概7%的股份而且给了它一个认证叫精英云服务商也就是它可以拿到英伟达新一代的GPU的供货是大家现在都知道能拿货三个字已经在当下是非常非常稀缺的了再加上优先两个字就简直了对吧
[00:06:10] 其实在2023年芯片严重短缺的时候连微软这样的大企业都要排队等货那Covid其实那个时候是可以持续拿到H100这种很好的卡的那这种扶持就是直接让Covid成为了AI时代新崛起的一个重要的云服务商不仅如此后来英伟达还跟Covid签了一个63亿美元的云服务协议承诺Covid如果有算力卖不掉的话我直接来买
[00:06:36] 对就这一步就开始非常关键了也就是说我投钱给你然后你可以买我的芯片建算力中心如果你算力卖不掉我还可以兜底买回来就是这个情况
[00:06:47] 那英伟达对于Covid的扶持呢到了他2025年上市的时候是到了个顶峰啊因为当时其实市场零上市的时候对这家公司是不太信任的他这个上市是很遇冷的这家公司的收入从2023年的2.39亿美元飞升到2024年的19.2亿美元就这个增长的幅度非常大但他有两个问题一个是他的资本开支比这个收入的增长更大他借了好多好多钱都去建新的数据中心这后面我们会讲到
[00:07:16] 另外一个呢就他太依赖他一些单一的大客户了所以呢他上市的时候估值被大砍
[00:07:22] 这个时候呢英伟达做了两件事情一方面呢就是宣布以一个兜底的价格买他的股票你还得稳住了他的这个上市另外一方面呢他又促成了OpenAI和CodeWeave的一个大单甚至呢OpenAI还买了CodeWeave的一些股份英伟达牵线宝妹然后让自己两个客户手牵手了对手牵手了这三个天线宝宝手牵手如此呢CodeWeave顺利上市了那也就在这个事情之后没多久呢就是Barry就发出了对英伟达的一个做空的报告
[00:07:50] 其实这里就忍不住有个问题就是为什么英伟达一定要扶持Covid呢一个比较重要的背景就是英伟达的大客户像微软亚马逊Google什么Oracle这样的这些云服务商他们一直实际上在试图摆脱对于英伟达芯片的依赖他们在研发自己的推理芯片训练芯片等等的比较成功的像Google的TPU规模已经比较接近英伟达了自己在用了
[00:08:16] 微软亚马逊包括SpaceX都在做这样的类似的事情对于英伟达来说它就需要有一个纯血的英伟达的云服务平台来制衡一下自己的一些大客户所以说这还是一个偏市场竞争角度的一个决策是的这个过程当中其实除了股权投资我们刚才已经提到了第二种英伟达借钱给客户的一个办法了就是承诺购买和担保
[00:08:42] 我们刚才提到63亿美元的云服务的这个协议Covid的这个云服务卖不出去的话最后我会有这样一个规模的兜底我来给你买回来
[00:08:51] 另外还有一个类似的例子也是英伟达相当于扶持的一个云服务商叫Lambda Labs英伟达一方面是投过他4.8亿美元的一个迪伦的融资这个量还没有扣那么大但是他自己也做了一个事情就是花15亿的美元来租回了Lambda手里边的GPU然后自己再去做因为英伟达自己也有一个比较小的一个算力的租赁的平台的他把它等于再重新租回来了等于说就是投钱给了你然后租
[00:09:18] 你手里其实本来就是我自己的芯片对就这样一个过程刚才我们其实已经讲了两类英伟达给下游的资金支持的方式还有接下来第三类其实也是规模最大的一类就是各种信用担保现在美国大多数的数据中心其实是这样的他们会先建一个特殊目的的实体SPV专门为建一个数据中心搞一堆壳一个堆公司通过这个壳借了各个金融中心的钱来造数据中心
[00:09:46] 在这过程当中呢英伟达就会为一部分的项目提供信用担保这个我觉得还是不是很清楚要不然我们再举个例子来说明吧我们就举现在最重要一个例子OpenAI有一个超级大的AI工厂的项目
