Vol.131 恒大的债为什么越滚越大
时长：00:36:29
来源：网易云音乐电台节目 · 商业就是这样 · Vol.131 恒大的债为什么越滚越大

[00:00:00] 大家好 我是肖文杰我是小亚今天的节目时间有一点长因为要聊一家风口浪尖上的话题公司就是恒大长假的前一天9月28日香港上市公司中国恒大发布了公告说接到有关部门通知该公司董事会主席许家印因为涉嫌违法犯罪已经被依法采取强制措施那这则公告还影响到了恒大集团旗下的另一家上市公司叫恒大汽车
[00:00:26] 10月8日恒大汽车的潜在新股东是一家迪拜车企叫纽顿集团表示因为中国恒大又不确定性它会暂缓支付两笔过渡性资金这个投资计划也将是恒大新的重组计划而定其实原本纽顿集团是要以5亿美元来认购恒大汽车28%的股份的如果拿不到这些过渡资金的话恒大汽车也就只能一直停产下去了
[00:00:50] 其实在这两件事之前恒大已经深陷债务危机和流动性危机达三年之久这个期间是状况频发等于是一直出问题这个衰退乃至轰然倒下其实是在很多人意料之中的但是坦白说恒大的很多问题之前都觉得它应该很严重但是不知道有多严重那直到今年的7月17日中国恒大终于披露了公司过去两个财年的财报然后大家才有了一个底
[00:01:17] 我们只看截止到2022年12月31日的这份上面显示恒大当年的收入刚刚超过2300亿人民币然后亏损是1258亿元但是公司的负债总额达到了24374.1亿元这个数字是真的震惊了非常多的人我们有一个可以对比的数字是
[00:01:42] 2022年恒大总部所在的广州市的GDP总量也只有28800亿元当然房企在它的财报负债的部分有很多特殊主持人部分不能单看一个总数就说它付了这么多钱但是恒大实际的负债水平也有可能比这个规模还要大当然目前还没有任何人和机构或者说完全摸清楚它的底数是什么样子的
[00:02:07] 此外呢恒大在2021年的财报里面更换了合作多年的审计机构普华永道另外一家叫做上汇百成的小公司啊它是同时接手了中国恒大恒大物业和恒大汽车三家上市公司的升级工作不过在2021年这个财报里面上汇百成也表示说无法对这份财报发表意见这个说法很隐晦啊其实翻译一下就是这个数字大概是不准的不要信
[00:02:32] 虽然说这个财报准确度诚意但是有了这两份财报对于我们讨论恒大的问题还是很有帮助的实际上恒大也可以视作是中国房企发展问题的一个几大层案例看懂了恒大你就能看懂中国开发商的绝大多数问题所以我们今天要用30分钟的时间来看懂恒大这么复杂的一个公司吗你看我们今天这个节目时长我觉得不太可能难度也太高了
[00:02:56] 我们今天只主要解决一个核心问题吧就是恒大的债务规模是怎么越滚越大最后变成一个巨雷的我们首先会简单解释一些背景也就是正侧面是如何影响中国房企常见的一个高周转策略的之后呢就聚焦到恒大本身分别关注三个问题
[00:03:13] 首先这个公司的收入和负债水平为什么在几年之间发生了巨大的变动其次就是恒大的债务规模里面有哪些是显性的部分有哪些是隐性的部分最后目前恒大的局面还有没有一些挽回的余地以及我们该如何理解恒大的倒下这是一期很硬和有很多数字的节目当然老规矩还是声明一下本期节目对于所有涉及到的上市公司的讨论都不构成任何的投资建议OK 那我们就开始吧
[00:03:47] 这里是商业就是这样那提到中国的地产开发商尤其是他们这几年的状况绝对绕不开两个关键词一个就是我们前面提到的高周转另一个就是三道红线这也是理解恒大债务的一个基础所以第一部分我们主要就解释一下这两个名词分别是什么意思以及它们是什么关系好呀高周转说白了就是资金的利用效率高或者说就是钱生钱的效率比较高
[00:04:14] 我们举一个带数字的例子吧大家尝试听一下假设有两个地产项目公司A和B然后他们都从总公司那里得到了10亿元资金然后再配合同等规模的有息银行贷款去开发楼盘那A的开发周期是两年第一年年末呢就可以将10亿元的本金加上贷款的利息还给总公司第二年楼盘卖完以后呢这个A项目的实际利润率是10%也就是他能赚1亿
[00:04:42] 那B项目的开发中心是一年半但是它在半年一过的时候就可以将10亿元的本金加上贷款利息还给总公司但是这个项目楼盘卖完以后实际的利润率只有6%也就是只能赚6000万小老师如果你是地产公司总公司的人你会觉得A项目和B项目哪个更好呢
[00:05:02] 那如果单看利润的话A是赚了1亿元然后B只赚了6000万肯定是A的这个回报更好了但你这么问嘛肯定是比更好对吧你猜对了对于总公司来说呢B这个项目的优势呢就是它回本时间更短这10亿元呢半年就收回来了然后收回来以后马上就可以投入到总公司的C项目D项目里面那平均下来每年能做的业务规模就更大了
[00:05:26] 所以你会发现房企呢一般来说都是拼了命的在抢开工时间抢开盘时间然后呢在卖房产生了这么大额的收入上呢还要再做大规模的负债这个其实呢就是为了短时间内尽可能多的扩大规模同时还要产生利润这就是所谓的高周转模式高周转模式其实中国房企的通用做法几乎每家开发商的资金链和时间表都是很紧的
[00:05:49] 另外再举一个例子就是碧桂园的一个政策叫3456政策所谓3456就是这个公司可以做到拿地三个月以后就开工四个月以后就开盘这开工一个月以后就开盘了然后到五个月的时候资金就能回正六个月的时候资金就能投入到下一个项目里面再周转
[00:06:07] 只要管理得当的话在三四线城市如果闭门员投入1亿元资金有可能在一年以后就可以被放大成17.5亿元的公司净利润这个说是放大的话其实还是要靠杠杆对吧你要实现1亿元变成17.5亿元有一个隐藏条件就是项目中开发商的这个自有资金与银行贷款的比例
[00:06:27] 要非常的可以说非常低就是说自有资金是1银行贷款要做到7银行得要愿意放这么多贷款才能维持下去你像我们两个人在上海即使是上海户籍的消费者来买手套房的话目前的首付比例是35%相当于自有资金和贷款的比例只有不到1比2是吧对的我们跟银行的关系肯定没有房企跟银行的关系那么好所以说开发商一方面是要赶工期赶预售期
[00:06:53] 那另一方面呢也要跟银行搞好关系能够为它不断膨胀的规模源源不断地融到钱那这也会导致房企在账面上另一个显著的特点就是负债率很高而且每年要还的贷款很多当然在房地产价格的上行期银行还是比较愿意放贷的毕竟房企一般给到的抵押物都是土地啊土地还是很值钱的
[00:07:14] 如果房价一直能涨房企也能还得上每年的贷款和利息那这个高周转模式就还能维持下去而且能够不断推高公司的业绩声誉我们可以简单粗暴地看一个数字就是碧桂园、万科和恒大这三家公司在2020年的合约销售面积相比于2013年规模的变化
