Vol.113 “新一线”十年，中国城市大改变
时长：01:06:26
来源：网易云音乐电台节目 · 商业就是这样 · Vol.113 “新一线”十年，中国城市大改变

[00:00:00] 大家好,我是肖文杰我是余晓燕欢迎余老师回归啊你要来一下这个冯拱的春晚台词吗听众朋友,我算了算了,不必了不必了
[00:00:10] 不过谢谢大家关心我真的已经基本康复了月老师不在的这两个礼拜我们也尝试了一些访谈式的节目就是一些没有我的节目收到了大家各种反馈非常谢谢大家在这里我们也说明一下其实这类的尝试我们是早就有准备的只不过月老师正好身体需要休息一下我们就在排气上面集中放了几期也非常能理解有一部分的听友觉得不太习惯但是如果能喜欢的话就更好了那么这一期月老师回来了
[00:00:39] 还是会是一个比较特殊的形式和一个话题上一期的节目我们不是聊了三四线城市的电动车和消费吗那其中的一个案例就是长洲和实验这两个城市那就有很多听友留言说长洲怎么能算三四线还有什么南京怎么能算二线城市啊等等的反正是一聊到城市之间的这个级别啊还有级别之间比较就是总容易挑起一些敏感的神经没错那我们今天就索性把这个神经挑够啊
[00:01:08] 我们就请来了我们的同事第一财经新一线城市研究所的负责人沈从乐大家好听过我们比较早节目的听友可能会记得去年也是五六月的时候从乐就做客过我们商业就是这样他给大家介绍了新一线城市研究所的招牌项目城市商业魅力排行榜的整个评估框架是怎么建立起来的以及新一线这个概念是怎么来的但是还是为不了解的朋友们简单介绍一下新一线这个可能
[00:01:33] 这两年大家比较常听到的一个概念呢最早就是由第一财经周刊发明的而且是由丛乐的团队把它变成了一个完整的评估体系
[00:01:41] 而第一财经周刊第一次阐述新一线这个概念恰好也就是在十年前2013年没错也就是说今年可以说是新一线这个概念的十周年然后今年他们从了这个榜单也是在5月30日公布了不过这一期节目我们不准备来解析这个排名和榜单也不准备聚焦在新一线的这样一些比较近期的一些话题我们准备看看历史
[00:02:05] 因为这十年我们其实也是系统性的关注和报道了中国城市的一些商业发展包括我和约老师当然从乐是最多了我们都参与了很多的这个选题和报道在做这期节目之前呢我们回看了很多当年的报道就会有非常强烈的感慨
[00:02:20] 因为一年一年来看这个变化的感触可能不是特别深因为不可能一年就马上变得很快但是累积到十年你就会发现这个中国的城市商业真的在过去十年是飞速发展就相比于这个排名的变动来说这个是令我们更震惊的对所以我们就决定以这样的形式来开始今天的节目我们挑六个有意思的点来切入来看一看过去十年中国的城市变了什么好那我们就开始吧这里是商业就是这样
[00:03:02] 第一条的话其实是我们自己看报道时候感触最明显的因为我们一直是关注商业品牌会比较多就有一个很直观的感觉就是现在你觉得满大街都是你已经非常熟悉甚至非常厌弃的一些品牌其实在十年之前是非常新兴的东西就有些品牌的话十年前是远比你想象的那个规模要小的对就即使你想象它十年前还比较少
[00:03:27] 但是实际上的那个数字比你想象的还要更少就是真的是更少我记得我们
[00:03:32] 经常会讨论到一个品牌就是星巴克我们之前也做过好几期星巴克的节目但其实星巴克在10年之前就是挺少的从来要不介绍一下好的我们其实翻开来回看2013年的时候我们发现星巴克的数量其实是还是就10年前其实这个数量是非常少的比方说其实当时我们报道里面有提到星巴克在2010年的时候在全国的门店数量才400多家这个数字其实现在跟杭州一个城市的星巴克的数量
[00:04:01] 是差不多的然后呢而且这个400家里面70%也就是将近300家是北上广深一线城市的店这其实跟他当年的那个拓展思路也有关系因为他当年是三个大的区域的特许经营那三个大城市就是北京上海然后南方的话是交给美新美新就是同时做广深其实就是这几个城市没有什么拓展的
[00:04:22] 2013年我们去做这个新一线城市报道的时候当时我们梳理完发现正好星巴克提出了在2015年他要去实现在全国开1500家门店的计划当时还是觉得很雄心壮志的一个计划而且这个1500家门店要开在75个城市那个时候其实有点不可想象的因为75个城市在中国已经到基本上三线左右了当然这个计划后来还更新过因为2015年的时候他确实差不多开到了1500家
[00:04:47] 那么然后他就提出来说在2021年的时候要达到5000家这个就是已经有点不可想象了对吧 袁老师现在看来并不是不可想象因为我们去年9月份不是做过一期节目吗它还要再开呢所以它2021年或者说现在吧我们来说现在星巴克中国有多少家店截止我们2023年3月份最新统计的数据目前它的官网上显示它有6095家店这个还不算港澳台地区都是我们大陆的门店也就是你想想看2010年的时候是400家
[00:05:15] 截止2022年年底它是6000多家原本我们以为是非常雄心壮志甚至说实话觉得有点夸张的这个目标它全都实现了对那现在问题是夸张了变成每个城市里面星巴克多到夸张没错就是这个400家之所以这个少让我们感到震惊是因为当时其实还有一些体感上的差距现在有可能已经忘记了就当时有可能星巴克开到一个新的城市的一个购物中心的时候
[00:05:40] 一开始开店进去的消费者都是要排队进去的据说有些城市是真的会排队的对 之前我们看到过这种情况有可能是他在上海开烘焙工坊像旅游景点一样的一个特别的门店的时候偶尔的会有些排队的这种情况但是如果是对于一个比如说三四线城市的话他那时候可能开第一家星巴克的时候星巴克就是那个城市的旅游景点不光是三四线城市其实应该我没记错的话是2011年他开的长沙店长沙第一家店的时候当时我们报道里面写到了也是在大排长龙并且他就是出现
[00:06:09] 并没有因为这个店开出来过了一段时间之后大家不太去了而是它长期处在一个这个银额的高位上那这是很厉害的一个事情就说明大家确实不是说真的把它当一个旅游景点看就是真的天天去消费很可怕的一个事情还有一个我个人体感比较深的一个品牌组合就是汉亭和全季因为我查了一下就是2012年底的时候那个时候的汉亭就是不到1000家
[00:06:33] 已经有点多了但是还没有那么多然后他当时提出来一个目标就是他准备去拓展中西部和三四线城市因为他那个时候主要还是沿着华东和一部分华北来开的当时这个策略我觉得那肯定现在看来是明确是对的因为他到2022年底的时候他大概是3000家以上也不是增长的很快但是这个数量级肯定是翻了一番的
[00:06:55] 还有一个我觉得很震惊的事情是原来全季是2012年刚刚诞生的一个品牌12年的时候全季也就是相当于是一个汉庭的升级版所谓的中端的商务酒店那个时候其实中国没有所谓特别的明确自己的中端商务酒店品牌的一个东西可能这时候橘子稍微有一点这个感觉所以其实针对中端酒店升级新线在大概四五年前还专门研究过一轮因为其实到大概也就是我们这个十年的中间段的时候出现过一轮
[00:07:25] 一些一线到新一线的城市里面很多的原来的快捷酒店它其实是在做升级因为它基于原来的这些物业它如果再不升级的话可能它的经营状况会受到一些困扰然后当时很多酒店的改造品牌的翻新包括一系列的中端酒店的扩张也是发生在那个时间点的其实酒店其实它也是一个跟像旅游和商务需求结合的很紧密的一个行业基本上你看酒店自己的比如说品牌的升级也好数量增加也好你就能看出来这个城市本身它的
[00:07:54] 整个商业发展
[00:08:23] 这个是一个我们现在好像觉得全季司空见惯对吧其实在10年之前的话它还是完全全新的一个事物全新的东西是的而且这个10年里面酒店尤其是我们说经济到终端的这一档酒店的整个行业的产业结构也发生了一些很大的变化其实从我们现在整理数据来看整个华柱集团也就是汉庭后来升级到一个集团层面的时候它的整一个酒店目前的截止今年一季度的数量是达到了7894家这个里面你看我们刚刚提到了说有3000家汉庭1500家全季也还包括
[00:08:52] 它后来又新推出了好几个这个终端的品牌也包括中间还有这个
[00:09:12] 你单看客单价就可以明确快捷酒店有可能是一个两三百元的水平然后中单就是会比它翻一倍它过去翻一倍的水平是在整个的公司里面是没有的但是过去十年里面它变成了一个主要的部分至少是一个半壁江山从我们刚刚看到这个数字来看这个其实就是过去十年中国的城市里边商旅的需求的一个很大的变化
[00:09:37] 我们再讲另一个大家更熟悉的品牌就是优衣库这也是我们2013年报道里面写到的当时我们报道里写到的例子是当时优衣库要在苏州开一个店苏州现在在我们的印象里它其实是一个相对来说已经很发达的城市
[00:09:52] 但是为什么当年优衣库去苏州开店就是还能到这个新闻对而且变成了一个公司里面好像很重要的事情是的其实在十年之前很多这个外资品牌进到中国也就是刚刚在我们的一线城市站稳脚跟当他们去理解后来我们认为的这个新一线城市的时候其实还有很多的陌生感
[00:10:11] 包括说比方说苏州这家店当时我们是采访到了优衣库他在负责开店的这一个负责人然后他提到的其实是说本来他们对于苏州的首店其实没有太大的信心因为他开在苏州印象城如果苏州朋友比较熟悉的话他是在苏州的姑苏老城和苏州工业园区的真正的交界处他开在苏州老城之
[00:10:32] 但是同时离工业园区新发展片区的核心地带又有点距离那么这个位置说起来从现在来看也不是一个好位置但是因为当时新兴的购物中心的整个形态也在出现然后它的招商里面包括了把星巴克H&M ZARA这些品牌整体打包做了一个组合这样的一整套品牌的打法其实对于当时的新兴线城市来说还是比较有吸引力的这个概念是什么就是现在优衣库在中国
[00:10:59] 如果记得没错的话它应该是八九百吧应该快到九百了超过一千了已经超过七千了吗刚刚超过一千我要更新一下数据他们一个品牌在中国的门店数已经到了一千的话其实在苏州这样级别的城市里面你要开一家店就是很正常
[00:11:14] 大家应该非常自然能够接受的你想想看在10年前它在苏州开店是一个公司内部要忐忑的一件事情而且他们还担心说能不能开好或者自己这个品牌能不能被接受后来事实证明它现在开店已经是往三四甚至五线城市都往那边开了当时的那个心境和现在的状态完全不一样是的
[00:11:33] 好这个就是我们讨论的第一个点第一点可能比较简单啊就是还是从大家比较熟悉一些品牌入手但是就是品牌的这个数量级的变化包括说它整个代表的整个行业的变化或者说城市商业级别的变化我们觉得还是一个比较有意思的现象就先给大家开开胃
[00:11:51] 我们其实前面已经稍微提到了一点点就是商业综合体本身的变化可能说一些像三四线城市原本是以百货公司或者百货商场为主的一个形态其实这两年的话已经基本上都翻盘成了像购物中心的一个形态了所以说我们第二点的话还是讲一下购物中心因为这个是我和丛乐
[00:12:10] 一直以来都跑的条狗两个购物中心的老记者随便讨论一些我们比较熟悉的领域但是这个趋势其实也是蛮明显的这个就是我们想讨论的第二条就是购物中心越来越像所以说导致了购物中心集聚度比较高的城市也变得越来越像的一个现象
[00:12:26] 就是过去的十年是购物中心在中国的城市可以说是疯狂复制的一个十年然后它也会使得很多的这个城区或者是中国的城市的面貌越来越像在那个十年之前我们说的百货那种形式其实是没有我们现在非常熟悉的一个巨大的购物中心里面一个个品牌有个单独的门店它的盈利模式也好或者说它的这个城市的面貌也好都是完全不同的
[00:12:50] 我今天正好回看了一下商务部在2012年出了一个零售业发展报告一个官方报告它里面就提到了几个趋势讲到百货的时候它就说百货的转型是在加快的它讲的转型一个是收缩就是用了一个比较好的字其实是百货业它是在收缩的还有一个就是即使是不收缩的话大部分百货就像你刚刚说的也开始从联营模式转成自营的模式就是它一定要去
[00:13:14] 扣这个毛利率了然后他在百货的下一点其实是在讨论购物中心的那个时候购物中心的话其实是在一个建设的高峰期就是大家都已经意识到
[00:13:23] 购物中心是整个行业的未来
[00:13:52] 一个很疯狂的事情这个购物中心的复制的话我觉得最最典型的或者说是大家认知最普遍的一个品牌应该就是万达广场万达这个事情上面确实是一个标杆性的一个企业了看了一下它十年之前它十年之前只有85家今年只有85家现在已经400多家了400多家现在快500家因为它后来走了一个亲资产模式其实是翻的更快了一点没错但是我们如果要说万达这个公司声量
[00:14:20] 明显的起来或者说他在城市的落点这个事情被大家特别重视起来其实就是在13年那个前后13年前后的话他是同时宣布了一批在我们所谓的新一线城市去做大项目的一个规划当时是他想做两个点一个是所谓的文旅程他其实以文化旅游的概念去包商业的一个东西做一个更大体量的综合体还有就是所谓的度假区
[00:14:44] 当年我还去了什么西双版纳队你真是一个非常大的地方对他当时是宣布了九个非常重大的项目这个总投资额加在一起大概是超过了3000亿元当时我们就觉得是真是一个不可思议的体谅是的其实我在13年的时候我们当时新一线的概念刚提出之后就被安排了一个选题要去武汉
[00:15:04] 为什么是武汉呢因为当时武汉有五个万达当时武汉有五个万达对其实这个对于当时的新一线城市来说是比较夸张的一个落位当然那个标题就是一个武汉五个万达对一个武汉和五个万达那么这里面其实有一个背景就是当时万达其实在武汉获得了几个项目的成功之后它其实拿地的成本比较低那同时也有一些新的概念所以刚刚岳老师提到文旅程的概念的首版打样就是在武汉就大家现在去武汉看到这个汉街包括汉街旁边的这个就是汉秀吗还有一个
[00:15:33] 当时有汉秀还有他的影视的大的红灯笼几个大的地标建筑其实都是在当时叫武汉中央文化区这么一个片区里面去打样的当时他们想做完这一个武汉中央文化区之后把万达文旅程的这个概念快速地复制到很多二线到三线左右的城市当然后来最最后面这块业务现在已经被融创拿去了但是当时大家对这个事情的投资的热度也好或者说疯狂也好还是实际做出来这个提量也好现在看起来都是一个
[00:16:01] 比较难想象的事情说实话尤其是一个公司来操盘做这个事而且当时的万达内部有一个口号就是所有的万达广场必须是在拿地之后18个月之内必须完成建设和开业这个是印象非常深刻的一个数字对因为当时我去了武汉万达的区域总部他们当时就是有一块倒计时的插红旗的牌子然后是任何一个节点如果delay了都会被问责
[00:16:25] 这个管理模式也变成了某一类型的
[00:16:51] 迅速的完成开工建设同时把它上面的这个住宅性的楼盘可收的部分还有一些写字楼对商铺万达京街嘛著名的万达京街快速的卖完把现金流回楼那么剩下的这个商场的自持的部分就可以以一个比较稳定的状态去运营它了所以说现在看到这个万达广场屹立不倒这个还是背后是有些原因的是当然这个万达京街上吃过亏的人也是有非常多这个复制的能力其实给我一个比较大的一个冲击或者说是刷新了我的一个
[00:17:20] 概念就是现在大家有可能会觉得这个购物中心真的是非常司空见惯包括我记得我们之前前几年的时候还写过一个专题叫做在购物中心长大的孩子就现在的如果城市的一个儿童的话他有可能会对这样的一个生活方式就是在一个巨大的一个建筑综合厅里边去买东西或者是他度他的周末是一个非常熟悉的过程但是在之前的话其实是没有的而这套模式就是有可能有几家公司在几年里边快速的复制出来的
[00:17:48] 对万达当时还有一个儿童板块专门做了他的这个游乐场包括一些冰雪类的设施一些就是儿童的各种液态他把它揉在一起做成了一个专门的板块这个板块其实后来还包括像万达电影其实也是在这个体系里面对刚刚讲到万达的话他其实我觉得相对是一个普及型的
[00:18:06] 数量规模也比较大还有一些相对比较我觉得是中高端的一些购物中心的品牌也能体现出过去十年的快速的增长和复制比如像万象城查了一下深圳万象城竟然是2004年开的这么早
[00:18:20] 是非常早因为我当时采访过深圳万象城的设计师建筑师跟我们说他们其实是开创了综合体这个概念在深圳万象城之前大家并不知道一个商场搭一个写字楼和一个酒店在可能周边还有一个高端住宅楼盘这种模式叫综合体你说这个名词也是他们定下来的OK
[00:18:39] 在当年的话它属于是一个单个的案例就是独树一帜而且很长时间内保持了一个全国的应该算是商场的销冠是吗可以这么说吗或者银额的一个很高的位置这个数字我不是很确认但是在可能说
[00:18:52] 非港资的应该算是很大的一个数字对就是那个时候觉得万象城就等于深圳万象城看到第二个万象城就是在杭州的郊区没有前江新城前江新城杭州是前江不叫郊区是吗但是我去的时候就是前江新城这个概念还没有起来我就是我好像还是坐公交车去的这个郊区感好像更重又来回顾一下我的采访经历杭州万象城是我采访的就是他们提到杭州的地铁因为遭遇了中间一些变故所以原定2008年的这个就是通车delay到了
[00:19:21] 2012年
[00:19:22] 然后杭州万象城是在这个2010年开业的所以其实当时作为双地铁交汇线的上盖杭州万象城没有通地铁这两年又是怎么我只能坐公交车去是有道理的又是前江新城的当时一个建设的相对起步的早期就是其实周边大量的这个住宅都还在盖所以其实当时对于杭州万象城大家是没有特别明显的觉得这个商场是不是一定还能成功因为它是其实是深圳万象城的复制但是它的这个位置和
[00:19:51] 它的迅速崛起的这个速度和当年的升万不是一个两极而且当时杭州其实有一个杭州大厦要大的问题就是杭州大厦
[00:19:59] 对 因为现在比较常说还有前摊对吧是的
[00:20:27] 然后就是在像杭州这样的城市过去10年前我们绝对认为它只有一个市中心可以容纳但现在明显可以验证到前江新城已经绝对出现第二个了那么我们观察到像华润因为华润在杭州的布局很重他可能还想造第三个第四个顶级的商圈出来我觉得像万象城这种就是中高端的这样一个商业综合体的一种项目在中国的各个城市复制成功这件事情其实也是我觉得跟万达这种就是更大规模的复制是一样重要的
[00:20:56] 是我们说现在其实新一线城市肯定是人手一个万象城基本上然后到很多二三线城市也有一些万象城在出现包括它还有万象会这样一个终端的产品线还有万象生活就是层级已经都出来了对整个叫万象生活然后它万象会其实是原来的五彩城这条线那么这条线它也可以适配一些比较终端的产品所以我们目前可以看到最近的一个数据是华润万象生活这个系列的商业综合体目前在全国的
[00:21:23] 数量也已经达到了87个这是10年前我们也绝对不敢去想你感觉好像几十个但是你要知道中国的这个比较大的城市里面比较大的商圈就那么几个实际上是非常困难就是这个商圈里面一定会出现一个外乡城那我们刚刚讲了这么多这个购物中心的这个快速的复制不管它是什么样的定位的同时带来的一个非常重要的一个复制就是品牌的复制对这个其实我们前面已经稍微提到过了就是我们前面讲那个优衣库的时候就是优衣库为什么可以在印象城开出来就是因为它旁边有Zara有H&M有星马克对然后
[00:21:52] Zara H&M星巴克就是跟着这些购物中心开到了中国广大的各个城市里面去的对因为那几年疯狂的去采访万达的时候我听到过他们的故事比方说像Zara这个母公司Inditex这个西班牙的快市场集团它手下其实是有八个品牌这八个品牌和万达的战略合作协议是这样子的如果他要进比方说万达在武汉的汉街这种在万达的自己的资源包里是比较top的商场他必须去万达的长白山这种很冷门的商场里也必须落店
[00:22:20] 所以是一个配货制所以当时这种战略合作当然不止Zara他们一家像星巴克类似都有类似的这些内部的协议是会帮助到我们说这个词可不可以用帮助就是说帮助到这些品牌进入到了很多三四线的城市当然他们内心并不愿意因为从他们策略来讲其实去这些相对成绩比较低的城市有可能会遭遇到一些营业额的挫败甚至在这个市场上如果没有到这个阶段就把这个品牌带进去有可能是很冷的
