Vol.59 一座超级城市是如何运转的
时长：00:29:28
来源：网易云音乐电台节目 · 商业就是这样 · Vol.59 一座超级城市是如何运转的

[00:00:07] 我们刚才举的大多数的这种行业或者职业都是那种一旦你停下来的话你就没有收入的行业
[00:00:14] 另外一种情况呢其实是他们所处的这个行业本身是不能停下来的比如说我们前面提到快递员一旦他们停下来了他们首先自己没有收入了其次我们这个城市也受不了了这个其实才是一个超级城市里面就业的常态像我和肖老师这样有固定的工资挺工也不用担心收入在家里录播客的人其实不占这个城市的多数
[00:00:45] 这里是商业就是这样大家好我是肖文杰我是徐彬青这期依然是一个疫情中的远程录制三月底的时候我们发过一个致歉说因为配合疫情防控我们的节目停更一周有一位听友还回复我们说恐怕不止一周现在证明他这个担心很有道理当时我们其实完全没有预想到事情会发展到这个地步
[00:01:08] 相信身处上海的每一位朋友最近的身心都已经受了很大的考验或者冲击是的呀就前两天我们聊天的时候还在说做播客对我们来说已经是一种逃离信息轰炸的一个放松身心的方式了这期我们聊的话题还是和疫情相关但是又是拉开一点距离我们来聊一聊城市准确来说是大城市的运转就有一本很著名的科普书城市的科普书名字就叫纽约
[00:01:37] 它的副标题就叫一座超级城市是如何运转的就顾名思义啊它是用图文和一些数据的方式为纽约这座城市做了一个扫描它按照客运货运能源通讯和清洁五个维度来介绍像纽约这样一座大都市它的一些基础设施读了之后是很开眼界的会对我们日常的生活有更多的实感吧
[00:02:01] 这本书我也有这本书像砖头一样厚还是全彩的对很重很重这本书我看了有一段时间了好久没看了夏老师你最近读这本书有什么印象比较深刻的例子吗对因为他这本书出版的时候是2007年吧我记得也已经十多年前了现在重新看的时候还是觉得会有很多新鲜东西啊就举个例子大家都知道纽约港
[00:02:23] 这个港口是全球最繁忙的港口之一对吧也是纽约发展至今的一个很重要的基础但这本书里面就介绍啊就是说纽约港并不是一个天然的非常优良的深水港它虽然是个天然港但是它有一些自然条件的一些缺陷就它的水下有很多的淤泥然后水流呢也比较复杂
[00:02:42] 所以再有经验的船长他到了纽约港之后他不能自己把这个船开到这个码头上的他要依靠76名纽约港的这个引航员把他们的船带进码头上停靠好而这些引航员呢平均要经过10年的训练才能够独当一面我看到这段就想到前段时间上海港的运行情况不是也很受大家关注吗
[00:03:02] 其实上海港是覆盖了三大集装箱码头的一个统称它其实是包括了吴松港、外高桥港和阳山港阳山港就是其中非常重要的深水港前段时间我也看了一篇写阳山港建设的历史回顾这个就讲到说建设时候需要吹沙填海来造地
[00:03:21] 这个造地的面积呢大概要有一千多个标准的足球场这么大而要在这样造出来的地上打桩也特别困难这个文章中用了一个比喻叫在稀饭里面插筷子看了我有点饿所以说就回到纽约这本书它在前言里边就有这样的一句话它说任何一个大城市的居民都很少停下来思考那些日日夜夜使城市维持正常运转的系统有多复杂
[00:03:47] 当然人家用这么大一本书才简单勾勒了纽约的五个方面上海也是个很大的城市我们用短短半个小时的话显然没有办法给出一个哪怕是最粗糙的全貌
[00:04:16] 所以我们也是想了想选取了五个关键词作为切入点简单地报一些数字然后讲一讲这些数字背后的概念和故事那我们就开始吧
[00:04:29] 第一个关键词呢就是蔬菜这个是最近上海人民最有体会的一个话题了对对对食物是城市居民的一个生存基础嘛而像上海这样的大城市呢大多数的食物供应都是要靠外部来输入的蔬菜呢又是其中比较特别的一项因为上海和中国很多的地方一样就我们的居民是有一年四季要吃新鲜的蔬菜的习惯的尤其是绿叶菜
[00:04:54] 这个其实和全球一些别的地方不太一样的有很多地区其实是没有这样习惯的那相较于粮食啊肉类蔬菜有个特点或者说一个难点就是它很难长期的保存也不能冷冻对吧很多蔬菜是不能冷冻的所以就需要每天源源不断的从外部运过来根据2020年上海蔬菜集团的一个数据啊就是上海每人每天要消耗大约一斤左右的蔬菜
