Vol.34 “金字招牌”特辑：哪些消费品类发生大变化？
时长：00:42:22
来源：网易云音乐电台节目 · 商业就是这样 · Vol.34 “金字招牌”特辑：哪些消费品类发生大变化？

[00:00:07] 我们是采访了一位B站非常资深的运营的同事他说他觉得B站接下来最大的竞争对手是快手这还是一个B站员工自己的个人想法但现在据我们了解B站的管理层很多人已经有了比较明确的共识我们过去觉得速溶咖啡很传统可能就是因为像雀巢或者说JDE这样的公司太会卖货了
[00:00:28] 他们觉得比如说我把渠道占满的话消费者就自然会来但是其实对于年轻一代的消费者来说产品只是消费体验的一部分今年有几个月份在上海市场蔚来的整体的销量已经超过了部分主流豪华车品牌它的平均售价也比这些品牌高中国消费者目前讨论的消费潮流到底是什么东西里面被流量或者说品牌挟持的比例是不是太高了一点这里是商业就是这样
[00:01:06] 大家好,我是肖文杰我是徐云青今天是一期有些不同的节目我们两个人都在第一财经杂志工作熟悉这本杂志的听友们可能会知道我们创刊至今13年每年都会搞一个调查叫金字招牌大调查简单介绍一下就是我们每年都会在网上发文件然后让大家选择每一个不同的消费品类里面你最喜欢哪个,不喜欢哪个注意哦,这里问的是你对品牌的印象不一定是你真正使用过或者消费过的品牌
[00:01:35] 举个例子航空公司你平时可能做的比较多的是东航或者国航但是你可能对四川航空的印象特别好因为听说他们家的飞机餐很好吃这个其实也没有问题你就可以选它对今年我们一共有58个品类参与这个调查从护肤品打车软件视频网站宠物粮食各种都有等于我们会为每个品类做一个当年的消费者的偏好的排名
[00:02:01] 如果有品牌它是连续三年都能在这一个品类里面排名第一的话我们就给它一个金字招牌的称号因为这是一个完全公开透明的调研我们也不干预结果也不会用排名去卖钱所以有的品牌还蛮喜欢拿这个来自我表扬一下我记得前几年大家去优衣库的门店的时候在买单的地方还会看到他们自己做了块牌子就叫第一财经金字招牌的品牌放在收银台那边
[00:02:27] 有时候没有拿金字招牌品牌拿第一也会很开心啊有一年就是全家便利店的派克咖啡他们在现磨咖啡那个品类里面是拿到第一他们也很开心的做了一个贴纸的物料贴在很多全家的玻璃门上对我记得那个时候有的同事还吐槽说为什么派克能拿第一名呢我们也不知道但大家这么选了对总之呢除了这些获奖的品牌外我们杂志每年还会用专门一期的封面专题从宏观到微观来细数一下
[00:02:55] 各个消费品类的变化等于是一年一度
[00:03:23] 具体的榜单还有各个品类的排名的话大家可以去看我们的报道或者直接买本杂志也挺好的我们会把这个链接贴在show notes里面那今天呢我们就挑四个品类来讲一讲我们观察到的今年的一些有趣的市场现象这四个品类分别是长视频网站速溶寄饮咖啡豪华车品牌和潮流电商大家能想到这个里面有两个我们非常熟悉的品类啊
[00:03:48] 我们有的内容的话是基于每年金字招牌调研结果的分析有的话是基于我们和同事的一些采写的积累反正变成一个大拼盘节目这个时长也会超过平时限定的30分钟有的老听众又经常窜到我们拉长节目时长我们都是以怕太累坚持不下去就给回绝了这期作为国庆假期前面的最后一期节目我们就破例一下而且国庆期间我们也会休息一期所以也算是加量补充了那么我们现在就开始
[00:04:18] 那我们就先进入第一个品类视频网站吧首先还是要说明一下毕竟我这个大学本科学的是社会学所以有点在意就是我们每年的这个调查它不是一个覆盖整个中国市场的一个非常严谨的问卷调查虽然我每次会收到几千份问卷已经蛮多了但是我们没有什么很规范的分层抽样随机抽样其实就是志愿者抽样大家愿意来答就答最后的结果就是80%的受访者是35岁以下的人群
[00:04:47] 而且四分之三的受访者是居住在一线和新一线城市的所以说这只是代表了一小部分大城市年轻群体的消费偏好它肯定不代表主流但是可能会指向一些趋势吧非常严谨的补充了但是你还是把长视频网站的结果给大家先介绍一下吧铺垫完这个背景就可以跟大家来讲一下长视频网站的排名了
[00:05:08] 最核心的一个点就是从2017年至今B站已经连续五年排名第一了超级星子招牌对而且如果看实际的投票比例的话选择喜欢B站的这个比例也是遥遥领先的不过B站的话题呢我们先放一放待会再聊我想先聊一聊第二名我看了一下这几年的第二名的情况好像是一个风水轮流转的情况
[00:05:29] 没错啊就要么是腾讯要么是爱奇艺而且这个位置的归属啊和他们当年哪个综艺或者哪个电视剧最火是直接相关的比如说今年腾讯有几个热门的电视剧火了还有夏季的综艺火了他就排第二名像去年爱奇艺的那个迷雾剧场火了他就排在第二名真的很直接为什么会提这个现象呢是因为我们觉得他和爱奇艺腾讯在公司商业层面的一些困境是挺类似的
[00:05:56] 也就是我们经常说的就人们只记得节目但不记得是哪个平台播的同样用户是冲着节目去付费的也不是冲着平台去付费的这么来说的话像B站这样就是整个平台本身的号召率非常强的这种案例在市场上其实不多的对吧确实是这样看看爱奇艺的这个财报也知道了就这几年自制节目主要就是自制剧和自制综艺是这个平台最主要的一个投入但另一方面呢因为有腾讯这个同样能够投入的这个竞争对手
[00:06:25] 所以就一直有人跟你battle抢人那么你制作一个好内容的成本
[00:06:53] 腾讯视频是没有准确的财务数据但是它的付费用户的规模其实和爱奇艺是差不多的所以总结来说就是一个这两个公司越大就越在亏损然后越亏损还越要投资的一个状态了没错虽然听上去有点刻薄但现实情况就是这样而且爱奇艺和腾讯他们在美国的那个标杆公司也就是奈飞它其实也是一样的逻辑奈飞已经变成全球最大的一个影视作品的出品房了
