Vol.76 生鲜电商失败启示录
时长：00:32:12
来源：网易云音乐电台节目 · 商业就是这样 · Vol.76 生鲜电商失败启示录

[00:00:08] 商业就是这样鼓起勇气开设听友群了欢迎添加节目小助手的微信加入听友群一起讨论有意思的商业现象小助手的微信号是THATISBIZ为了营造更好的讨论环境
[00:00:45] 这里是商业就是这样大家好我是肖文杰我是徐平青最近大家都可能听说了每日优先的崩盘这家公司是2021年在纳斯达克上市的它的发行价是13美元结果一开盘就变成了11美元然后之后就一路下跌到2022年7月突然终止了它的核心业务而且是大规模裁员现在股价已经只有几毛钱了
[00:01:09] 用最简单的话来说的话每日优先给消费者提供的服务是你可以在他的APP上面下单然后购买以生鲜食品为主的一些商品然后30分钟内他就给你送到你的家门口这就是他的核心卖点为了做到这个超快的配送速度呢他会在一个城市里面开许多的小仓库每个仓库一般就会服务周围一到三公里的居民货品都在这个仓库里面储存分拣然后用户下单之后由起手来送货那这个小仓库在行业里面
[00:01:37] 学名就叫做前置仓这是它整个商业模式的一个核心关于美日优先的发展历程还有它崩盘的一些直接原因有很多机构都报道过了一言以蔽之就是这个公司资金紧张就是没钱了这个当中肯定有它自己犯错的部分但是另外一个更加能引发讨论的话题就是它的商业模式是不是一开始就不太对就是走不通的那种
[00:02:00] 因为除了美日优先之外呢这几年有很多跟他类似的公司也拿了很多的投资拓展速度也很快比较有名的有叮咚买菜还有南方的普普美日优先的失败呢也会让人家怀疑说这些同行接下来的日子是不是也不太好过因为生鲜这个话题实在是和我们日常生活息息相关啊所以虽然美日优先的这个新闻热度已经有点过了很多媒体也探讨过了但我们还是想要来研究一下
[00:02:25] 我们看了这个行业里面几家重要的公司的财务信息然后请教了一下几位在这个行业里工作过的朋友然后越研究到后面我们就越有一个判断浮现出来就是只卖生鲜的电商平台这个事情本身就是个文明题那这期节目呢我们就准备把这整个的一个探究的思路整个路线跟大家分享一下
[00:02:50] 刚才说生鲜与我们的生活息息相关其实这是一个挺有中国特色的事情就是说中国相较于其他市场对于新鲜食材这件事情要在意的多其他的一些国家有可能对于新鲜的水果蔬菜肉鱼没有那么大的需求
[00:03:05] 比如说你在美国超市里面估计就看不到人类
[00:03:35] 这样的一个业态还是蛮独特的但是在中国至今仍是一个主流我们看到全国城市农贸中心联合会这个机构发布的数据是说2020年全中国的生鲜零售总额大概是3.3万亿元其中57%是发生在农贸市场这是占最大头的32%是在超市而今天我们这个讨论的主角生鲜电商其实只占7%
[00:03:59] 这个大盘是一个妥妥的万亿市场三万亿然后7%的话也有2000多亿不算小
[00:04:06] 所以说我们今天讨论的是一个庞大重要但是比较分散的市场里面那么一个不太主流的新渠道过去十几年中国的互联网平台创业主要就是找这样的市场看到一个去颠覆一下感觉像拿了一个颠勺看到哪个就颠一下但从创业的角度来看的话其实很能理解这些创业者为什么会选择生鲜这个角度因为它的日活用户就是每日的活跃用户理论上的这个上限等于所有的中国人这么高或者保守一点
[00:04:35] 说是所有的中国城镇人口可以这么说也就是说你的用户的机盘包括你的每天的交易量然后交易的数字都会天然的很大整个这个所谓的数据就会很好看嗯中国就是万物都可以网购的一个市场吧这个生鲜肯定不会被放过的但是生鲜这个物品有个最大的缺点是什么呢就是易腐坏然后保质期短
[00:04:55] 同时它配合的一个特点是什么呢就是购买者对于时间的要求也很高它最理想的状态其实就是我现在买的菜马上就要变成午饭或者变成晚饭的即便是中国的这个电商物流系统已经特别发达了显然也做不到这种要求那所以像每日优先这样的电商呢他们的一个核心就是想出了我们前面提到的前置仓这样一个模式我们今天讨论的生鲜电商是指那种必须线上下单然后不能线下去买而且以前置仓为核心模式的一个平台
[00:05:24] 前置舱我们也稍微做个定义就是那种旨在实现在30分钟内急速配送而且在社区附近的那种小规模仓库也就是说这里核心是它只有仓储的属性
[00:05:35] 没有店铺的属性就是你不能在他那个里面对就为什么我们这么重点强调这个概念的变息是因为我们后面的节目里也会提到许多也做神仙生意的一些零售商但他们并不是以前置仓为主的或者也不完全依靠线上的下单在后面你会看到这个区别其实是对于商业模式来说会产生很大的一个影响但因为一个前置仓它覆盖的范围是有限的
[00:05:58] 所以理论上啊一个神仙电商要做到赚钱的话那就要求每个前置仓平均下来都要赚钱就像一个连锁品牌一样这个也比较好理解那我们接下来的主要的任务呢就是来算一算前置仓的账来展开我们的一个思考
[00:06:13] 这个算账呢我们这里主要用的是叮咚买菜的数据没有用每日优先的因为在这个行当里边叮咚买菜目前的主要的一些核心数据都是优于每日优先它等于是这个行业里面的一个头牌如果我们要评价这个行业的模式能不能持续的话那肯定是选这个行业里面的第一名来看的每日优先我们前面讲的它会自己有一些运营上的问题嘛而且有一个好处就是叮咚买菜这个公司也算是上市公司它的财务数据也是公开的对吧
[00:06:39] 所以像那个运营效率同样比较受到业内认可然后最近拿融资的那个普普就是普时的普两个字它主要是在南方的但它没有上市所以我们很难通过数据来分析它好那你就开始算吧首先就是这个前置仓它收入的部分非常简单它的收入就是用户下单我买这些菜的这个钱嘛那我们假设这一单是100元就因为都是自营模式所以说确实收入就是用户付多少钱他就收入多少钱对吧对
[00:07:05] 那么为了这一百元的收入呢他就会要花出去很多钱那我们来看看哪些钱第一笔最重要的就是这个商品的成本就是我那个卖出去有个出货价那我有个进货价对吧平均下来叮咚买菜在2021年这个数字是79.9元好高啊那第二笔的话就叫做履约费用这部分也很多要36.1元这个履约听上去很玄乎很高级其实所谓的约就是你下单的这个订单而旅行的呢主要的这个工作就是说物流
[00:07:34] 因为这个前置仓它从进货到储藏到分解把它把货送到这个消费者里面当中要花很多的钱尤其是这个起手的这个配送费是当中的一个大头这个配送费就占了整个履约成本的六成这个79块9加36块1这两个部分加在一起就有116块了已经超过这个100块收入已经亏损了呀叶老师迅速的抓到了重点这个就是前置仓的一个现状它的亏损是非常常见的而且这还没有完还没有亏完
[00:08:03] 在前两笔费用之后呢接下来一笔叫做销售和市场费用分摊到每100元的订单里面它是7块5这个销售和市场费用主要是什么呢就是那些为了吸引你下单发的折扣券还有就是在电梯门厅里面各个地方做的那些广告那其实那个发补贴或者是发优惠券这些事情还很好理解这个几乎是这些平台推高交易量的一个常见的手法那这是第三部分最后还有两个小块一个是生产研发
[00:08:30] 还有一个是管理费用这个加在一起一共是可以换算为8块钱你最后给我加总一下吧最后的结果就是说一个前置仓为了获得100元的这个订单的收入平均要付出131亿元的运营费用和这个商品的成本也就是说它的运营利润率是负的31.1%这个还是没有算上税费啊折旧等等的还不是那个净利润率啊
[00:08:55] 这都说了电商平台一开始几乎都要烧钱的不过这个烧钱也烧的太厉害了而且我们不是用的是叮咚买菜上市以后披露的数据吗为了上市的话公司一般都会好好把自己的业务模式调整一点让这个运营数据尽量看起来健康一点结果还是这么一个赔钱货对吧确实因为2021年已经是像叮咚买菜这样的平台最好的一年了它在疫情之后其实有很大的利好这个大家很好理解
[00:09:20] 这也是我们为什么一开始说所谓的这个纯卖身心的这个电商是个伪命题这就是第一层意思就是说这个生意啊它目前是不赚钱的不仅不赚而且还是很亏的
[00:09:31] 但是这个只是现状对吧我们不能只看当下的数字我们还是要看这个趋势以后能不能赚钱突然乐观因为许多投资者之所以接受创业公司一开始高额的亏损就是因为他们相信之后这个钱能够赚回来吧对吧所以说我们就是要看这个之后这个利润率是不是能改善到一个正的数字对吧对那这个就需要我们把上面算的这几笔这个收入啊成本费用再拆开来细细的看每一部分有多少的这个所谓改进的空间
[00:09:57] 首先我们看的是最大头就是刚才那个79.9元就是商品本身的成本但其实我们一般来说会关注的是什么呢就是你这个商品的毛利率这个大家比较好理解啊
[00:10:07] 可惜的是生鲜就是一个天生毛利率偏低的一个商品而且这个毛利率真的很难提高这个是天生发育为所没有后天可能性的一个东西你这不是有点惨一般来说的话生鲜在零售端的毛利率是不超过15%的
[00:10:23] 这当中有两个原因啊 首要的因素就是我们前面一直仿佛强调的 它是一个与我们生活日常相关非常高频又非常大量的一个消费 我们每天都要花钱的而且这个市场的竞争非常的充分 所以消费者对于这个价格的波动很敏感 你不可能一下子提高价格去赚更高的那个毛利的大家可以去搜一下那种水电煤这种更加基本需求的刚需的东西 它的毛利率其实更低而毛利率比较高的商品呢 一般就不是那么必需的 也不是那么大众的
[00:10:50] 比如说我们最近刚刚讲过的奶茶它的毛利率就非常的高百分之七八十都是非常正常的如果你又要高频对吧又是刚需又要毛利率很高的那可能只有成瘾类的产品了比如烟啊酒啊之类的咖啡也算半个吧算的算的第二个毛利率的原因啊就是身心的特性就是它的保守期很短然后保存条件呢又比较严格所以会有一个损耗率
[00:11:14] 就是你这个买进来的生鲜不一定全都能卖掉但这些生鲜平台呢整体上都会有2%到3%的一个损耗率而且这个当中啊就是不同的生鲜的品类差异巨大比如说你新鲜的鱼和肉这个损耗率是非常高的那水果呢可能就会好一些等等的像我们了解到这些生鲜平台里面如果是那种损耗最严重的产品啊它的负毛利率可能达到40%也就是说我花100块钱进了这些货最后只能卖出去60块钱
[00:11:41] 你看所有卖生鲜的零售商不管是电商还是超市都会特别重视损耗率这件事情为什么我们看到有些超市关门之前会有打折菜或者有些超市会直接把那个不太好的肉直接给你灌成香肠之类的东西就是希望通过降价或者说把它稍微做一些转化来吸引购买降低这个损耗率再不买的话你就literally烂在手里真的是烂在手里
[00:12:05] 那我们回到毛利率这个话题既然这个生鲜的毛利率这么低那么为什么这个这些平台们他们都还去卖生鲜呢这个问题其实非常关键那就是因为我们刚才讲的它是所有人每天这个刚需那这类的产品它是最能够帮助你吸引用户的然后最能够帮助你培养这个用户来你这边平台购买消费的一个习惯的
[00:12:25] 这个按照互联网的说法不就是一个引流的工具吗对之所以就几乎所有卖生鲜的零售商他赚钱都是靠生鲜以外的东西而生鲜就是一个所谓引流的工具那这个当中最经典的案例呢就是永辉超市你就看所有的报道都会说永辉公认是中国生鲜卖的最好的一个零售商你看他股东的背景也是一些零售非常强的有名的大股东除了创始人以外还有颐和洋行也就是香港的那个零售巨头牛奶公司的母公司
[00:12:53] 还有京东也是他的一个大股东那永辉超市他的商业模式呢就在他这个实体的超市里面啊突出生鲜这个特色把生鲜做的很好大家都来买然后在超市里面呢再摆一些餐饮啊食品啊以及母婴啊服装啊等等消费品而商超呢你知道是很擅长通过像价格啊商品陈列或者一些细节的手法来引导消费者在买完了这个生鲜之后去买些别的东西的在一个线下门店里面引流真的是有很多很多方法
[00:13:19] 而真正赚钱的提升利润其实都是后面这些生鲜以外的东西就是所谓生鲜领进门赚钱靠别人没错所以你看永辉在2021年的年夜收入他几乎是生鲜一半其他的一半但是毛利率生鲜就11%而其他的那一半有15%像我们今天讨论的生鲜电商也是一样的在叮咚买菜2021年的交易额里边也是生鲜大概比50%稍微少一些然后另外的那些商品其实是更多的
[00:13:47] 但这个其实也就是我们一开始说的伪命题的第二层意思就是你这个要想生存下去啊生鲜电商是不可能只卖生鲜的其实这个核心就是要提升我们前面提到生鲜以外各种产品的比例以及这些产品的毛利率就是如果生鲜真的是不赚钱的话我就把其他产品的毛利率做到爆高是不是就可以了对其实他们确实会这么做我们看到的比较典型的一些改进的方向啊就是餐饮还有自由品牌其实这两个方向有很多的重合
[00:14:16] 现在我们录制节目的现在我可以打开这个定格买菜的小程序看一下它的首页的产品分类里面有两行它第一行主要都是一些生鲜比如说像蔬菜啊豆制品啊肉芹啊什么蛋啊水产海鲜水果鲜花等等的但是你如果
[00:14:37] 第一眼去看这个手评的话你最引人注目的其实是第二排左起的第一个图标它都不是一个图片而是一个动图动图里面的主角就是一只Q弹的小龙虾然后这个菜单的名字就叫做预制菜预制菜这个是一个现在非常火热的风口但预制菜的好处呢第一就是它也很高频量也很大也是用来解决一日三餐的嘛第二就是它的毛利率非常高比生鲜要高得多了
[00:15:03] 你像小龙虾这样的一个成品的这个或者半成品这样一个商品它的毛利率随便就可以到30%以上甚至更高第三呢就是它可以和平台强绑定很多平台上卖的这些预制菜都是平台独家销售的你看他们这些卖的小龙虾都会打上自己平台的这些名号或者是专门有些品牌的你在淘宝上有可能测不到或者是我们刚才讲的索性就是平台自己生产的或者自有的品牌
[00:15:24] 其实你在河马山姆这样的一些零售品牌里边就能看到很多这样的自由品牌的产品像永辉超市也是有非常多的自由品牌自由品牌的好处我们之前在讲会员仓储店的时候也重点提到过
[00:15:38] 就是它能够保证稳定的供应更好的品质以及有可能更低的价格这个就是所有想做大的零售商都会去选择的一个方向说到这个还有一个比较相关的概念就是所谓的上游供应商直采对直接采购对永辉就是以这个直采方式闻名的嘛
[00:15:56] 直接采购的话其实是可以保证供货的数量和品质的稳定也能免去一些中间的经销商环节降低整个采购的成本然后这样子的话也可以达到所谓增加毛利的过程你就看这些平台经常会宣传自己是产地制裁这个还能给你一点品质可靠的感觉
[00:16:15] 有的时候其实是营销的意味更加多一点纸彩的话我们听说其实有一些农产品比如它丰收的时候其实纸彩和你在批发商那边买价格差不了太多这个农产品还是一个非常复杂的事情刚才关于小龙虾我们再多说一句你去看不光是丁东买菜你在河马包括之前的每日优先还有别的什么平台上面你都可以看到在最近这几个月的时候小龙虾是绝对的C位
[00:16:41] 为什么它这么受青睐呢业内的朋友就告诉我们说就是因为小龙虾就是一个属于生鲜店商的完美单品除了前面讲到的这个利润率高啊这些问题以外它还实现了产品化动品化也就是它比一些季节性的生鲜可以卖得更久别人可能是两个月它能卖四个月而且小龙虾就是它不太容易做得很难吃所以消费者的复购率也非常高你只要虾够大我就能满意对
[00:17:10] 稍微总结一下就是所谓的生鲜的部分不赚钱但是它量大高频所以很适合用来吸引顾客但是你一个平台要赚钱的话你就需要去卖别的毛利率更高的产品比如说前面提到预制菜就是目前大家尝试一个重点对但是这个改善毛利率的方法就是我们看了一下其实是有上限的
[00:17:31] 最主要的原因就是生鲜的比例你很难再低下去了你想想看如果你这个平台全去卖那些高毛利东西的话你就失去了生鲜这个产品的引流的作用了你也没有办法让别人去买那些高毛利东西也没办法维持那么高的一个交易额了所以我们看挺多的这个券商的言报里面他都会预测像叮咚买菜它的毛利的改进空间最乐观的估计也就是改进到25%左右就等于比现在的20%左右要高5个点
[00:17:57] 这个改建呢不算少但是其实也不够它真的实现一个整体的那个经营或者是净利润的一个转正而且还有一个很基本的问题就是你做这么多前置仓本来就是为了卖生鲜用的如果你大多数商品都是那种保期比较长的预制菜或者说日用品的话那你还做前置仓干嘛你直接用菜鸟驿站发货不好吗非常有道理啊那说到这个的话其实就要涉及到我们前面算账里面的第二大的支出
