Vol.211 没有利息，怎么搞金融？
时长：00:43:06
来源：网易云音乐电台节目 · 商业就是这样 · Vol.211 没有利息，怎么搞金融？

[00:00:00] 大家好,我是肖文杰,我是小亚节目开始前,我们照例还是跟大家聊一些健康和养生相关的知识这些知识是来自我们的合作伙伴Swiss旗下专注高端抗衰的子品牌Swiss Plus我们都希望保持年轻,但所谓的年轻究竟是什么?在细胞生物学家这里,更专业的说法叫维持细胞的活力这里有个关键的角色叫NAD家根据自然杂志一篇论文显示
[00:00:27] 它在氧化还原代谢抗衰老和长寿免疫系统以及DNA修复当中的重要作用已经受到了广泛的关注说的直白一点呢就是身体内的NAD加的水平和我们身体的衰老程度是相关的确实啊不过到了30岁以后呢你体内的NAD加含量就会出现断崖式的下降那Swiss Plus就专门推出了一款能够有效的提升NAD加水平的明星产品NAD加新生瓶那它的核心成分呢就是Swiss的专利叫N2
[00:00:56] 这个N2的特点是分子量小和高活性它就容易被人体转化也是目前已知的最安全有效能够提升NAD加水平的一个方式品牌在产品上市的时候就曾经公开邀请消费者参与实测结果显示7天内N2确实能够提升人体内的NAD加的数值另外新生品还添加了PQQ和麦角雷因这两个成分分别可以提升线粒体数量帮助细胞抵抗外界刺激
[00:01:23] 这两种成分加上NR所形成的抗衰配方是由两位诺奖得主带领完成的如果你也在关注真正有效的抗衰方式不妨从Swiss Plus开始它有很多款面向细分年龄层的产品比如如果你在30岁左右希望从基础的抗衰入手它有入门款叫NAD加换活瓶如果在40岁以上或者是对抗衰有更高需求的朋友就可以选择我们前面提到的NAD加新生瓶
[00:01:51] 你当然不能指望一种补给就能让你返老还童但是如果能帮助你改善睡眠增强精力保持高效专注状态对于现在人来说不妨也可以说是一种年轻了再次感谢SwissPlus对于商业就是这样的支持我们在show notes里面也会有6188的产品链接感兴趣的听友可以了解一下接下来我们就正式进入今天的节目
[00:02:13] 今天这期节目呢我们会探究一个非常有意思的领域至少之前在我的这个个人的阅读经历里面没有看到公开的报道里面讲过叫做伊斯兰金融那因为是涉及到了宗教话题所以说在节目开头我们要非常严肃认真的声明一下本期节目的创作初衷是分享信息和拓展认知节目当中涉及伊斯兰教义的部分是为了提供必要的背景介绍我们不代表任何特定的宗教观点
[00:02:40] 对伊斯兰教和穆斯林群体也没有特定的倾向立场
[00:02:54] 此外还要说句因为这是一个播客的节目那在音频里面必然会有一些我们的口气啊或者语调的一些变化同样不代表我们的任何的倾向或者是态度就像我们开头说的做这期节目初衷是为了分享信息和拓展认知那也今天这个叠加叠的比较厚啊也请大家不要驾驶我们的阿拉伯语读音谢谢好那感谢大家的理解和支持我们就正式开始这个话题吧OK现代金融市场发展至今呢已经变得非常的庞大和复杂了
[00:03:22] 资金的流动各国的发展政策市场的情绪以及金融产品的内生风险其实都会绕动市场的方向那今天我们来讨论的这个与金融市场相关的这个关键词叫做宗教其实在岳老师提这个话题之前我不太能想到就是金融市场和宗教还有很强的关联你不是读社会学的吗马克思韦不是有本经典著作叫做新教伦理与资本主义精神吗这个适格了适格了对对对你说的对
[00:03:49] 确实这么一说的话就其实那宗教肯定是和整个的社会经济制度是相关的那金融既然在这个社会经济制度的这个框架里面的话自然也会和宗教很相关对但是具体跟伊斯兰教这个有怎么样的相关其实说实话我之前不太了解那你其实从历史上来看呢整个阿拉伯地区都有非常悠久的贸易传统这个毋庸置疑而且在古兰经里面也有很多强调商业或者交易在日常生活中价值的部分
[00:04:14] 但是要说相对成体系的今天讨论这个伊斯兰金融市场呢其实诞生至今也就是50年左右是一个很新的东西可见在伊斯兰教的语境之下传统的宗教理念和现代的金融准则之间是存在着大量需要协调磨合以及变通的地方就是商业的部分其实历史悠久但是金融的部分却意外的年轻是的那这个也是我们今天讨论伊斯兰金融的一个初始的一个好奇
[00:04:39] 本期节目会分成三个部分简单介绍一下伊斯兰金融首先就是伊斯兰教育当中内涵了一些非常审慎的金融实践原则我们就会从这里开始接下来我们会分别从个人和企业市场两个维度介绍一系列目前常见的伊斯兰金融方案最后我们会聊一聊伊斯兰金融的发展现状以及它和传统金融的核心差异这里是商业就是这样
[00:05:12] 那首先就从我自己是非常不熟悉的这个伊斯兰的教义开始吧袁老师来跟我们讲讲还是刚才那个问题就是重商的这个传统在伊斯兰世界是非常的有名的阿拉伯商人的这些名望都非常的强但是金融市场又很晚是不是就是因为在这个古兰经的教义里面确实有很多的限制或者是一些明确的要求
[00:05:34] 是这样子的就是古兰经里面涉及商业和商人的内容很多但是对于金钱和财富的理解其实是跟现代金融体系是有冲突或者说有分野的基于伊斯兰教义其实可以总结出五条比较独特的金融原则那接下来我们就一条一条展开第一条也是最重要的一条就是禁止利息这个阿拉伯语叫利霸
[00:05:57] 专门有个词的对它原本词意叫增长和增加那在金融活动里面就是指比如说你借钱或者说存钱这个过程中产生的利息我问一下就是你说的这个禁止利息是禁止到比如说两个穆斯林朋友之间借钱我借给你的一百块钱之后我不能收你两块钱利息不能OK就是完全的禁止生活当中有利息这个东西存在对
[00:06:20] 我觉得现代金融体系看到这一条的时候很多人就已经要沉默了就是没有利息那我怎么做呢是啊这里要稍微再解释一下就是有些说法把Libra解释为中文的高利贷我觉得这个说法是不太准确的因为高利贷这个词它的核心是利率的数字比较高对吧比如说在我们中国市场就是年利率要超过36%才能叫高利贷那在伊斯兰教的语境下Libra是没有具体的数值挂钩的
[00:06:49] 这里面也存在一点点就是争议或者说大家在这个事情上不是完全统一的认识但是业界总体倾向于避免产生明确的利息那除了利息以外呢像智纳金这种就是明显有利于出资方的一些额外的收益其实也属于利盘也是不可以有的增加了嘛增值了嘛对吧就是增加的部分都不可以有那接下来是第二条就是禁止涉及一些禁忌业务叫HALAM
[00:07:14] 好了那么这个反义词我们日常生活中见的比较多就是那个清真那个哈赖哦那个看到过在这个很多的店招上面是的那这条原则其实限制的就是商业活动的经营范围就是有些生意是不能做的那这个我觉得有可能就算不是这个穆斯林朋友也比较好理解啊
[00:07:31] 比如说有的畜牧业跟猪相关的应该肯定不能做对餐饮业也不能做跟猪相关的生意除了猪以外像酒精烟草军火生意也是不能做的这些都是不清真的对服务业也不能涉及赌博和色情服务除了直接设计以外其实也不能给这些业务融资这个业务因为涉及了哈赖这个概念其实就比较好理解了这是第二条原则对这是第二条原则
[00:07:57] 第三条原则相对模糊一点它是禁止博弈叫MASER和禁止不确定性叫GARA那MASER的狭义概念就是我们前面说的那个赌博广义层面其实可以指代一切有输有赢的博弈活动或者说交易如果从广义的这个解释来说的话我能想到的这个金融行为或者是商业行为就太多了
[00:08:21] 比如说我们前面提一个就是有的公司接受那个风险投资的时候不是会说签一个对赌协议吗对就是如果你这个业绩达到了一定的这个水平然后投资方可以继续的注资不达到的话你就要回购股份这个是不是也是属于你前面讲的这个博弈MASIA这个部分对的GAR的部分呢在阿拉伯语当中的字面意思是风险不确定性和欺骗
[00:08:43] 哦哦哦
[00:09:08] 这个听上去好像有点这个一下子意想不到但是确实要原则的对待如果就是做盲盒生意的这个公司要去阿拉伯世界做生意的话真的要注意一下这个部分他们应该会注意的吧应该会吧那接下来第四条原则终于没有阿拉伯语了这里叫风险共担和利润共享这个意思基本上就是字面意思就比如说我们两个人合伙做生意那么其实我们都要对这个生意负责
[00:09:32] 是赔是赚我们都要一起来承担如果你只是把钱借给别人去参与别人的生意最后的利润和亏损也是要按照一定比例去分配的这个有可能是属于和现代的金融体系相对来说接轨的一个部分这个很好理解这是第四条原则最后一条原则是什么最后一条其实不太涉及到具体的金融问题它其实是要求企业或者个人你赚了钱以后你要把一部分收益再分配出去用于造福社会这个在阿拉伯语里面叫Sakat
[00:10:00] 天克你不是前面说没有阿拉伯语了吗
[00:10:04] 但还是要介绍一下对对对这里还是有的对那天克这个概念背后呢是伊斯兰教的一个理念叫做正义和机会均等理念他们希望财富不是聚集于少数人的手里面而是能够汇集一些低收入和发展机会不足的群体那最简单的方式就是直接把钱捐出去也可以选择去做一些比较普惠或者有社会价值的商业机会就是做慈善或者说做我们现在说的社会商业或者说是公益商业这种感觉它是比较推崇的是OK
[00:10:33] 没想到传统的这个伊斯兰教义其实和现代的很多人已经习以为常的一些金融理念其实有非常多不一样的这个地方我们再回顾一下这五条原则第一条叫做禁止利息第二条叫做不能做禁忌业务第三条叫做禁止博弈和不确定性第四条叫做风险供单利润共享最后一条叫做回馈社会
[00:10:58] OK那从前面说的这五条原则来看直觉上要在伊斯兰世界搞金融好像是一个或者说搞现代意义上的金融好像是一个很困难的任务比如一个银行存款不能发利息贷款也不能收利息然后你作为一个机构你不能炒期货和衍生品投资的方向也有很多讲究所以在这么多的要求和原则之下目前的在实践中的伊斯兰金融到底是怎么把教义原则和金融产品结合在一起的
[00:11:26] 其实在伊斯兰金融出现相对正规的大型机构之前资金的融通很多时候还是靠民间借贷来实现的尤其是个人的那种小规模的需求基本都是靠亲戚朋友借一借但是对于资金量需求更大的企业来说即使是家族企业你光靠庞大的亲戚朋友的群体借贷其实也比较困难了所以说他们还是有这个需求在的
[00:11:49] 伊斯兰金融的一个标志性的发展节点是在1975年当时是成立了两家银行一个叫做伊斯兰开发银行一个叫做迪拜伊斯兰银行除了银行开业之前的一些常规准备
[00:12:18] 没有那么多具体的数值啊或者说是很精确的这个解释其实里面大概率就是一句话就是比如说你做这个事情你有可能就是以后要下体育之类的这样的说法OK所以说请了权威的学者来做了解释之后等于是有了一个很明确的标准有了这个宗教上的合规的审查了是的大家以后就是有这个明确的规定之后那就可以在这个限制下做事情就好开展是
[00:12:40] 那目前呢伊斯兰金融机构内部呢基本上都设有这样的伊斯兰教法委员会来对他们的金融产品做审查自此呢就整个行业里面的金融产品就逐渐丰富起来了接下来我们就从个人和企业这两个大方向来介绍一些主流的伊斯兰金融方案那在个人金融领域呢其实还是要说民间融资是一种非常非常主流的模式这个我们可以到后面再展开介绍
[00:13:04] 机构产品方面呢普通人最常接触的应该是三类需求一类是存款一类是个人贷款还有是保险那我们就一个个展开首先是存款因为这个第一大原则就是禁止利息所以说伊斯兰银行在吸收个人存款的时候明面上确实是无息的不会付给你利息但是呢肯定有些变通的方案怎么变通比如说你存款存到一定规模就给你送一点实物的礼品
[00:13:30] 这个是跟国内这种给大的储户送米面凉油是一个概念吗或者是日本的这个上市公司给股东送一点什么消费券类似但是比如说像国内这个送米面凉油它还是首先你要是个大储户其实就是这个大储户一般已经有些
[00:13:47] 利率优惠了就它已经会给你比较高的利息的基础上再给你送就是那个纯粹是个礼物对那伊斯兰银行呢就是给储户送东西的这个基准没有那么高就是你存钱的就是到一定水平其实就会给你送实际的这个操作上就是作为利息的一个替代OK还有种变通方案呢因为比如说银行我们之前节目里也讲银行吸储的目的是不是说为了自己存着的是把这个钱放出去
[00:14:11] 对所以说呢银行就可以跟储户去签一个协议这个钱呢不是以存款的名义存进来的它变成这个人和银行合伙出去做生意然后这个钱作为投资款放在一起然后呢根据收益的比例呢再分成比如说四六份银行拿六然后你拿四就是在你吸引储户的这个存款的时候其实就把后面资金的这个用途一起囊括在合同或者说是这个协议当中了是的
[00:14:40] 等于是用利润共享的原则
[00:14:48] 第二个方向就是个人的贷款前面我们提到有一条原则叫做禁止投机和不确定性其实落到贷款这个层面伊斯兰金融就体现为它非常偏要一些重资产那些的话就不属于是投机那种明显有风险的事情就是东西都放在那里没有不确定性在个人贷款领域其实最大的两类机构贷款需求就是车贷和房贷金融机构为了避免利息又获得收益他其实想到了一个方法就是我先替你把这些车和房全款买下来
[00:15:17] 然后加一点价再卖给你然后呢你可以选择分期支付这个款项然后你期间拥有这个房和车的使用权钱全部都付清以后银行再把这个所有权转让给你这个不就是融资租赁吗就是跟车的那个融资租赁融资租赁我们待会会讲的就是那个是租稍微有点区别会有点区别因为这个设计叫使用权其实我理解就是有点消费式的这个
[00:15:40] 理解但是它这个就等于是分期付款每一期加在一起总的这个价格肯定比原来那个全款会稍微多一点对这个模式就叫所谓的成本加利润在阿拉伯语里面有个专门词叫穆拉巴哈还是有专门的词的对这个模式下金融机构的利润空间它一开始就会告诉你就是我会多收你多少钱对吧但是呢它也跟传统的金融产品一样就是能够解决你个人的现金流的问题因为你分期了OK
[00:16:08] 从产品节目上来说它确实首先是避免了字面上的利息但其次它跟我们熟悉的车贷房贷是不一样的你钱一下子银行都要给出去了其实主要差异是这里就是传统的金融方案里面其实是让用户先直接购入再抵押这个东西对吧对对对所有权的时候都是属于用户的是的在抵押这个过程中所有权和使用权还是都是归用户的但是在一算金融的这个思想里面资产的
[00:16:34] 所有权是长期在银行手里的只有你在你全部付完以后他才会转给你那你其实如果体现在银行的资产负债表里面就是他名下可以发现一大堆车子和房子这里有一点差别
[00:16:47] 第三个方向保险保险其实就是这里也有个很棘手的问题就是保险难道不就是险吗对吧不就是不确定性吗对就首先就是这个问题其次就是你不能有利息对啊你所以说传统金融市场里面流行的这种储蓄险和分控险这种肯定是不行的那其实目前伊斯兰金融领域通行的一个保险产品是比较简单的一种互助险
[00:17:10] 就是比如说一堆人大家定期把钱投到一个资金池里面然后期间如果有成员要支取保费就是从这个池子里面去就是这么简单所以从个人对于金融产品的需求来看的话目前伊斯兰金融的解决方案主要追求的还是绕开利息这个问题还有就是要降低不确定性这两个方案就是刚刚我们讲的车贷房贷是处于这个层面的
[00:17:32] 不过确实就这些要求肯定也大大限制了金融机构吸收资金的能力最典型的就是保险你肯定没有办法做其他一些市场里面比较主流的一些保险的产品同时像我们刚刚讲的车贷房的这些方案就也很难发挥沉淀资金的价值我觉得这个方面有可能确实是和其他一些市场的金融机构不同的
[00:17:56] 讲完了相对简单的三类个人的金融产品那接下来岳老师跟我们分享一下比较复杂的企业金融的部分吧企业金融的核心其实就是一件事情就是融资贷款但是因为它的资金需求量比个人大得多所以说也确实需要更成体系一些金融方案这里会涉及到几个读音非常相似的阿拉伯语词包括前面的很多处我也不是很确定这发音是不是完全对大家可以不用纠结具体的名字只要关注它的
[00:18:22] 本质是什么就有什么差异就可以了那第一种最简单的方法其实跟个人贷款是一样的叫做穆拉巴哈成本加利润比如说一个企业我需要钱去买设备银行就先用他自己的资金把这个设备买了再加价卖给企业然后企业是分期付款钱都付完了以后就取得这个设备的所有权这是最简单的方案这个期间有一个差别就是你前面提到如果说企业不想要
[00:18:48] 这个所有权它其实可以把分期付款购买的这个动作改成定期支付一些租金那这个就是我们讲到那个传统金融领域的融资租赁这个在阿拉伯语里面也有个词叫做以加拉双方会约定这个租赁期的长度那到期以后企业是可以选择买断的也可以选择不买断你买断的话这个所有权还是会发生转移不买断其实就相当于租期结束了就这样了这个其实我们之前在有期节目里面会大致的提到一些就是所谓的分期购买和分期租赁
[00:19:17] 有一些不同比如说我们讲过航空公司就是一个在调整中的航空公司它对于比如说飞机的数量机型的需求变化很多那么租飞机相对来说就比较灵活一点它有可能融资租赁这个方式就用的多如果说成本加利润或者说融资租赁这个方案主要还是为了避免产生利息的话那么接下来要介绍的两种贷款方案其实基本上就是基于风险供单和利润共享这个原则来设计的
