Vol.268 两个劳斯莱斯
时长：00:50:12
来源：网易云音乐电台节目 · 商业就是这样 · Vol.268 两个劳斯莱斯

[00:00:00] 大家好 我是肖文杰我是小亚这期节目的由头来自一个小红书的笔记他提了一个问题就是为什么在民航飞机上面看到了劳斯莱斯的标志相信这位朋友一定坐的离飞机发动机很近可以看到这个logo我们的绝大多数听友可能并不拥有劳斯莱斯但是对那个logo可能有一点印象就是两个银色的R叠在一起在飞机发动机上有时候也能看到这么一个logo
[00:00:29] 虽然超豪华汽车和飞机的发动机都是那种给人感觉非常金字塔顶端的这个工业产品但是总觉得这个顶端不是一个路线的两个行业的顶端所以呢就大家肯定会好奇为什么他们会有同样的logo
[00:00:45] 其实回答这个问题本身的并不难很简单就是劳斯莱斯过去家公司就是两者兼修的又做超豪华汽车又做飞机发动机就像兰博基尼又做超豪华汽车又做拖拉机这个故事以后我们还可以讲其实也蛮有意思的但是回过头来说就是劳斯莱斯这两块业务后来拆分成了两个公司
[00:01:07] 一个叫做劳斯莱斯控股公司它主营的就是飞机发动机另外一个叫劳斯莱斯汽车那么主营的就是汽车在中文世界里面为了方便区分一般做飞机发动机的公司我们会叫它罗尔斯罗伊斯公司就是Rothrois这中文的译名简称的就是罗罗
[00:01:26] 刚才我不是提到说这个两个公司的logo是一样的吗其实它只能说是相似它并不完全一样你仔细观察的话在飞机发动机上那个标志它的底色是蓝色的而在这个汽车上面并没有这个底色我觉得就是得发动机做的足够近才能看出这样的区别根本为什么一家公司之前会又做豪华汽车又做飞机发动机呢以及就是为什么后来又拆成了两个公司呢
[00:01:56] 我们今天的故事就聚焦在这次拆分上面我们就不展开聊整个公司的历史了因为这次拆分本身就足够的精彩它发生在1971年过程本身非常的戏剧化而且在商业上也很有代表性更值得玩味的是其实这一次的拆分背后它的草蛇灰线还有那个时代的历史大势有着若隐若现的关联这里是商业就是这样
[00:02:29] 虽然我们不是从头讲这个公司的品牌历史但是还是请肖老师简单的为我们介绍一下这个劳斯莱斯的来历以及这个公司为什么一开始就是既有车又有飞机发动机这件事情其实这个来历呢就是写在品牌的名字上面对吧罗尔斯和罗伊斯就是公司的两位创始人这个公司呢创立在1906年然后是英国历史最悠久的一批这个汽车公司这个罗尔斯啊他是一位贵族在上流的阶层人脉非常的广泛
[00:02:57] 跟当时的这个英国国王乔治五世都是很相熟的那这个罗伊斯呢他是一位技术专家像我们之前讲过的麦巴赫一样的他们一个负责销售客户另一个呢负责产品研发共同就塑造了劳斯莱斯非常这个昂贵极致稀缺的这样一个定位除了他们以外呢还有一位这个非常重要的人物叫克劳德约翰逊是他把他们两个撮合在一起的
[00:03:22] 然后也负责整个公司的商业的运营可以说是粘合剂的这样一个作用等于是又是一个经典的大公司里面三角组合像我们之前提到皮克斯也是这么一个很典型三角组合是的这个三角组合其实形容的蛮准确的我们可以举一个例子来证明他们组合的威力劳斯莱斯早期有一款打响名声的车型就是著名的叫Silver Ghost
[00:03:45] 迎妹中文翻译成迎妹那这款车呢它最经典的一次营销呢就是面向一批贵族乃至王室成员的一个沙龙就是线下看车这样一个活动当时呢约翰逊就想了一个点子就是他把一杯装满酒的这个高脚杯啊放在车子上面然后发动汽车然后酒没有洒出来这就证明了这辆车在当时领先于时代的一个平顺性和静谧感觉这个故事我听过是吧
[00:04:11] 雷克萨斯是不是也干过这个事情对他就是叠了更多的这个高脚杯变成一个香槟塔只能说人们对于豪华车的这个追求有一些本能的惯性在里面是吧一百多年都没有变的就大家喜欢这种平顺在车里面喝酒的就不抖也不是喝酒开车不喝酒喝酒不开车好好好那这个营销活动其实就可以体现出铁三角各自的能力和分工对吧这个活动组织请待这些人肯定是罗尔斯的这个能力
