Vol.244 迷失在税中的小餐馆
时长：00:37:26
来源：网易云音乐电台节目 · 商业就是这样 · Vol.244 迷失在税中的小餐馆

[00:00:00] 大家好 我是肖文杰我是小鸭今天这期节目呢我们是在一个比较特殊的环境里面录制的首先我们是在广州其实我们在一个可能就是我们有史以来录制条件最好的地方在录对 广州的原因是因为我们在这个广州举办了我们商业就是这样五周年的线下的见面会非常感谢大家就是没有想到有这么多人上来合影对 反正就是吸取了一大波正向的反馈
[00:00:28] 感觉这个节目今年还是可以继续跟下去除了一大波正向的反馈感觉还吸取了一大波好吃的食物超级好吃到时候我们可以考虑发一下我们点的单好我们回到我们今天录制的这个环境吧也非常感谢就是我们没想到在广州能够见到一个这么好的录制的环境它是一档粤语的播客叫小房间的
[00:00:54] 一个录音环境是一个字面意义上的小房间对我们现在在一个非常小的但是非常舒服的一个环境里面在录制它属于是在广州的东山口有一个叫Disc Joker的一个地方它的主营业务是一家黑胶唱片店它也兼做播客节目对两位主播Trace和Zambie非常的热情就是那天我们的线下见面会也来参与打了招呼
[00:01:22] 今天的话也非常友好能够借我们这样一个地方来录制在这个小房间的外面是一个就是有很多黑胶的地方我们已经快乐地感受过了如果大家在广州有自己想录播客的想法或者想来听一下黑胶唱片的话都欢迎大家来这个店来看一看对下面还有很好的咖啡店那我们就进入正题今天不能再吹水了吹水部分有点太多了今天聊的还是一个餐饮相关的话题吧
[00:01:48] 其实去年年初的时候我们就做过一期节目讲了三个不同价位然后不同类型的餐厅是如何应对消费端的需求下滑的一个影响然后如何来逆境求生的那一年过去了我们又在一个年头的上面再来聊一聊餐厅的生存状况其实这段时间我们还是陆陆续续做过不少跟餐饮业相关的话题之所以这么关注餐饮业主要还是因为它的牵涉面太广了但是当下你说景气确实也不算景气
[00:02:17] 根据国家统计局的数据的话餐饮业目前是为超过360万人提供工作它是提供就业最大的行业之一至于说景气不景气的话过去几年如果要评选哪个行业的坏消息最多呢餐饮业肯定是候选之一像疫情的冲击消费需求下降包括外卖平台去挤压这个线下的生存空间还有预制材生意等等可谓是一轮接着一轮
[00:02:42] 而且刚才岳老师讲到的360万实际上是餐饮业直接的就业人口那它带动的整个的食品的外食的整个产业链的这个就业人口肯定会是更多的所以这个行业大家关注点会那么多那这一期节目呢其实我们会聚焦在餐饮业上面一个非常具体的点就是税那由头其实是比较明确的就是在2025年的下半年我们第一财经杂志的同事崔硕他发现有很多小规模的然后非连锁的一些餐饮的商家呢
[00:03:11] 他们都收到了一条短信这个短信内容叫做你申报的今年三季度增值税销售收入少于互联网平台企业向税务机关报送的收入请您进行核实确认那这么一个短信难道不是个群发短信吗就是真的这么重要吗没错就这个短信以及它背后的一个新的这个规定或者新的一个法规它其实搅动了很多餐饮业从业者的生活和经营的现状吧
[00:03:40] 我们可以举几个比较鲜活的例子比如崔硕在调研里面发现有的档口的那些小店他们就开始突击的办营业执照有的火锅店他们开始撤下了自己在外卖平台上的套餐还有的餐饮店的老板就下载了豆包为的搞清楚自己到底应该交什么税所以说我们今天还是来解决与之相关的一系列问题首先影响餐饮业小店的新规到底是什么
[00:04:08] 然后它是怎么去影响这些门店的经营状况的以及门店到底是怎么去应对的然后背后就是整个折射出来是小微企业目前面临一个怎么样的生态
[00:04:19] 其实这期节目的商业逻辑并不复杂然后涉及的金额也不大有时候非常小而且和过去几年的一些餐饮业的大事件相比也有些微不足道但它的确能够切实反映一小部分的小微企业真实的经营状态所以我们还是想要用一期的节目来聊聊这个话题但是还是要声明一下依法纳税是每个经营者和个人应尽的义务我们反对任何形式的偷税漏税行为本期讨论仅作为行业观察不构成任何规避税收的建议
[00:04:48] 这里是商业就是这样那要么肖老师先跟我们解释一下就是你前面提到那则短信到底是怎么回事其实要理解这个短信呢就要理解它源头上的那个新规我们前面提到的这个规定是2025年6月30日生效的它发布是由国务院来签投发布的它的名字就叫做互联网平台企业社税信息报送规定
[00:05:15] 那这个规定呢其实你听上去感觉刚刚那串词有点模糊啊也不知道在说什么其实它主谓兵非常的清晰明确的主语就是互联网平台企业对吗宾语呢就是涉税信息然后这个谓语就这个动作啊其实就是报送那么如果要理解这个规定讲什么呢其实就要理解主谓兵各自指的是什么就搞得清楚了嗯那先从主语开始就是互联网平台企业嗯这个是不是就跟我们日常理解什么京东淘宝
[00:05:42] 是这些都包含就电商这类就是包含在里边的这一类还有一类呢就比如说是社交平台小红书微博也包含在里边还有呢就是今天我们会着重讲的比如像美团这样的外卖的平台包括像抖音因为有这个本地生活的部分也算在里边的凡是这种盈利性质的这个互联网的平台其实都算在里边的包括咸鱼这种吗也算进去的当然这个有可能稍微有点tricky我们到时候可能讨论到的话可以再解释一下
[00:06:11] 那接下来我们再来看宾语就是这个涉税信息这个其实是整个规定里面的一个关键的一个要素它这个涉税信息指的是什么信息呢指的是平台上的运营者和从业人员的这个身份信息和收入信息这不是说是平台自己的一个信息指的是比如说在平台上面做生意的这些人的信息没错
[00:06:33] 从业人员是什么呢我觉得具体举点例子吧你就可以理解这个经营者和从业人员比如说我们刚才举的微博和小红书上面有很多的KOL那他们背后不是有很多的MCN机构吗就是他们的这个网红的经纪公司那这些公司他就是从业人员因为现在不都是要标清楚的吗你属于哪个公司的对这是一种还有比如说电商平台上的卖家这个很明确对吗还有就是比如说美团的大众点评上面的餐厅这个也算的所以说就是前段时间不是有些什么网红
[00:07:02] 补交税的这个信息是不是就是从这个里面来的就是这个的不然你怎么补交税呢就是有这样一个由头的另外有一个非常重要的点需要补充一下就是这里边的从业人员是有一些例外的比如说外卖的平台那这个外卖员其实也是从业人员或者有一些那种到家服务的平台家政的平台那里面的家政服务员其实也是从业人员但是在这个新规里面它是不算在这个涉税信息里面的因为这些人本来就他们的这个收入其实在现在这个规定上面是不用缴税的
[00:07:28] 所以说这个规定主要针对的是在平台上做生意的商家对对对你普通的劳动者其实在这里面是不包含在里面虽然就是从业人员但是这个从业人员范围还是就是以商家为主是的就刚才你比如说讲到的这个二手的平台那据我们了解的话如果你是个人在上面转卖一个东西的话其实不会但我们也知道二手平台上有一些专业的商家对那他其实还是要算进去的那接下来这个就是兵语已经讲完了主语也讲完了最后就是卫语就是报送
[00:07:57] 这个其实我们以前讨论过一个就是非常没有用的一个位置那是那这个其实也很明确啊在这个规定里面还是蛮重要的就是这个报送者就是平台他要每个季度把这些数据定期的这个发送给税务部门就每家店就每个商家他在这个平台上面的经营的这个我们刚才讲的这个涉税数信息啊都要报送给税务部的部门
[00:08:19] 嗯那简单说把这个主卫兵连在一起用人话总结一下就是那以后的税务部门可以比较清楚的知道这些平台上面的商家的收入是的那所以在此之前这些信息税务部门竟然是不知道的吗对或者说是精确程度很低吧就是这种信息其实你想想吧直觉考虑一下如果平台不告诉你的话你别的地方没法知道啊对吧你这个后台你也不可能谁都能进去看对吧所以其实之前这个信息是很不透明的
[00:08:47] 那就是说获得这些信息以后呢税务部门是就是完全依照这个信息来征税吗那倒也不能够对吧因为我们现在知道根据现在的这个规定的话像企业的增值税还有个人所得税包括就是企业所得税这些部分都是要自己来申报的我们自己个税都要填那个APP来申报了那对于一个商家来说呢其实你要申报的这个部分里边这个平台的有可能只是一部分因为你的收入未必是仅存于这些平台上的
[00:09:14] 对吧这个应该很好理解比如你餐厅有线上的外卖和套餐但也有这个线下的直接到客的到店的这些客人那些部分其实跟平台没有关系那在那个里面就体现不出来还有的话比如说你一个网红的话你有可能有些别的线下的一些活动的收入广告的收入不一定在这个平台或者你有跨几个平台这个其实就有区别所以这个所谓的互联网的这个平台企业的社税信息呢它主要的作用是给税务部门做一个参考和比对
[00:09:42] 比如说你一家餐厅你这个季度我申报的这个我的收入的流水是十万元但是我收到的这个平台给我的信息你在美团上卖的套餐就已经卖了十万块了你不可能线下一点别的收入都没有所以说有可能是不匹配这个问题对这个就回到我们开头的那个短信的内容了就是您申报的今年三季度的增值税销售收入就你自己申报这个东西
[00:10:04] 少于互联网平台企业向税务部门这个报送的收入就是指他报送那个涉税的信息所以要让你去重新的申报要检查所以他简单的说就是一个就是他用来参考的这个值然后发现了对比发现了异常是没错就是这个作用那我觉得这里还是有一个核心问题就虽然我们说就是线下肯定是
[00:10:26] 比如这些餐饮企业还是会有一部分收入但是我们就现状可能是说现在餐饮店对于线上平台依赖度还是非常非常高的对吧那不然就是说你这个事情就没有参考的意义了是就如果你在一个餐厅里边你线上的这个不管是外卖还是套餐的这个营业额的占比很低的话就是你爆了这个东西又怎么样呢跟我实际的这个总盘来说如果占比很小的话他就可以完全忽略
[00:10:49] 是的而且这个里面呢其实这个流水的话分两个部分吧我们其实之前讲到那个拼好饭这期里面的时候也提到过一些那个一个餐厅在一个平台上面的这个流水的部分我们外卖先不说就是比如说你到店这些餐厅这个部分其实也有两块一个呢就是你在这个抖音啊或者这个美肠上面你看到了这个套餐然后你去点了然后到店去核销
[00:11:11] 它产生了一个引流的效果嘛那你在上面结的还有一种其实大家知道就是比如说我一个客人我只是我想好到这家餐厅来吃的吃完了之后呢我结账的时候然后不管是现场那个就是什么服务员来引导还是你自己点开了这些平台的APP然后就是说再通过上面来这个点那个买单可以稍微的便宜一点或者方便一点一百块钱两块钱这种的对对对就是这种就是一般是平台给了一点优惠嘛那这种话其实也是属于这个流水里面因为已经寄进去了嗯
[00:11:39] 其实外卖里面也可以分就是比如说你单纯去点外卖还是比如说你去点一个什么就是团购的套餐然后在线上直接去核销的反正有一些区分吧是但总体来说就是对于平台来说这些数据不管是怎么来的或者什么形式它都会寄到自己的就是相关的流水里面去对其实很透明对就像我们刚才讲的第二部分其实它属于线下的对吧但其实就是因为这些东西都包含在平台上面平台的这个账了就是走过平台的东西它都会留痕
[00:12:06] 是然后这个部分又占比很多所以就有很强的一个参考意义了那这反正是现在这些数字如果说平台诚实的向税务部门去报送的话就税务部门是完全可以掌握的嗯我觉得这个规定实际上还是跟这几年的就是
[00:12:21] 我国的税务管理趋势是比较符合的就是让企业的实际经营状况在税务部门这里看起来更透明大家比较熟悉可能就是一个概念叫做经税四期其实之前好几期节目里面你也已经提过经税四期了推掉这个很重要的事情我觉得今天可以稍微借机展开来介绍一下因为这个确实我觉得比较相关的这个经税四期它的全称就是国家经税工程那么四期是第四期工程
[00:12:46] 你说一个工程吧所以它就像是建立了一个系统这个系统呢是一个覆盖全国的一个税务的信息系统到了四期就是跟前面第三期最大的一个区别是什么呢就是它用了这个跨部门的更多的这些数据来做智能的税务监管听上去还是有点这个模糊啊但这个跨部门的信息就非常重要它包含了像社保啊个人银行账户这种过去的非税信息尤其这里边银行的这个账户其实是这次打通了之后非常重要的就你能看到实际的流水这个是最最坚硬的
[00:13:15] 没有什么好说的就是假设比如说一个店老板把他的个人二维码放在那里让你扫就是这个部分理论上原来是可以有一部分可能是避税的一个需求但实际上这个部分就是给堵上了这个漏洞是的很大程度上是这样的甚至包括有很多过去一些避税的方法这个我们就不展开了对吧这里面其实都会涉及到不鼓励任何形式的避税措施对这个里面都跟银行的流水上是息息相关的那通过了这些跨部门的信息呢其实这个
[00:13:40] 经税四期他就可以自动的来判断比如说你这个企业的经营情况到底是如何的你这个规模到底是怎么样的那根据你这些信息呢他就和你的这个申报的这个信息啊就你每个季度申报的那个信息来做比对如果对不上就跟你过去的这个对不上的话或者说是跟行业的平均水平有比较大的差距的话比如上下30%那他就会认为你有问题他就先会预警这个预警大家现在应该有很多企业如果是搞税务的朋友应该已经感受到了这个预警其实蛮厉害的
[00:14:09] 甚至是一些比较大额的这个工对私的一些转账啊等等的都会产生预警相当于是过去就是说这个写先申报税务信息然后税务局来查账对抽查对那现在是相当于你企业申报的同时呢税务局其实就根据他已经掌握的信息就可以对比就是企业有没有问题就其实抽查那个部分就没有那么重要或者就是这个真大数据分析这个其实非常厉害的
[00:14:34] 之前看到有些例子就是有些企业他们会担心说今年的我们经营状况实际上确实是不好就比去年确实差很多但是经税实际就会报警因为跟你往年的数据差别太大了你出了一个非常精细的一个管理的这个系统之后总归会出现这样的一些细节上的
[00:14:50] 这个问题吧因为他划这个线不可能是非常非常这个人性化或者说是大数据还是有很多改进空间是的这个经税时期是最近就是全面上线的是这样对2025年的年年末吧11月份好像是全面的铺开了然后大家都受到了预警这个东西肯定非常重要就大家都要适应我觉得从这个地方就可以理解到前面讲的就是对于平台的这个企业的一些这个涉税的新规啊就我们前面介绍这个新规
[00:15:16] 你可以感受到跟薪水司机的逻辑就是一样的都是根据更透明的实际经营的信息来对比你申报的内容是不是符合来判断你报税是不是有些问题感觉就已经讲得太大了我们再扯回来就是说对于餐饮业来说到底会产生什么影响为什么新规一上来就会出现我们开头提到什么补办营业执照和下架套餐这么细节的动作
