Vol.192 餐饮“过冬”的三个故事
时长：00:26:50
来源：网易云音乐电台节目 · 商业就是这样 · Vol.192 餐饮“过冬”的三个故事

[00:00:01] 大家好 我是肖文杰 我是小雅这期节目我们来聊一聊餐饮业如何过冬这个冬当然指的不是当下的季节而是指这段时间以来整体的消费动力不足对于餐饮业的影响其实从宏观统计数据来看餐饮售的影响其实比其他行业可能还要小一点国家统计局发布的2024年1至11月的社会零售消费总额里面汽车和化妆品都是同比下降的餐饮其实是同比增长了5.7%
[00:00:30] 名义实为天嘛吃饭是刚需那外出就餐至少也是刚需中的一部分对但这个只是收入的数据啊如果从行业角度看的话尤其是利润这个层面含义就比较明显了这里边比较鲜明的数字包括2024年上半年北京市规模以上餐饮业的利润总共才有1.7亿元同比下滑了88%而上海同样一个数字甚至是出现亏损了另外有个角度可以侧面的反映这种含义啊
[00:00:58] 我们同事崔硕呢最近采访了一位生意人他叫安大为他在抖音上有另一个名字叫狗哥狗哥主要做的是二手餐饮设备回收的生意顾名思义就是有些餐厅他要倒闭了这个设备就卖给他然后他再卖给一些新开的或者要扩张的一些新的餐厅所以呢他收的越多越频繁的就说明已经关张的餐厅就越多那根据狗哥的说法2024年是他收设备需求最旺盛的一年
[00:01:26] 因为加他卫星的人太多他现在已经有五个手机了挺有可能自身也有体会过去一段时间确实有越来越多自己很熟悉的餐厅在关门而更多的餐厅是通过降价来求生存的但是简单的降价两个字可能没有办法涵盖各个餐厅为了应对这种宏观消费环境变化所做的努力所以到底怎么降价降了价是不是就能活下来而不同的餐厅还有哪些细微的挑战和纠结呢我觉得我们的了解其实也没那么多
[00:01:54] 我们的北京同事崔硕他最近就采访了大量的餐厅从业者包括上面这位狗哥也是的后来他就写了一篇综述性的报道但受限于篇幅其实有很多细节的故事没有办法在文章中展开我们这期播客节目就从他采访的餐厅里选取了三家来展开聊一聊第一家是人均500到1000元的西餐厅第二家是人均100元左右的知名连锁餐厅西贝
[00:02:23] 第三是一个美食城其中聚集了很多人均10多元的档口通过这个高中低价三个案例我们来看一看餐饮业的过冬实况
[00:02:43] 这里是商业就是这样在此之前先打两个补丁第一就是为了保护信息源我们会故意模糊一些餐厅的具体信息请大家不要对号入座第二就是今天讲述我们尽可能只做具体的案例描述然后不给出判断也不扩大解释仅供大家了解一下我们就按照价格从高到低的顺序先来讲一下人均500到1000块钱的相对高端一点的西餐厅可以
[00:03:11] 这个餐厅我们就叫它牛排馆因为它的招牌菜是比较昂贵的牛排这其实也是很多西餐厅的一个惯例这个餐厅它是211年开张的当时国内的餐饮消费其实是有一段复苏反弹期的其实不仅是餐饮文旅那个时候也挺火其实有不少的高端餐厅是在那个时候新开的但那个时候牛排馆的人均其实是在800到1000元的然后销量最高的套餐也是双人1999元这种的
[00:03:39] 那属于是一个比较好的日子他这个人均的参标也比我们前面说的这个500到1000其实要高一些的那之后两年呢他的生意是逐渐减少的然后就牛排馆的总经理他个人的感觉就是到了目前为止大约一半的常客流失了而这家店他其实主要还是要做常客生意的那这里面的原因呢餐厅肯定没有办法做非常精准的这个调研或者归因啊那个人认为呢肯定是包括比如说一些企事业单位的参标的下调然后这个餐厅名单的管理的严格
