Vol.241 2025年度商业人物：特朗普
时长：00:57:41
来源：网易云音乐电台节目 · 商业就是这样 · Vol.241 2025年度商业人物：特朗普

[00:00:01] 大家好 我是肖文杰 我是小亚在正式开聊之前 先跟大家汇报两个好消息第一个好消息 2026年的2月9日商业就是这样将迎来开播五周年我们将在这一天上线一期五周年的特别节目而这期节目我们想和你一起创作这个好消息已经播播了一段时间了还是要说一下这个想法由头来自于小宇宙平台年末盘点当中的一个统计
[00:00:26] 他告诉我们商业就是这样的听众遍布全球1154座城市这个数字是触动到我们了因为平心而论我们应该报不出1000个城市的名字这意味着在我们很多未知的地方有很多的听友在听我们的声音这实在是非常幸运的一件事情这也引发了我们的好奇就是在那些我们完全没有去过的城市里面一定也有很多有意思的商业现象而这些现象身处当地的你一定比我们更加熟悉
[00:00:53] 所以我们想向所有的听友来征集投稿征集你所在的城市里面你觉得印象最深最有意思或者最独特的商业现象或者事物可以是人物商品商店品牌规则等等各种形式都可以
[00:01:08] 另外如果可以的话我们还想听听过去五年里你认为对于自己改变最大的一件事情是什么这事情可以跟商业有关也可以没有关系但如果跟商业就是这样有关那我们就特别荣幸那征集的方法呢是问卷征集的形式呢是文字我们会把问卷的链接和二维码放在节目的show notes里边当然如果你想发送你的声音我们也很欢迎啊声音的投稿方式呢是邮箱我们也会把邮箱的地址放在show notes里好这是第一个好消息第二个新鲜的好消息
[00:01:37] 商业就是这样的五周年线下活动即将开启报名这一次我们将来到广州耶那为什么选择广州呢原因很简单就是商业就是这样的后台显示我们在广东省的听友是最多的然后呢就是广州很好吃但我们也很爱深圳啊我们应该也会有机会也会去深圳的
[00:01:57] 那活动的具体时间是1月31日也是一个周六的下午地点是位于广州天河区的蔚来社也感谢这个场地蔚来社对于我们的支持报名的链接门票的价格还有现场可以获得权益都可以在show notes里面的链接找到整场活动的可报名人数最多是180人非常期待与这180位朋友见面那报告完好消息呢我们就进入今天的正题
[00:02:24] 这期节目是我们2025年年终盘点的最后一期看到标题也知道了本期的主角就是特朗普其实我们原本尝试像过去一样选出一个年度的话题公司但是回顾了一下过去一年每天的头条新闻
[00:02:40] 我们发现论话题性谁也比不了特朗普但是我们这些也并不叫年度话题人物因为特朗普在2025年对于美国和全球经济施加的影响是非常深远的而这种影响很容易被话题性所掩盖我们可能简单的做个判断要么觉得特朗普经常在瞎搞要么觉得他竟然搞得都对但很多时候我觉得大多数人都不知道他到底在搞了些什么所以在这期节目里边我们想做一个比较基础的工作
[00:03:09] 经济商业等领域出台的一些最主要的政策和法案梳理出来看看他到底做了些什么产生了什么样的影响我们选取了四个关键词关税减税降息和科技产业那每个部分呢我们都会提到一些重要的政策和法案的文件然后会查阅一支相关的最直接的数据和结果然后梳理一下这个文件和结果背后的逻辑
[00:03:34] 讲完四个关键词以后我们也会最后有一个统括性的评述来谈谈我们对这些影响的理解这期节目可能会和平时我们对于商业内容的讨论不太一样再加上这个话题本身大家肯定会有很多自己的想法所以我觉得还是要事先做一下说明让大家有一个预期我们今天会聊哪些部分哪些会不聊第一个就是这一期我们主要输入的是这些政策或者法案对于美国产生的影响就是就美国而论美国的
[00:04:00] 因为一个基本的逻辑就是特朗普政府的这些经济相关的政策还是为美国而生的当然有的听友可能会觉得假如美国跟我有什么关系呢我们是觉得首先美国作为世界第一的经济体它变成什么样子本身就是会对全球的经济产生很深远的影响的就是所谓的美国好全球未必都好但是如果美国不好全球其他地方也一定不太好是的另外就是其实不论影响就美国本身的变化也是非常值得了解或者是学习的
[00:04:28] 客观来说这毕竟是一个在大多数方面都有其先进性的一个国家那就像一个全球市值最高的公司一样对它的制度文化
