Vol.186 卫生巾的真需求
时长：00:37:15
来源：网易云音乐电台节目 · 商业就是这样 · Vol.186 卫生巾的真需求

[00:00:01] 大家好,我是肖文杰我是小亚今年6月份我们做了一期讲纸巾的节目当时我们在节目里面留了两个坑说之后会分别讲讲纸类行业的另外两个关键的消费产品一个是卫生巾,一个是纸尿裤没想到这个填坑的进程撞上了非常新鲜的热点讨论所以说我们今天就来正经地聊聊卫生巾本来对于卫生巾这个话题我是没有什么发言权的只想等着讲纸尿裤的时候稍微发挥一点点
[00:00:29] 但是最近经常看到对于卫生巾的讨论还有就是最近看的电影好东西里面其实也有一段对于月经休止的这个吐槽感觉是又很好笑又很发人深省所以也对这个话题很感兴趣好东西确实是很不错的片子建议大家有条件的话都能去看一下言归正传其实在最近针对这个卫生巾品质的大讨论里面呢我有个感觉啊就是消费者发现的很多问题包括大家一些关注点跟卫生巾品牌们
[00:00:57] 这些年的努力重点好像不在一个方向上而在快消品行业里面这种跟消费者预期不符的错位其实是一个很少见的局面照道理来说这个行业一向是很讲究所谓消费者洞察的只有通过洞察来超出消费者现有的预期才有可能做出跨时代的经典产品对啊而且仔细想想卫生巾其实是一个很值得下功夫的产品或者说一个课题
[00:01:24] 首先它的需求很庞大它潜在消费者是全世界一半的人口其次它的需求很稳定它是每个月都要用好几天然后持续长达几十年的一个很稳定的需求最后出于种种原因消费者其实有很多难以直言的需求理论上这些都可以通过洞察转化成产品功能和销售的策略为什么在这样一个经典的商品上面快销的大厂这套从洞察到爆款的方法论到现在还会翻车呢
[00:01:51] 本期节目就尝试来分析一下这个问题首先我们会回溯卫生巾诞生之初的故事以及隐藏在当时先进理念当中的一些盲点其次是产品我们会谈一谈卫生巾的所谓渐进式研发和突破式创新最后是渠道我们来看一下中国的卫生巾市场为什么会变成现在这样的局面本期节目我们照例会设计一些上市公司的分析但仅作为行业讨论不作为任何投资建议
[00:02:25] 这里是商业就是这样那我们就先从这个理念以及卫生巾的发明开始说起吧它到底是怎么被发明出来的又是怎么被推广起来的很巧这段故事的主角我们在纸巾那期节目里面已经介绍过了他就是金百利那金百利旗下子品牌高杰斯应该算是美国市场上最早的卫生巾品牌之一了如果从历史上来看呢金百利的定位其实首先是一家纸业公司其次才是一家快销公司
[00:02:53] 而卫生巾呢正是他误入快销企图的一个主要原因那在一战前夕呢金白利是当时美国最大的纸浆造纸公司之一他生产的主要是一些印刷用纸比如说印报纸杂志这种纸还有包装用纸这些都是工业品那在主业之外呢公司肯定还会有一些小的那种创新研发项目呢他们有一个项目就是说怎么把木头转化成满足医疗用途的一些棉花的替代品因为当时美国出现了一个棉价暴涨的情况就市场需要找一些替代品
[00:03:22] 那他们最后开发出来这个产品呢就是叫纤维棉这个纤维棉的吸水量呢当时是说有棉花的五倍而且呢你不用很勤着更换它价格还比棉花更便宜便宜60%所以说在医院实验的时候就很受欢迎因为搭上这个一站需求的顺风车之后纤维棉的销量就是一度是飞涨的但是这个很明显发战争产的一个问题就是战争一结束你就变成了滞销了
[00:03:50] 对你要去找新的出路然后到1919年的时候呢有一个当时金百利的销售就想到说我们之前是不是接到过一封军队护士的来信跟我说他们当时把这个纤维棉做成了医用绷带当过临时卫生巾而且效果很好那我们公司是不是直接做一些卫生巾就可以了金百利呢虽然最后采纳了这个建议但是他对这个想法一直有顾虑就是早期如果去看高杰斯的一些研发销售宣传其实都非常谨慎
[00:04:18] 这个谨慎到了什么样的程度我们举两个例子第一个就是这个公司的这个品牌名中文名叫高杰斯英文名叫Cortex金百利的团队当时就觉得Cortex这个名字实在是太棒了因为它是一个中性的名字就是它没有任何功能和用途上明确的指向性说明这个东西是什么第二就是金百利为了这个事情专门成立了一家子公司叫纤维棉产品公司
[00:04:44] 来专门卖这种新式的卫生巾其实也是方便就业绩不好的时候赶快割洗就跟我金板里没有关系所以就是说在当时的零售市场里边是有一种氛围的就是很难光明正大的给一个卫生巾的品牌做推广和宣传没错这个背后原因其实很简单就是因为当时他们认为卫生巾是一个非常女性向很私密的东西
[00:05:07] 那当时的零售店有个很大的问题就是售货员以男性为主当时的那个商店里面就是有点像那个老式百货商店或者是那种供销社的那种店对就是你所有的商品都要你跟售货员说我要什么然后人家从柜台后面给你拿嘛那对于女性消费者而言买一盒卫生巾的沟通成本和心理压力实在是太高了那高杰森呢其实出于早期的顾虑呢也
