Vol.15 大数据选址，玄学还是科学？
时长：00:27:58
来源：网易云音乐电台节目 · 商业就是这样 · Vol.15 大数据选址，玄学还是科学？

[00:00:07] 一个品牌做选址的话肯定需要很多数据来帮助自己的工作显得更专业更加不要出错它其实就是数据和你实际经验要互相结合和来共同配合的一个概念
[00:00:33] 现状的确就是这个样子的其实大部分都没有办法去满足到他客户的需求
[00:00:47] 这里是商业就是这样大家好我是肖文杰大家好我是许明清之前我们有讲过电动车开进购物中心的这个故事里面就提到过就是像电动车这样一个新的零售品类随着竞争开始激烈起来它的店铺的选址就变得非常重要了那个时候我们就有预告过对吧就会专门有一期节目来聊聊选址这件事情所以今天我们就来填坑了这期节目还有一个不太一样的地方就是我们拥有了一位嘉宾主播
[00:01:17] 他是我们的同事,来自新一线城市研究所的产品总监毛一梅我们都叫他毛毛,毛毛来自我介绍一下大家好,我叫毛一梅毛毛所在的这个新一线城市研究所最早是第一财经周刊的一个报道城市话题的数据新闻的一个团队像每年的新一线城市的榜单就是他们来做的现在他们已经逐渐成长为基于数据的一个城市咨询的机构可以这么说对吧
[00:01:44] 最近他们就研发了一个通用的一个城市的数据平台叫知诚就是知道城市的这个知诚里面还有一个专门为一些零售业的品牌做选址参考的一个模块因为这个新的业务就毛毛接触了很多不同行业的零售的公司对他们的选址逻辑啊还有一些具体的做法也有一些自己的观察有蛮多值得吐槽的地方
[00:02:09] 所以今天会主要请毛毛通过一些案例的方式来分享就是零售品牌选址当中的一些能耗尤其是数据能做哪些事情这个是比较有意思的一个地方那我跟许冰清两位今天就少说一些如果大家比较喜欢这种我们俩少说一点的方式的话我们以后也会更多来引入一些有实际经验的嘉宾来主持请他们一起来讲一下商业现象背后的门道首先我们就都知道选址这件事情特别重要
[00:02:36] 如果你去搜的话能找到很多文章教你很多选址的法则但是其实我们理解上选址很难有一套标准的方法论因为零售品牌的选址是一个非常非常非常复杂的事情它最大的特点就是特别难以标准化不同的品牌地区时间点都有完全不同的选址策略先请毛毛举例解释一下吧选址这个事情为什么特别重要比如说像一些品牌对门店的面积的要求会比较高
[00:03:03] 面积大呢一般会是商务先行会先和开发商或者是政府直接谈购地或者是长期低价的一些租赁这些地方的话呢通常在当年它不能算是一个商业非常繁荣的地方这时候的逻辑就是哪里便宜我去哪里哪里政策好我去哪里这一类主要就是一些大型的一些家居品牌啊一些运动集合地啊等等你可以发现毛毛
[00:03:28] 非常小心谨慎就没有提任何一个具体品牌的名字对吧因为他们现在是乙方了就有点要递甲方爸爸的惠对吧但言归正传就是毛毛刚才讲到这些大店的逻辑其实他选址就是看蝶下菜了对吧就是有什么合适的地就买什么他有的选项不是很多他愿意去开店的城市有可能就那么几个然后城市里面能够选到的地也可能也就那么几块
[00:03:53] 比如说像一些面积偏小的一些店铺
[00:04:20] 也会进入一些像市中心商圈都不再是大店模式了这个时候就会需要更科学然后更数据化更有规划的去做一些选址拓展如果一个零售品牌的店铺都比较小数量比较多的话感觉选址这件事情就更重要了门道也就更多了因为你的选项变多了要选出的答案也就变多了这就需要策略了好像最典型的例子就是便利店这种吧像便利店行业的话
[00:04:47] 比如说像全家便利店内部就会有一个选址的测算模型然后它涵盖了像电租啊人力成本啊附近是否有其他的便利店啊还有些人流的测算物流的配送路径等等一些因素然后负责选址的人呢还会到现场看店面是在马路的阴面还是阳面是不是人流经过的地方然后全家的门店它大致会分成三种类型分别是像住宅店商业店地铁店
[00:05:15] 然后选址的策略呢就会因为这三种类型不同有相应的侧重点便利店行业有一个其他行业在选址上面不太会关注的点是他们会考虑到物流配送的路径我们自己其实普通人也会有感受就是有的时候走在路上会发现没几步就有一个便利店没几步就有一个便利店很有可能就是因为那个地方很方便生鲜的配送对吧因为便利店里面是会涉及到一些生鲜食品的配送的
[00:05:43] 如果这些门店规划的比较好的话它在这样一个职业区域里面就可以降低配送的成本对除了像一些自己开店很有想法的品牌其他有些品牌就会比较偷懒他们选址的策略就是跟随比如星巴克开在哪里那我就去哪里开店肯德基开在哪里那我就去哪里开店找一个品牌调性和我的品牌差不多的牌子觉得这样做比较稳妥
[00:06:11] 所以我们会看到各种类型的一条街比如说像家庭装修一条街汽车一条街或者是小吃一条街但是这样做好像也有问题就是一个品类里面的不同的品牌客户群也有可能完全不一样对吧你一个快餐品牌去跟随了肯德基麦当劳你是方便的呀但是同时也给这个店选了一个天然的强大的对手你的客流是天生被麦当劳肯德基碾压的呀
[00:06:36] 刚才毛毛其实主要是通过那些大店和小店的这样一个区别来简单的科普一下为什么选址是一个非常个性化的一个事情不过刚才我们其实主要谈到的都是外部的视角对吧就是对我们来说我们站在外面看一个品牌的开店这个过程但是具体到一个公司内部它到底是怎么来做一个选址的决策的以及怎么把一个店在一个具体的位置开出来这样一个落实的过程是怎么样的毛毛能不能介绍一下
[00:07:05] 在选址这件事情上,一般公司里面主要会涉及到两个岗位的人,一个叫网络规划,然后另一个叫BD,开发或者叫拓展。网络规划在不同的公司里的职能的差异也比较大,这个会和公司的规模还有它的那个管理者的风格会有关系。在一些比较成体系的公司里面呢,网规会负责整体的统筹规划,还有具体的电子评估。
[00:07:34] 这里插问一句,这个统筹规划一般来说的话会具体到什么程度的水平?比如说举些例子,就是有一些处于下层阶段的品牌,需要统筹规划门店在全国的布局,计划在哪些级别的城市开多少家店,什么时候开,先开在哪里,后开在哪里,具体在城市里面的哪些区域开店,这些都是网规需要统筹规划的事情。
[00:08:03] 如果是处于门店优化阶段的品牌呢也就是说它本身就已经开了很多店了那它就会需要去关掉一些收入低的门店然后在一些城市新发展的区去新开一些门店这些都是网规会负责的内容
[00:08:18] 简单总结一下的话就是网规它会给你写好一个计划对吧就是比如说你在一个城市里边要开ABCD四个地方的店那么接下来就是要去落实了这个就是属于BD的责任了对吧对对对这个就是靠BD了BD呢它就会需要有很深的一些业主关系要有自己的一些信息的获取渠道比较熟悉地面知识比如说最关键的像门店的租金的数据啊
[00:08:44] 购物中心里面为主的一些商场的招商的倾向呀商场的近期策略啊这些都会影响到最后的一些成交但这些的话其实都是非公开的信息所以它的信息获取能力又要非常强听上去就是选址开店这个事情被分成了两个步骤在大公司里面就相当于有两个团队这样做的好处可以理解就是说专业的人做专业的事情比如说就有点像城市规划和城市建设的差别是不是
[00:09:13] 一个是前方一个是后方但是就是说区分看来在职业上也会有问题就比如说落实的层面会不会有些走样或者什么的对就这个分工的话一些公司是分开的但还有一些公司其实是放在一起的
[00:09:28] 比如说像网规的KPI它主要是像门店的销售额然后还有一些分析的任务量比如说去做一些城市的商业地图啊商业排名啊这些然后BD的话呢它的KPI就主要考量的是一些开店的数量然后因为KPI不太一样所以思路也会不太一样然后有的时候网规和BD的立场就会不太一样了
[00:09:50] 因为BD大多是经验主义所以在拓电的时候呢或多或少会有一些路径依赖比如有些会和购物中心绑定的比较紧密的这样的情况
